Season,Start,Away,AwayID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week
2014,2014-08-23 19:30:00,SHSU,2534,EWU,331,0,7.0,14.0,7.0,28.0,,56,0.0,21.0,0.0,14.0,,35,21,2014-08-22,
2014,2014-08-27 23:00:00,ACU,2000,GAST,2247,0,7.0,14.0,0.0,17.0,,38,3.0,13.0,14.0,7.0,,37,1,2014-08-27,1.0
2014,2014-08-28 22:00:00,TA&M,245,SC,2579,0,7.0,7.0,14.0,0.0,,28,10.0,21.0,14.0,7.0,,52,-24,2014-08-28,1.0
2014,2014-08-28 23:00:00,REIN,2890,MER,2382,0,7.0,17.0,14.0,7.0,,45,7.0,14.0,14.0,7.0,,42,3,2014-08-28,1.0
2014,2014-08-28 23:00:00,CHAR,2429,CAMP,2097,0,0.0,3.0,0.0,6.0,,9,6.0,0.0,21.0,6.0,,33,-24,2014-08-28,1.0
2014,2014-08-28 23:00:00,HOW,47,AKR,2006,0,21.0,0.0,13.0,7.0,,41,0.0,0.0,0.0,0.0,,0,41,2014-08-28,1.0
2014,2014-08-28 23:00:00,MOST,2623,NWST,2466,0,10.0,14.0,0.0,3.0,,27,0.0,7.0,7.0,20.0,,34,-7,2014-08-28,1.0
2014,2014-08-28 23:00:00,BRY,2803,STON,2619,0,0.0,7.0,0.0,0.0,,7,6.0,0.0,7.0,0.0,,13,-6,2014-08-28,1.0
2014,2014-08-28 23:00:00,PRE,2506,NIU,2459,0,17.0,17.0,21.0,0.0,,55,0.0,0.0,3.0,0.0,,3,52,2014-08-28,1.0
2014,2014-08-28 23:00:00,WAKE,154,ULM,2433,0,0.0,0.0,10.0,7.0,,17,7.0,3.0,0.0,0.0,,10,7,2014-08-28,1.0
2014,2014-08-28 23:00:00,CHAT,236,CMU,2117,0,0.0,7.0,13.0,0.0,,20,3.0,13.0,0.0,0.0,,16,4,2014-08-28,1.0
2014,2014-08-28 23:00:00,EIU,2197,MINN,135,0,7.0,7.0,7.0,21.0,,42,0.0,0.0,0.0,20.0,,20,22,2014-08-28,1.0
2014,2014-08-28 23:00:00,EKY,2198,RMU,2523,0,0.0,3.0,0.0,7.0,,10,7.0,10.0,6.0,6.0,,29,-19,2014-08-28,1.0
2014,2014-08-28 23:00:00,POINT,3179,CHSO,2127,0,21.0,21.0,13.0,6.0,,61,0.0,0.0,0.0,9.0,,9,52,2014-08-28,1.0
2014,2014-08-28 23:30:00,MB,2880,SEMO,2546,0,21.0,28.0,14.0,14.0,,77,0.0,0.0,0.0,0.0,,0,77,2014-08-28,1.0
2014,2014-08-28 23:30:00,IDST,304,UTAH,254,0,14.0,21.0,14.0,7.0,,56,7.0,0.0,7.0,0.0,,14,42,2014-08-28,1.0
2014,2014-08-28 23:32:00,VALP,2674,WIU,2710,0,14.0,10.0,14.0,7.0,,45,0.0,0.0,0.0,6.0,,6,39,2014-08-28,1.0
2014,2014-08-29 00:00:00,UNI,2841,MURR,93,0,28.0,24.0,15.0,6.0,,73,7.0,6.0,13.0,0.0,,26,47,2014-08-29,1.0
2014,2014-08-29 00:00:00,BSU,68,MISS,145,1,7.0,0.0,0.0,28.0,,35,0.0,3.0,3.0,7.0,,13,22,2014-08-29,1.0
2014,2014-08-29 00:00:00,KCU,3077,TNTC,2635,0,14.0,2.0,10.0,7.0,,33,0.0,0.0,0.0,7.0,,7,26,2014-08-29,1.0
2014,2014-08-29 00:00:00,CP,13,NMSU,166,0,7.0,7.0,7.0,7.0,,28,7.0,3.0,0.0,0.0,,10,18,2014-08-29,1.0
2014,2014-08-29 00:00:00,TAY,620,SIU,79,0,21.0,14.0,0.0,10.0,,45,0.0,0.0,0.0,0.0,,0,45,2014-08-29,1.0
2014,2014-08-29 00:00:00,TULN,2655,TLSA,202,0,0.0,14.0,3.0,11.0,3.0,38,7.0,14.0,0.0,7.0,3.0,31,7,2014-08-29,1.0
2014,2014-08-29 02:00:00,UND,155,SJSU,23,0,14.0,7.0,14.0,7.0,,42,0.0,3.0,0.0,7.0,,10,32,2014-08-29,1.0
2014,2014-08-29 02:00:00,RUTG,164,WSU,265,0,3.0,14.0,14.0,7.0,,38,7.0,14.0,3.0,17.0,,41,-3,2014-08-29,1.0
2014,2014-08-29 02:30:00,WEB,2692,ASU,9,0,17.0,14.0,14.0,0.0,,45,0.0,0.0,7.0,7.0,,14,31,2014-08-29,1.0
2014,2014-08-29 02:50:00,TEM,218,VAN,238,0,0.0,7.0,0.0,0.0,,7,7.0,14.0,13.0,3.0,,37,-30,2014-08-29,1.0
2014,2014-08-29 23:00:00,BYU,252,CONN,41,0,0.0,7.0,0.0,3.0,,10,14.0,14.0,0.0,7.0,,35,-25,2014-08-29,1.0
2014,2014-08-29 23:30:00,BGSU,189,WKU,98,0,14.0,17.0,14.0,14.0,,59,0.0,10.0,14.0,7.0,,31,28,2014-08-29,1.0
2014,2014-08-29 23:30:00,JVST,55,MSU,127,0,21.0,17.0,7.0,0.0,,45,0.0,0.0,7.0,0.0,,7,38,2014-08-29,1.0
2014,2014-08-29 23:30:00,NOVA,222,SYR,183,0,7.0,3.0,7.0,0.0,3.0,27,0.0,7.0,7.0,3.0,3.0,26,1,2014-08-29,1.0
2014,2014-08-30 01:00:00,CSU,36,COLO,38,1,7.0,3.0,7.0,0.0,,17,0.0,7.0,7.0,17.0,,31,-14,2014-08-30,1.0
2014,2014-08-30 01:00:00,UTSA,2636,HOU,248,0,0.0,0.0,0.0,7.0,,7,7.0,7.0,10.0,3.0,,27,-20,2014-08-30,1.0
2014,2014-08-30 02:30:00,UNLV,2439,ARIZ,12,0,14.0,10.0,24.0,10.0,,58,0.0,6.0,7.0,0.0,,13,45,2014-08-30,1.0
2014,2014-08-30 12:30:00,PSU,213,UCF,2116,1,0.0,3.0,7.0,14.0,,24,7.0,3.0,10.0,6.0,,26,-2,2014-08-30,1.0
2014,2014-08-30 16:00:00,YSU,2754,ILL,356,0,0.0,7.0,0.0,21.0,,28,3.0,3.0,3.0,8.0,,17,11,2014-08-30,1.0
2014,2014-08-30 16:00:00,UCLA,26,UVA,258,0,0.0,10.0,7.0,3.0,,20,0.0,21.0,7.0,0.0,,28,-8,2014-08-30,1.0
2014,2014-08-30 16:00:00,TROY,2653,UAB,5,0,17.0,7.0,14.0,10.0,,48,7.0,3.0,0.0,0.0,,10,38,2014-08-30,1.0
