Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week
2016,2016-08-27 02:00:00,HAW,62,CAL,25,1,17.0,17.0,7.0,10.0,,51,14.0,0.0,10.0,7.0,,31,20,2016-08-26,1.0
2016,2016-08-27 23:30:00,CHSO,2127,NDSU,2449,0,0.0,3.0,7.0,7.0,7.0,24,0.0,3.0,7.0,7.0,0.0,17,7,2016-08-26,1.0
2016,2016-09-01 17:30:00,HUM,2278,CNEW,2105,0,7.0,21.0,10.0,7.0,,45,17.0,14.0,7.0,14.0,,52,-7,2016-09-01,2.0
2016,2016-09-01 21:45:00,EAS,2188,BRE,2913,0,0.0,7.0,0.0,7.0,,14,7.0,7.0,21.0,14.0,,49,-35,2016-09-01,2.0
2016,2016-09-01 22:00:00,LOC,209,CLA,2134,0,3.0,21.0,10.0,7.0,,41,0.0,3.0,7.0,14.0,,24,17,2016-09-01,2.0
2016,2016-09-01 22:00:00,STA,2830,WAG,2681,0,3.0,7.0,7.0,21.0,,38,7.0,3.0,0.0,6.0,,16,22,2016-09-01,2.0
2016,2016-09-01 22:00:00,MER,2385,ASH,308,0,14.0,21.0,7.0,6.0,,48,0.0,0.0,0.0,0.0,,0,48,2016-09-01,2.0
2016,2016-09-01 22:00:00,VAW,2842,TUS,2839,0,0.0,3.0,0.0,0.0,7.0,10,3.0,0.0,0.0,0.0,7.0,13,-3,2016-09-01,2.0
2016,2016-09-01 23:00:00,COA,2557,ANN,15,0,0.0,0.0,0.0,0.0,,0,7.0,6.0,14.0,7.0,,34,-34,2016-09-01,2.0
2016,2016-09-01 23:00:00,TULN,2655,WAKE,154,0,0.0,7.0,0.0,0.0,,7,3.0,0.0,0.0,0.0,,3,4,2016-09-01,2.0
2016,2016-09-01 23:00:00,MNST,2364,MIN,568,0,0.0,0.0,0.0,7.0,,7,7.0,14.0,14.0,0.0,,35,-28,2016-09-01,2.0
2016,2016-09-01 23:00:00,TIF,2838,GVSU,125,0,14.0,7.0,7.0,17.0,,45,0.0,0.0,0.0,7.0,,7,38,2016-09-01,2.0
2016,2016-09-01 23:00:00,MIN,2772,WIN,2851,0,19.0,23.0,16.0,10.0,,68,0.0,0.0,0.0,0.0,,0,68,2016-09-01,2.0
2016,2016-09-01 23:00:00,CHAR,2429,LOU,97,0,28.0,28.0,7.0,7.0,,70,0.0,0.0,7.0,7.0,,14,56,2016-09-01,2.0
2016,2016-09-01 23:00:00,SWC,616,MOST,2623,0,21.0,3.0,19.0,14.0,,57,0.0,0.0,0.0,0.0,,0,57,2016-09-01,2.0
2016,2016-09-01 23:00:00,CHE,2129,LIN,2339,0,0.0,14.0,0.0,0.0,6.0,20,14.0,0.0,0.0,0.0,7.0,21,-1,2016-09-01,2.0
2016,2016-09-01 23:00:00,KYW,2316,DEL,2170,0,20.0,16.0,7.0,7.0,,50,0.0,0.0,14.0,15.0,,29,21,2016-09-01,2.0
2016,2016-09-01 23:00:00,PRE,2506,CMU,2117,0,7.0,7.0,14.0,21.0,,49,0.0,3.0,0.0,0.0,,3,46,2016-09-01,2.0
