Season,Start,Week,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal
2015,8/29/2015 19:30,0,NDSU,2449,MONT,149,0,10,11,7,10,,38,7,21,0,7,,35
2015,9/3/2015 22:00,0,STJ,2601,EDI,2205,0,0,7,3,0,,10,10,0,10,10,,30
2015,9/3/2015 22:00,0,LEN,2331,WES,223,0,0,7,0,21,,28,14,7,20,0,,41
2015,9/3/2015 22:00,0,CLA,2134,LOC,209,0,0,7,6,0,,13,7,13,7,13,,40
2015,9/3/2015 22:00,0,WAY,131,MIC,2392,0,7,13,0,0,,20,0,2,0,13,,15
2015,9/3/2015 22:00,0,UNC,153,SC,2579,1,0,10,0,7,,17,7,6,0,0,,13
2015,9/3/2015 22:00,0,FIU,2229,UCF,2116,0,7,7,0,0,,14,3,0,6,6,,15
2015,9/3/2015 23:00,0,WIN,2851,MOO,2817,0,0,14,21,7,,42,0,0,10,7,,17
2015,9/3/2015 23:00,0,URS,2667,MIL,210,0,0,0,0,0,3,9,0,0,0,0,3,17
2015,9/3/2015 23:00,0,UCA,2110,SAM,2535,0,7,21,3,14,,45,7,6,0,3,,16
2015,9/3/2015 23:00,0,OUA,2888,EAS,2191,0,7,0,14,3,,24,0,14,10,7,,31
2015,9/3/2015 23:00,0,WES,2707,FAI,2986,0,0,7,14,13,,34,22,15,20,2,,59
2015,9/3/2015 23:00,0,SAG,129,IND,2292,0,0,6,7,14,,27,3,7,0,7,,17
2015,9/3/2015 23:00,0,CUM,511,CNEW,2105,0,21,14,7,17,,59,14,14,12,16,,56
2015,9/3/2015 23:00,0,PIK,95,CAMP,2097,0,7,14,7,13,,41,0,10,7,3,,20
2015,9/3/2015 23:00,0,EMP,2214,MOS,2403,0,3,7,10,0,,20,7,10,21,0,,38
2015,9/3/2015 23:00,0,HEN,2271,SEOS,199,0,3,6,0,7,,16,0,14,6,3,,23
2015,9/3/2015 23:00,0,SELA,2545,NWST,2466,0,3,3,7,7,,20,6,7,13,8,,34
2015,9/3/2015 23:00,0,SWM,2587,MIN,568,0,0,13,7,0,,20,6,9,0,6,,21
2015,9/3/2015 23:00,0,EIU,2197,WIU,2710,0,7,7,16,3,,33,3,0,2,0,,5
2015,9/3/2015 23:00,0,WSSU,2736,NCP,2882,0,0,10,7,0,,17,7,0,0,0,,7
2015,9/3/2015 23:00,0,ANN,15,COA,2557,0,6,14,14,0,,34,0,3,0,3,,6
2015,9/3/2015 23:00,0,PIT,90,NEO,196,0,7,0,7,0,,14,21,7,7,3,,38
2015,9/3/2015 23:00,0,ELON,2210,WAKE,154,0,3,21,14,3,,41,0,0,3,0,,3
2015,9/3/2015 23:00,0,F&M,2234,LEB,388,0,6,14,10,7,,37,14,7,15,6,,42
2015,9/3/2015 23:00,0,SWB,2586,GVSU,125,0,7,22,7,0,,36,7,0,7,14,,28
2015,9/3/2015 23:00,0,CON,3066,STC,2594,0,14,7,7,0,,28,0,3,7,0,,10
2015,9/3/2015 23:00,0,WAL,2682,TIF,2838,0,14,6,7,7,,34,10,3,0,0,,13
2015,9/3/2015 23:00,0,OKST,197,CMU,2117,0,3,3,7,0,,13,3,7,7,7,,24
2015,9/3/2015 23:00,0,NGR,2822,CHSO,2127,0,13,7,14,7,,41,0,7,7,0,,14
2015,9/3/2015 23:00,0,VALP,2674,EKY,2198,0,14,17,14,7,,52,0,3,0,7,,10
2015,9/3/2015 23:00,0,FOR,2232,DEL,2170,0,25,14,7,2,,48,0,7,0,0,,7
2015,9/3/2015 23:00,0,KYW,2316,MURR,93,0,14,17,14,7,,52,0,0,6,6,,12
2015,9/3/2015 23:00,0,MNDU,134,MNST,2364,0,0,3,10,7,,20,7,10,0,0,,17
2015,9/3/2015 23:00,0,NOT,587,CHA,2128,0,20,7,23,6,,56,7,7,9,21,,44
2015,9/3/2015 23:00,0,ASH,308,LKE,437,0,0,7,15,0,,22,21,14,21,0,,56
2015,9/3/2015 23:00,0,VMI,2678,BALL,2050,0,3,17,14,14,,48,0,10,7,19,,36
2015,9/3/2015 23:05,0,LIU,2089,EAS,2188,0,6,10,10,14,,40,0,14,8,19,,41
2015,9/3/2015 23:30,0,MAN,2362,TRI,2651,0,3,14,14,7,,38,0,7,0,7,,14
2015,9/3/2015 23:30,0,KENN,338,ETSU,2193,0,3,10,0,3,,16,7,14,21,14,,56
2015,9/3/2015 23:30,0,ODM,2477,MAL,556,0,7,0,14,0,,21,21,21,3,14,,59
2015,9/3/2015 23:30,0,NOVA,222,CONN,41,0,6,0,7,7,,20,0,9,0,6,,15
2015,9/3/2015 23:30,0,CHA,2123,S&T,2402,0,0,0,7,20,,27,3,14,14,9,,40
2015,9/3/2015 23:30,0,ALCN,2016,GT,59,0,34,14,14,7,,69,0,0,6,0,,6
2015,9/4/2015 0:00,0,WKU,98,VAN,238,0,0,3,0,9,,12,0,0,7,7,,14
2015,9/4/2015 0:00,0,BET,2802,WIS,2744,0,7,0,6,7,,20,7,7,0,21,,35
2015,9/4/2015 0:00,0,BEL,2056,MIL,2398,0,12,6,20,14,,52,9,7,7,0,,23
2015,9/4/2015 0:00,0,WAS,2687,LIN,2815,0,0,0,7,13,,20,0,0,7,7,,14
2015,9/4/2015 0:00,0,AZU,2049,WES,2704,0,14,7,3,0,,24,0,10,3,14,,27
2015,9/4/2015 0:00,0,NWMS,138,NEB,2438,0,0,0,0,0,,0,14,0,7,10,,31
2015,9/4/2015 0:00,0,ADST,2001,TXA,2837,0,3,24,14,7,,48,0,6,3,8,,17
2015,9/4/2015 0:00,0,ARK,2033,STN,200,0,0,0,7,7,,14,17,28,10,7,,62
2015,9/4/2015 0:00,0,MOW,137,CEN,2118,0,3,6,0,9,,18,7,0,0,10,,17
2015,9/4/2015 0:00,0,FHSU,2231,CEN,2122,0,13,7,3,6,,29,0,14,13,3,,30
2015,9/4/2015 0:00,0,NWO,2823,ARK,2028,0,17,0,14,0,,31,0,31,14,7,,52
2015,9/4/2015 0:00,0,OKP,2824,ANG,2025,0,6,29,14,3,,52,0,7,24,0,,31
2015,9/4/2015 0:30,0,MICH,130,UTAH,254,0,3,7,7,7,,24,0,3,7,7,,17
2015,9/4/2015 1:00,0,OHIO,195,IDHO,70,0,3,10,0,15,,28,21,7,3,14,,45
2015,9/4/2015 1:00,0,NMH,2424,EAS,2201,0,7,7,19,7,,40,0,10,0,0,,10
2015,9/4/2015 1:00,0,TCU,2628,MINN,135,0,0,3,7,7,,17,10,0,10,3,,23
2015,9/4/2015 1:00,0,SUU,253,USU,328,0,5,0,0,7,,12,6,3,0,0,,9
2015,9/4/2015 1:05,0,FOR,2237,MTST,147,0,0,14,14,17,,45,0,0,7,7,,14
2015,9/4/2015 1:30,0,DUKE,150,TULN,2655,0,0,0,0,7,,7,3,10,3,21,,37
2015,9/4/2015 2:00,0,UCD,302,NEV,2440,0,7,14,3,7,,31,0,3,0,14,,17
2015,9/4/2015 2:00,0,UTSA,2636,ARIZ,12,0,14,7,14,7,,42,0,20,6,6,,32
2015,9/4/2015 2:00,0,UNH,160,SJSU,23,0,20,6,10,7,,43,0,7,0,6,,13
2015,9/4/2015 2:00,0,ACU,2000,FRES,278,0,14,7,10,3,,34,7,0,0,6,,13
