Season,Start,Away,AwayID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeBCSSOS,HomeRPI,AwayBCSSOS,AwayRPI
2013,2013-08-29 22:00:00,LIB,2335,KENT,2309,0,7,0,0,10,,17,0,3,7,0,,10,7,2013-08-29,1,0,0,0,0
2013,2013-08-29 22:00:00,UNC,153,SC,2579,0,17,3,7,0,,27,0,7,3,0,,10,17,2013-08-29,1,0,0,0,0
2013,2013-08-29 22:30:00,PRE,2506,WAKE,154,0,3,14,7,7,,31,7,0,0,0,,7,24,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,TLSA,202,BGSU,189,0,3,3,7,21,,34,0,0,0,7,,7,27,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,AKR,2006,UCF,2116,0,14,10,14,0,,38,0,0,0,7,,7,31,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,NWST,2466,MOST,2623,0,0,7,10,0,,17,0,10,7,6,,23,-6,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,INST,282,IND,84,0,21,24,21,7,,73,7,14,7,7,,35,38,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,HAMP,2261,WIU,2710,0,8,7,13,14,,42,0,6,0,3,,9,33,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,RMU,2523,EKY,2198,0,14,14,0,10,,38,0,6,0,0,,6,32,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,UNLV,2439,MINN,135,0,3,13,14,21,,51,6,7,3,7,,23,28,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,ILST,2287,BALL,2050,0,9,7,21,14,,51,14,7,0,7,,28,23,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,URI,227,FOR,2230,0,14,10,14,13,,51,3,3,13,7,,26,25,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:00:00,PIK,95,MORE,2413,0,0,0,3,7,,10,0,0,7,6,,13,-3,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:30:00,SUU,253,USA,6,0,0,7,7,7,,21,10,0,3,9,,22,-1,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:30:00,UTM,2630,CHAT,236,0,0,0,7,14,,21,0,7,7,17,,31,-10,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:30:00,WCU,2717,MTSU,2393,0,21,10,7,7,,45,0,18,0,6,,24,21,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:30:00,TOWS,119,CONN,41,0,7,3,0,8,,18,7,6,6,14,,33,-15,2013-08-29,1,0,0,0,0
2013,2013-08-29 23:30:00,JAC,294,DEL,48,0,0,21,10,20,,51,14,7,0,14,,35,16,2013-08-29,1,0,0,0,0
