,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
South Florida,11,2,.846,7,1,.875,43.8,31.6,7.83,-2.70,,19,19,
Temple,10,4,.714,7,1,.875,32.4,18.4,8.97,-3.32,,23,,
UCF,6,7,.462,4,4,.500,28.8,24.6,-0.01,-1.86,,,,
Cincinnati,4,8,.333,1,7,.125,19.3,26.9,-9.17,-1.58,,,,
Connecticut,3,9,.250,1,7,.125,14.8,28.1,-13.30,-2.55,,,,
East Carolina,3,9,.250,1,7,.125,27.0,36.1,-9.69,-0.11,,,,
Navy,9,5,.643,7,1,.875,37.9,31.0,3.59,-0.84,,20,,
Tulsa,10,3,.769,6,2,.750,42.5,29.8,6.91,-3.71,,,,
Houston,9,4,.692,5,3,.625,35.8,23.5,5.44,-1.95,15,6,,
Memphis,8,5,.615,5,3,.625,38.8,28.8,2.96,-1.11,,,,
SMU,5,7,.417,3,5,.375,27.7,36.3,-4.84,-0.34,,,,
Tulane,4,8,.333,1,7,.125,24.1,27.7,-6.54,-2.21,,,,
