Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Atlantic,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Florida State,14,0,1.000,8,0,1.000,51.6,12.1,23.36,1.29,11,1,1,
Clemson,11,2,.846,7,1,.875,40.2,22.2,14.98,3.06,8,3,8,
Boston College,7,6,.538,4,4,.500,27.7,28.9,1.28,2.20,,,,
Syracuse,7,6,.538,4,4,.500,22.7,25.4,2.81,2.88,,,,
Maryland,7,6,.538,3,5,.375,26.2,25.3,0.64,-0.97,,25,,
Wake Forest,4,8,.333,2,6,.250,18.3,24.1,0.00,2.17,,,,
North Carolina State,3,9,.250,0,8,.000,22.8,30.2,-5.66,1.59,,,,
Duke,10,4,.714,6,2,.750,32.8,26.6,7.86,2.36,,20,23,
Miami (FL),9,4,.692,5,3,.625,33.8,26.8,6.59,2.51,,7,,
Virginia Tech,8,5,.615,5,3,.625,22.5,19.3,6.41,4.49,,16,,
Georgia Tech,7,6,.538,5,3,.625,35.1,22.8,7.21,3.67,,,,
North Carolina,7,6,.538,4,4,.500,32.7,24.5,6.22,1.91,,,,
Pitt,7,6,.538,3,5,.375,26.3,27.2,3.72,3.49,,,,
Virginia,2,10,.167,0,8,.000,19.8,33.3,-4.94,6.06,,,,
