,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Atlantic,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Clemson,12,2,.857,7,1,.875,33.3,13.6,20.62,6.84,4,5,1,
North Carolina State,9,4,.692,6,2,.750,32.2,25.2,12.17,5.55,23,,14,
Louisville,8,5,.615,4,4,.500,38.1,27.4,9.67,3.75,,16,14,
Wake Forest,8,5,.615,4,4,.500,35.3,28.3,11.42,6.03,,,,
Boston College,7,6,.538,4,4,.500,25.7,22.8,9.39,7.08,,,,
Florida State,7,6,.538,3,5,.375,27.8,21.2,8.07,5.76,,3,3,
Syracuse,4,8,.333,2,6,.250,27.4,32.2,1.96,5.80,,,,
Miami (FL),10,3,.769,7,1,.875,29.1,21.0,14.98,6.29,13,18,2,
Virginia Tech,9,4,.692,5,3,.625,28.2,14.8,10.56,2.41,24,21,12,
Georgia Tech,5,6,.455,4,4,.500,28.1,26.5,6.38,5.93,,,,
Duke,7,6,.538,3,5,.375,26.5,20.2,7.23,3.23,,,,
Pitt,5,7,.417,3,5,.375,23.9,26.6,1.21,4.13,,,,
Virginia,6,7,.462,3,5,.375,22.5,28.4,-0.06,3.55,,,,
North Carolina,3,9,.250,1,7,.125,26.0,31.3,-1.82,4.10,,,,
