,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Ohio State,11,2,.846,8,1,.889,39.4,15.5,18.82,6.59,6,2,6,
Penn State,11,3,.786,8,1,.889,37.6,25.4,15.72,5.44,,5,7,
Michigan,10,3,.769,7,2,.778,40.3,14.1,17.56,4.79,7,2,10,
Indiana,6,7,.462,4,5,.444,25.8,27.2,1.38,2.69,,,,
Maryland,6,7,.462,3,6,.333,25.8,29.5,0.07,1.60,,,,
Michigan State,3,9,.250,1,8,.111,24.1,27.8,-1.79,4.29,12,8,,
Rutgers,2,10,.167,0,9,.000,15.7,37.5,-6.97,4.95,,,,
Wisconsin,11,3,.786,7,2,.778,28.4,15.6,15.30,5.30,,5,9,
Iowa,8,5,.615,6,3,.667,24.9,18.8,6.81,2.11,17,13,,
Nebraska,9,4,.692,6,3,.667,26.5,23.9,7.55,2.94,,7,,
Minnesota,9,4,.692,5,4,.556,29.3,22.1,8.65,1.65,,,,
Northwestern,7,6,.538,5,4,.556,26.0,22.2,5.46,3.07,,,,
Illinois,3,9,.250,2,7,.222,19.7,31.9,-7.75,3.75,,,,
Purdue,3,9,.250,1,8,.111,24.6,38.3,-8.96,1.29,,,,
