,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Florida Atlantic,11,3,.786,8,0,1.000,40.6,22.7,8.01,-4.78,,,,
Florida International,8,5,.615,5,3,.625,25.6,28.5,-6.75,-6.36,,,,
Marshall,8,5,.615,4,4,.500,26.7,19.9,-1.13,-6.44,,,,
Middle Tennessee State,7,6,.538,4,4,.500,25.5,24.7,-6.48,-6.86,,,,
Western Kentucky,6,7,.462,4,4,.500,25.5,26.8,-10.99,-9.61,,,,
Old Dominion,5,7,.417,3,5,.375,20.7,31.7,-13.95,-6.53,,,,
Charlotte,1,11,.083,1,7,.125,14.2,32.8,-20.25,-6.00,,,,
North Texas,9,5,.643,7,1,.875,35.5,35.0,-3.60,-4.10,,,,
Southern Mississippi,8,5,.615,6,2,.750,29.2,24.5,-5.49,-8.18,,,,
UAB,8,5,.615,6,2,.750,27.8,25.6,-8.08,-10.62,,,,
Louisiana Tech,7,6,.538,4,4,.500,30.5,25.4,-2.44,-5.98,,,,
UTSA,6,5,.545,3,5,.375,23.5,17.0,-5.78,-10.33,,,,
Rice,1,11,.083,1,7,.125,16.3,35.8,-18.37,-4.29,,,,
UTEP,0,12,.000,0,8,.000,11.8,36.8,-23.75,-3.67,,,,
