,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Bowling Green State,10,4,.714,7,1,.875,42.2,28.9,8.09,-0.34,,,,
Akron,8,5,.615,5,3,.625,23.9,21.5,-0.37,-4.44,,,,
Ohio,8,5,.615,5,3,.625,27.5,25.3,-0.46,-3.69,,,,
Buffalo,5,7,.417,3,5,.375,26.7,27.6,-5.40,-4.56,,,,
Kent State,3,9,.250,2,6,.250,13.1,26.1,-11.29,-1.96,,,,
Massachusetts,3,9,.250,2,6,.250,22.2,31.4,-10.76,-2.60,,,,
Miami (OH),3,9,.250,2,6,.250,17.9,32.0,-12.02,-3.11,,,,
Toledo,10,2,.833,6,2,.750,35.0,20.8,10.16,-1.51,,19,,
Western Michigan,8,5,.615,6,2,.750,36.0,28.3,4.77,-0.08,,,,
Central Michigan,7,6,.538,6,2,.750,25.8,22.0,0.59,-1.80,,,,
Northern Illinois,8,6,.571,6,2,.750,31.1,27.6,1.55,-1.95,,,,
Ball State,3,9,.250,2,6,.250,23.1,35.8,-10.66,-1.16,,,,
Eastern Michigan,1,11,.083,0,8,.000,25.4,42.1,-18.16,-3.83,,,,
