,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Mountain,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Boise State,11,3,.786,7,1,.875,32.5,22.9,8.67,-0.48,22,,22,
Wyoming,8,5,.615,5,3,.625,23.5,17.5,0.04,-4.65,,,,
Colorado State,7,6,.538,5,3,.625,33.4,27.8,-0.87,-4.95,,,,
Air Force,5,7,.417,4,4,.500,31.4,32.4,-4.77,-1.02,,,,
Utah State,6,7,.462,4,4,.500,30.2,26.9,-2.18,-3.72,,,,
New Mexico,3,9,.250,1,7,.125,20.7,31.8,-10.38,-2.38,,,,
Fresno State,10,4,.714,7,1,.875,27.1,17.9,4.47,-1.68,,,,
San Diego State,10,3,.769,6,2,.750,30.8,20.2,5.05,-3.87,,,19,
Nevada-Las Vegas,5,7,.417,4,4,.500,28.8,31.8,-7.92,-5.42,,,,
Nevada,3,9,.250,3,5,.375,28.2,33.9,-9.25,-2.00,,,,
Hawaii,3,9,.250,1,7,.125,22.8,33.9,-13.76,-5.34,,,,
San Jose State,2,11,.154,1,7,.125,15.8,41.7,-18.40,-2.32,,,,
