,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
North,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Washington,10,3,.769,7,2,.778,36.2,16.1,16.22,1.61,16,8,5,
Stanford,9,5,.643,7,3,.700,32.4,22.7,10.84,4.92,20,14,14,
Washington State,9,4,.692,6,3,.667,30.3,25.8,6.62,2.39,,24,8,
Oregon,7,6,.538,4,5,.444,36.0,29.0,4.66,1.89,,,24,
California,5,7,.417,2,7,.222,27.8,28.4,-0.16,1.76,,,,
Oregon State,1,11,.083,0,9,.000,20.7,43.0,-13.57,3.27,,,,
USC,11,3,.786,9,1,.900,32.6,26.1,12.37,5.09,12,4,4,
Arizona State,7,6,.538,6,3,.667,31.8,32.8,3.80,3.72,,,,
Arizona,7,6,.538,5,4,.556,41.3,34.4,3.17,-0.98,,,23,
UCLA,6,7,.462,4,5,.444,32.5,36.6,0.64,4.41,,,25,
Utah,7,6,.538,3,6,.333,29.5,23.2,5.07,1.22,,,20,
Colorado,5,7,.417,2,7,.222,26.4,28.2,-2.61,-0.36,,,,
