,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
North,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Oregon,11,2,.846,7,2,.778,45.5,20.5,21.27,5.03,3,2,9,
Stanford,11,3,.786,7,2,.778,32.3,19.0,18.96,8.74,4,4,11,
Washington,9,4,.692,5,4,.556,37.9,22.8,15.12,6.58,,15,25,
Oregon State,7,6,.538,4,5,.444,34.8,31.4,8.11,4.72,25,25,,
Washington State,6,7,.462,4,5,.444,31.0,32.5,5.09,6.94,,,,
California,1,11,.083,0,9,.000,23.0,45.9,-8.58,9.34,,,,
Arizona State,10,4,.714,8,1,.889,39.7,26.6,17.50,9.21,,11,21,
UCLA,10,3,.769,6,3,.667,36.9,23.2,17.10,6.48,21,9,16,
USC,10,4,.714,6,3,.667,29.7,21.2,13.72,6.22,24,19,19,
Arizona,8,5,.615,4,5,.444,33.5,24.2,12.60,5.07,,,,
Utah,5,7,.417,2,7,.222,29.2,28.0,6.96,9.55,,,,
Colorado,4,8,.333,1,8,.111,25.4,38.3,-1.99,6.18,,,,
