,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Missouri,11,3,.786,7,1,.875,27.8,21.1,12.02,4.73,24,14,14,
Georgia,10,3,.769,6,2,.750,41.3,20.7,18.84,5.07,12,6,9,
Florida,7,5,.583,4,4,.500,30.3,21.1,8.12,4.29,,,,
South Carolina,7,6,.538,3,5,.375,32.6,30.4,6.70,4.93,9,9,,
Tennessee,7,6,.538,3,5,.375,28.9,24.2,8.13,5.52,,,,
Kentucky,5,7,.417,2,6,.250,29.2,31.3,1.55,3.89,,,,
Vanderbilt,3,9,.250,0,8,.000,17.2,33.3,-6.97,4.11,,,,
Alabama,12,2,.857,7,1,.875,36.9,18.4,20.34,7.27,2,1,4,
Mississippi State,10,3,.769,6,2,.750,36.9,21.7,15.04,4.81,,1,11,
Ole Miss,9,4,.692,5,3,.625,28.3,16.0,16.80,8.11,18,3,17,
Auburn,8,5,.615,4,4,.500,35.5,26.7,14.99,9.06,6,2,22,
LSU,8,5,.615,4,4,.500,27.6,17.5,10.75,5.98,13,8,,
Texas A&M,8,5,.615,3,5,.375,35.2,28.1,9.96,5.72,21,6,,
Arkansas,7,6,.538,2,6,.250,31.9,19.2,14.91,7.76,,,,
