,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Appalachian State,11,2,.846,7,1,.875,36.7,19.1,5.05,-7.34,,,,
Georgia Southern,9,4,.692,6,2,.750,36.5,23.5,5.27,-5.42,,,,
Arkansas State,9,4,.692,8,0,1.000,40.0,30.2,0.74,-6.26,,,,
Georgia State,6,7,.462,5,3,.625,26.9,28.3,-7.61,-7.15,,,,
South Alabama,5,7,.417,3,5,.375,25.0,37.3,-11.31,-3.72,,,,
Idaho,4,8,.333,3,5,.375,30.3,42.1,-13.24,-4.57,,,,
Louisiana-Lafayette,4,8,.333,3,5,.375,26.4,31.8,-12.46,-7.38,,,,
Troy,4,8,.333,3,5,.375,27.9,28.3,-7.26,-4.68,,,,
New Mexico State,3,9,.250,3,5,.375,28.6,45.0,-15.79,-5.29,,,,
Texas State,3,9,.250,2,6,.250,26.9,39.2,-14.24,-5.16,,,,
Louisiana-Monroe,2,11,.154,1,7,.125,21.0,36.5,-16.72,-4.42,,,,
