"Team","Year","Conf"
"Clemson",2017,"acc"
"North Carolina State",2017,"acc"
"Louisville",2017,"acc"
"Wake Forest",2017,"acc"
"Boston College",2017,"acc"
"Florida State",2017,"acc"
"Syracuse",2017,"acc"
"Miami (FL)",2017,"acc"
"Virginia Tech",2017,"acc"
"Georgia Tech",2017,"acc"
"Duke",2017,"acc"
"Pitt",2017,"acc"
"Virginia",2017,"acc"
"North Carolina",2017,"acc"
"Clemson",2016,"acc"
"Louisville",2016,"acc"
"Florida State",2016,"acc"
"North Carolina State",2016,"acc"
"Wake Forest",2016,"acc"
"Boston College",2016,"acc"
"Syracuse",2016,"acc"
"Virginia Tech",2016,"acc"
"Miami (FL)",2016,"acc"
"North Carolina",2016,"acc"
"Pitt",2016,"acc"
"Georgia Tech",2016,"acc"
"Duke",2016,"acc"
"Virginia",2016,"acc"
"Clemson",2015,"acc"
"Florida State",2015,"acc"
"Louisville",2015,"acc"
"North Carolina State",2015,"acc"
"Syracuse",2015,"acc"
"Wake Forest",2015,"acc"
"Boston College",2015,"acc"
"North Carolina",2015,"acc"
"Pitt",2015,"acc"
"Miami (FL)",2015,"acc"
"Duke",2015,"acc"
"Virginia Tech",2015,"acc"
"Virginia",2015,"acc"
"Georgia Tech",2015,"acc"
"Florida State",2014,"acc"
"Clemson",2014,"acc"
"Louisville",2014,"acc"
"Boston College",2014,"acc"
"North Carolina State",2014,"acc"
"Syracuse",2014,"acc"
"Wake Forest",2014,"acc"
"Georgia Tech",2014,"acc"
"Duke",2014,"acc"
"North Carolina",2014,"acc"
"Pitt",2014,"acc"
"Virginia Tech",2014,"acc"
"Miami (FL)",2014,"acc"
"Virginia",2014,"acc"
"Florida State",2013,"acc"
"Clemson",2013,"acc"
"Boston College",2013,"acc"
"Syracuse",2013,"acc"
"Maryland",2013,"acc"
"Wake Forest",2013,"acc"
"North Carolina State",2013,"acc"
"Duke",2013,"acc"
"Miami (FL)",2013,"acc"
"Virginia Tech",2013,"acc"
"Georgia Tech",2013,"acc"
"North Carolina",2013,"acc"
"Pitt",2013,"acc"
"Virginia",2013,"acc"
"Clemson",2012,"acc"
"Florida State",2012,"acc"
"North Carolina State",2012,"acc"
"Wake Forest",2012,"acc"
"Maryland",2012,"acc"
"Boston College",2012,"acc"
"North Carolina",2012,"acc"
"Georgia Tech",2012,"acc"
"Miami (FL)",2012,"acc"
"Virginia Tech",2012,"acc"
"Duke",2012,"acc"
"Virginia",2012,"acc"
"Clemson",2011,"acc"
"Florida State",2011,"acc"
"Wake Forest",2011,"acc"
"North Carolina State",2011,"acc"
"Boston College",2011,"acc"
"Maryland",2011,"acc"
"Virginia Tech",2011,"acc"
"Georgia Tech",2011,"acc"
"Virginia",2011,"acc"
"Miami (FL)",2011,"acc"
"North Carolina",2011,"acc"
"Duke",2011,"acc"
"Florida State",2010,"acc"
"Maryland",2010,"acc"
"North Carolina State",2010,"acc"
"Boston College",2010,"acc"
"Clemson",2010,"acc"
"Wake Forest",2010,"acc"
"Virginia Tech",2010,"acc"
"Miami (FL)",2010,"acc"
"North Carolina",2010,"acc"
"Georgia Tech",2010,"acc"
"Virginia",2010,"acc"
"Duke",2010,"acc"
"Clemson",2009,"acc"
"Boston College",2009,"acc"
"Florida State",2009,"acc"
"Wake Forest",2009,"acc"
"North Carolina State",2009,"acc"
"Maryland",2009,"acc"
"Georgia Tech",2009,"acc"
"Virginia Tech",2009,"acc"
"Miami (FL)",2009,"acc"
"North Carolina",2009,"acc"
"Duke",2009,"acc"
"Virginia",2009,"acc"
"Boston College",2008,"acc"
"Florida State",2008,"acc"
"Maryland",2008,"acc"
"Wake Forest",2008,"acc"
"Clemson",2008,"acc"
"North Carolina State",2008,"acc"
"Virginia Tech",2008,"acc"
"Georgia Tech",2008,"acc"
"North Carolina",2008,"acc"
"Miami (FL)",2008,"acc"
"Virginia",2008,"acc"
"Duke",2008,"acc"
"Boston College",2007,"acc"
"Clemson",2007,"acc"
"Wake Forest",2007,"acc"
"Florida State",2007,"acc"
"Maryland",2007,"acc"
"North Carolina State",2007,"acc"
"Virginia Tech",2007,"acc"
"Virginia",2007,"acc"
"Georgia Tech",2007,"acc"
"North Carolina",2007,"acc"
"Miami (FL)",2007,"acc"
"Duke",2007,"acc"
"Wake Forest",2006,"acc"
"Boston College",2006,"acc"
"Clemson",2006,"acc"
"Maryland",2006,"acc"
"Florida State",2006,"acc"
"North Carolina State",2006,"acc"
"Georgia Tech",2006,"acc"
"Virginia Tech",2006,"acc"
"Virginia",2006,"acc"
"Miami (FL)",2006,"acc"
"North Carolina",2006,"acc"
"Duke",2006,"acc"
"Boston College",2005,"acc"
"Florida State",2005,"acc"
"Clemson",2005,"acc"
"North Carolina State",2005,"acc"
"Maryland",2005,"acc"
"Wake Forest",2005,"acc"
"Virginia Tech",2005,"acc"
"Miami (FL)",2005,"acc"
"Georgia Tech",2005,"acc"
"North Carolina",2005,"acc"
"Virginia",2005,"acc"
"Duke",2005,"acc"
"Virginia Tech",2004,"acc"
"Florida State",2004,"acc"
"Miami (FL)",2004,"acc"
"Virginia",2004,"acc"
"North Carolina",2004,"acc"
"Clemson",2004,"acc"
"Georgia Tech",2004,"acc"
"Maryland",2004,"acc"
"North Carolina State",2004,"acc"
"Wake Forest",2004,"acc"
"Duke",2004,"acc"
"Florida State",2003,"acc"
"Maryland",2003,"acc"
"Clemson",2003,"acc"
"North Carolina State",2003,"acc"
"Virginia",2003,"acc"
"Georgia Tech",2003,"acc"
"Wake Forest",2003,"acc"
"Duke",2003,"acc"
"North Carolina",2003,"acc"
"Florida State",2002,"acc"
"Maryland",2002,"acc"
"Virginia",2002,"acc"
"North Carolina State",2002,"acc"
