ID,Team,Conf,Year
2,Auburn,sec,2001
5,UAB,cusa,2001
8,Arkansas,sec,2001
9,Arizona State,pac-12,2001
12,Arizona,pac-12,2001
21,San Diego State,mwc,2001
23,SJSU,wac,2001
24,Stanford,pac-12,2001
25,California,pac-12,2001
26,UCLA,pac-12,2001
30,USC,pac-12,2001
36,Colorado State,mwc,2001
38,Colorado,big-12,2001
41,Connecticut,independent,2001
52,Florida State,acc,2001
55,NotMajor,NotMajor,2001
57,Florida,sec,2001
58,South Florida,independent,2001
59,Georgia Tech,acc,2001
61,Georgia,sec,2001
62,Hawaii,wac,2001
66,Iowa State,big-12,2001
68,Boise State,wac,2001
70,Idaho,sun-belt,2001
77,Northwestern,big-ten,2001
79,NotMajor,NotMajor,2001
84,Indiana,big-ten,2001
87,Notre Dame,independent,2001
93,NotMajor,NotMajor,2001
96,Kentucky,sec,2001
97,Louisville,cusa,2001
98,NotMajor,NotMajor,2001
99,LSU,sec,2001
103,Boston College,big-east,2001
113,NotMajor,NotMajor,2001
120,Maryland,acc,2001
127,Michigan State,big-ten,2001
130,Michigan,big-ten,2001
135,Minnesota,big-ten,2001
142,Missouri,big-12,2001
145,Ole Miss,sec,2001
147,NotMajor,NotMajor,2001
149,NotMajor,NotMajor,2001
150,Duke,acc,2001
151,East Carolina,cusa,2001
152,North Carolina State,acc,2001
153,North Carolina,acc,2001
154,Wake Forest,acc,2001
158,Nebraska,big-12,2001
164,Rutgers,big-east,2001
166,New Mexico State,sun-belt,2001
167,New Mexico,mwc,2001
183,Syracuse,big-east,2001
189,Bowling Green State,mac,2001
193,Miami (OH),mac,2001
194,Ohio State,big-ten,2001
195,Ohio,mac,2001
197,Oklahoma State,big-12,2001
201,Oklahoma,big-12,2001
202,Tulsa,wac,2001
204,Oregon State,pac-12,2001
213,Penn State,big-ten,2001
218,Temple,big-east,2001
221,Pitt,big-east,2001
228,Clemson,acc,2001
231,NotMajor,NotMajor,2001
235,Memphis,cusa,2001
236,NotMajor,NotMajor,2001
238,Vanderbilt,sec,2001
239,Baylor,big-12,2001
242,Rice,wac,2001
245,Texas A&M,big-12,2001
248,Houston,cusa,2001
249,North Texas,sun-belt,2001
251,Texas,big-12,2001
252,Brigham Young,mwc,2001
253,NotMajor,NotMajor,2001
254,Utah,mwc,2001
257,NotMajor,NotMajor,2001
258,Virginia,acc,2001
259,Virginia Tech,big-east,2001
264,Washington,pac-12,2001
265,Washington State,pac-12,2001
275,Wisconsin,big-ten,2001
276,Marshall,mac,2001
277,West Virginia,big-east,2001
278,Fresno State,wac,2001
282,NotMajor,NotMajor,2001
309,Louisiana-Lafayette,sun-belt,2001
326,NotMajor,NotMajor,2001
328,Utah State,independent,2001
331,NotMajor,NotMajor,2001
333,Alabama,sec,2001
344,Mississippi State,sec,2001
349,Army,cusa,2001
356,Illinois,big-ten,2001
2005,Air Force,mwc,2001
2006,Akron,mac,2001
2026,NotMajor,NotMajor,2001
2032,Arkansas State,sun-belt,2001
2050,Ball State,mac,2001
2083,NotMajor,NotMajor,2001
2084,Buffalo,mac,2001
2116,UCF,independent,2001
2117,Central Michigan,mac,2001
2132,Cincinnati,cusa,2001
2193,NotMajor,NotMajor,2001
2197,NotMajor,NotMajor,2001
2198,NotMajor,NotMajor,2001
2199,Eastern Michigan,mac,2001
2287,NotMajor,NotMajor,2001
2294,Iowa,big-ten,2001
2305,Kansas,big-12,2001
2306,Kansas State,big-12,2001
2309,Kent State,mac,2001
2335,NotMajor,NotMajor,2001
2348,Louisiana Tech,wac,2001
2377,NotMajor,NotMajor,2001
2390,Miami (FL),big-east,2001
2393,Middle Tennessee State,sun-belt,2001
2426,Navy,independent,2001
2433,Louisiana-Monroe,sun-belt,2001
2439,Nevada-Las Vegas,mwc,2001
2440,Nevada,wac,2001
2447,NotMajor,NotMajor,2001
2459,Northern Illinois,mac,2001
2460,NotMajor,NotMajor,2001
2464,NotMajor,NotMajor,2001
2466,NotMajor,NotMajor,2001
2483,Oregon,pac-12,2001
2509,Purdue,big-ten,2001
2534,NotMajor,NotMajor,2001
2546,NotMajor,NotMajor,2001
2567,SMU,wac,2001
2572,Southern Mississippi,cusa,2001
2579,South Carolina,sec,2001
2582,NotMajor,NotMajor,2001
2617,NotMajor,NotMajor,2001
2623,NotMajor,NotMajor,2001
2628,Texas Christian,cusa,2001
2633,Tennessee,sec,2001
2635,NotMajor,NotMajor,2001
2638,UTEP,wac,2001
2640,NotMajor,NotMajor,2001
2641,Texas Tech,big-12,2001
2643,NotMajor,NotMajor,2001
2649,Toledo,mac,2001
2653,Troy,independent,2001
2655,Tulane,cusa,2001
2692,NotMajor,NotMajor,2001
2710,NotMajor,NotMajor,2001
