HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Rec,Spread_Med2,Spread_Mode2
2426,349,2013,16,,-13.5,-13.5,-14.0,-13.5,-13.5,-13.5,-13.5,27,independent,-13.5,-13.5,12.2,-13.5,-13.5
2,142,2013,15,-23.0,2.0,2.0,1.5,-2.0,2.0,2.0,2.0,17,sec,2.0,2.0,-23.0,2.0,2.0
41,235,2013,15,6.333333333333332,1.5,1.5,2.0,0.0,1.5,1.5,-8.0,35,american,1.5,1.5,6.333333333333332,1.5,1.5
239,251,2013,15,-1.6666666666666667,-17.5,-17.0,-17.5,-17.0,-17.0,-17.0,,20,big-12,-17.0,-17.0,-1.6666666666666667,-17.0,-17.0
2459,189,2013,15,-10.8,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-20,mac,-3.0,-3.0,-10.8,-3.0,-3.0
197,201,2013,15,1.2,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.125,-9,big-12,-10.0,-10.0,1.2,-10.0,-10.0
2567,2116,2013,15,-10.8,13.5,14.0,13.5,-3.0,14.5,-1.8125,14.0,-4,american,14.0,14.0,-10.8,13.5,13.5
242,276,2013,15,-8.0,6.5,6.5,6.125,6.5,6.0,6.5,6.5,17,cusa,6.5,6.5,-8.0,6.5,6.5
59,61,2013,14,1.2,2.5,3.0,3.0,3.0,2.5,3.0,3.0,-7,acc,3.0,3.0,1.2,3.0,3.0
344,145,2013,14,9.666666666666666,4.0,3.5,4.0,4.5,4.0,3.5,4.0,7,sec,4.0,4.0,9.666666666666666,4.0,4.0
264,265,2013,14,-7.166666666666666,-17.5,-17.5,-17.0,-2.833333333333333,-17.0,-2.833333333333333,-13.0,10,pac-12,-17.0,-17.0,-7.166666666666666,-15.0,-17.5
2,333,2013,14,-24.33333333333333,10.0,10.0,10.0,10.5,10.5,10.0,10.0,6,sec,10.0,10.0,-24.33333333333333,10.0,10.0
