HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Mode2
2,8,2016,8,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,53,sec,-10.5,-10.5,NA
142,8,2016,13,8,8,8,8,8,7.5,8,8,4,sec,8,8,NA
2628,8,2016,2,-10.5,-10.5,-10.5,-10,-10,-10.5,-10.5,-10.5,-3,big-12,-10.5,-10.5,NA
2,99,2016,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,sec,3.5,3.5,NA
245,99,2016,13,7,6.5,7,6.5,6.5,6.5,7,6.5,-15,sec,6.5,6.5,NA
275,99,2016,1,13,12.5,12.5,12.5,12.5,12.5,12.5,13,2,big-ten,12.5,12.5,NA
2,228,2016,1,9,7.5,9.5,9,9,9,9.5,8.5,-6,sec,9,9,NA
59,228,2016,4,11,10.5,11,10,10,10.5,11,10.5,-19,acc,10.5,10.5,NA
103,228,2016,6,18,17.5,18,17.5,17.5,18,18,9.5,-46,acc,18,18,NA
2,238,2016,10,-6.42,-22.5,-23,-22.5,-6.26,-6.5,-23,-6.16,7,sec,-22.75,-23,NA
59,238,2016,3,-6.5,-6.5,-7,-6,-6.5,-7.25,-7,-6,31,acc,-6.5,-6.5,NA
61,238,2016,7,-14,-14,-13.5,-13.5,-14,-13.5,-13.5,-14,-1,sec,-13.75,-14,NA
96,238,2016,6,-3,-3,-3,-3,-3,-3,-3,-3,7,sec,-3,-3,NA
98,238,2016,4,-8.5,-9.5,-9,-8.5,-8.5,-9,-9,-9,-1,cusa,-9,-9,NA
142,238,2016,11,-4,-3.5,-3.5,-4,-3.5,-3.5,-3.5,-3.5,9,sec,-3.5,-3.5,NA
2,245,2016,3,-1.5,-1,-1,-1.5,-1.5,-1,-1,-1.5,-13,sec,-1.25,-1.5,NA
333,245,2016,8,-17.5,-18,-18,-18.5,-17.5,-18,-18,NA,19,sec,-18,-18,NA
344,245,2016,10,10,10,10,10,10.5,11,10,10,7,sec,10,10,NA
2579,245,2016,5,-3,19.5,20,20.5,20,20,20,4.25,-11,sec,20,20,NA
2,2032,2016,2,-2.5,-20.5,-20.5,-20.5,-21,-20.5,-20.5,-2.25,37,sec,-20.5,-20.5,NA
