HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
57,61,2013,10,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,-3,sec,3.5,3.5
2579,344,2013,10,-13,-13.5,-13,-13,-13,-13,-13,-13.5,18,sec,-13,-13
6,2032,2013,10,-3.5,-3,-3,-3,NA,-3,-3,-3,-1,sun-belt,-3,-3
249,242,2013,10,-3,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3,12,cusa,-2.5,-2.5
5,2393,2013,10,3.5,3.5,3.5,3.5,NA,4,3.5,3.5,-3,cusa,3.5,3.5
276,2572,2013,10,NA,NA,-31.5,NA,NA,NA,NA,NA,48,cusa,-31.5,-31.5
2247,98,2013,10,NA,18.5,18.5,18.5,NA,18.5,NA,NA,-16,sun-belt,18.5,18.5
2006,2309,2013,10,NA,-2,-2,-1,NA,-2,-2,-2,9,mac,-2,-2
8,2,2013,10,9,9.5,9.5,9.5,9.5,9.5,9,9.5,-18,sec,9.5,9.5
87,2426,2013,10,NA,-16.5,-16.5,-17,NA,-17,NA,NA,4,independent,-16.75,-17
265,9,2013,10,11,11,11,11,11,11,11.5,11,-34,pac-12,11,11
25,12,2013,10,0,14,14.5,15.5,0,15.5,0.3333333333333333,0,-5,pac-12,15,15.5
204,30,2013,10,-5,-5.5,-5.5,-5.5,-5,-5,-5,-5.5,-17,pac-12,-5.25,-5.5
158,77,2013,10,-4,-4,-4.5,-3.5,-4.5,-4.5,-4,-4,3,big-ten,-4,-4
2509,194,2013,10,NA,NA,31.5,NA,NA,NA,NA,NA,-56,big-ten,31.5,31.5
26,38,2013,10,4.625,-29.5,-30.5,4.375,5,4.875,4.5,4.5,22,pac-12,-30,-30.5
2439,23,2013,10,5,5,5,4.5,5,5,5,5,-10,mwc,5,5
248,58,2013,10,NA,-18.5,-18.5,-19.5,NA,-20,NA,NA,12,american,-19,-18.5
142,2633,2013,10,-11.5,-11,-11,-11,-12,-11,-11,-11,28,sec,-11,-11
152,153,2013,10,5.5,5,5,5.5,5.5,5,5,5,-8,acc,5,5
59,221,2013,10,-11,-11.5,-11.5,-11.5,-11.5,-11.5,-11,-11.5,11,acc,-11.5,-11.5
103,259,2013,10,4,4,4,4,4.5,4.5,4,4,7,acc,4,4
2641,197,2013,10,NA,2,2,2,1.5,1.5,2,2,-18,big-12,2,2
164,218,2013,10,-12.5,-11.5,-12,-12.5,NA,-11.5,-12,-11.5,3,american,-12,-11.5
70,326,2013,10,NA,10,10.5,10.5,NA,11,11,10.5,-16,independent,10.5,10.5
113,2459,2013,10,NA,28,28,NA,NA,28.5,NA,NA,-44,mac,28,28
127,130,2013,10,-3.5,-3.5,-4.5,-4,-5,-4.5,-4.5,-4,23,big-ten,-4.25,-4.5
84,135,2013,10,-7.5,-7.5,-7.5,-7.5,-8,-8,-7.5,-7.5,-3,big-ten,-7.5,-7.5
213,356,2013,10,-13,-13.5,-13.5,-13.5,-13,-13,-13,-14,7,big-ten,-13.25,-13
96,2011,2013,10,NA,NA,-27.5,NA,NA,NA,NA,NA,34,sec,-27.5,-27.5
183,154,2013,10,-4,-3.5,-4,-4,-4,-4,-4,-4,13,acc,-4,-4
2005,349,2013,10,0,1,1,0,NA,1,1,1.5,14,mwc,1,1
258,228,2013,10,NA,17.5,17.5,18,NA,18,NA,NA,-49,acc,17.75,17.5
2628,277,2013,10,-11.5,-11,-11,-11,-12,-12,-11,-11,-3,big-12,-11,-11
2294,275,2013,10,9,8.5,9,9.5,9.5,9.5,8.5,8.5,-19,big-ten,9,8.5
2229,151,2013,10,NA,27,27,NA,NA,27,NA,NA,-21,cusa,27,27
