HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Rec
2426,349,2015,15,NA,-21,-21.5,-22,-22,-21,NA,NA,4,american,-21.5,-22,2.6
2032,326,2015,14,24,-24.5,-24.5,-25,-4.125,-24.5,-4.125,-4.125,38,sun-belt,-24.5,-24.5,24
2433,166,2015,14,22.8,1,1,0,1.5,1,1,1,7,sun-belt,1,1,22.8
239,251,2015,14,30,-20.5,-21,-21,-21.5,-21,NA,-7,-6,big-12,-21,-21,30
333,57,2015,14,-6.125,-16.5,-17,-17,-17,-17,2.75,2.625,14,sec,-17,-17,-6.125
98,2572,2015,14,-16.666666666666668,-7,-7.5,-7,-7.5,-7,-7.5,-7,17,cusa,-7.25,-7.5,-16.666666666666668
248,218,2015,14,-16.5,-5.5,-5.5,-5,-6,-6,-5.5,-5.5,11,american,-5.5,-5.5,-16.5
309,2653,2015,14,18.8,-2,-2,-1.5,-2,-2,-2,-2,-24,sun-belt,-2,-2,18.8
2306,277,2015,14,6.25,6.5,6.5,6.5,6.5,6.5,6.5,6.5,1,big-12,6.5,6.5,6.25
290,2247,2015,14,3.25,-20.5,-20.5,-20.5,-10.625,-20.5,-7.75,-7.75,-27,sun-belt,-20.5,-20.5,3.25
59,61,2015,13,1.75,3.5,4,4,4,3.5,4,4,-6,acc,4,4,1.75
2,333,2015,13,-23.666666666666668,14.5,14.5,15.5,15.5,14.5,4,4.16666666666667,-16,sec,14.5,14.5,-23.666666666666668
2026,309,2015,13,10.25,-22,-22.5,-7.75,-7.5,-22.5,1.125,-6.75,21,sun-belt,-22.5,-22.5,10.25
8,142,2015,13,4.0625,-15.5,-15.5,-14.5,-15,-15,-15.5,-15.5,25,sec,-15.25,-15.5,4.0625
249,2638,2015,13,31,-2.5,-2.5,-3,-2.5,-3,-2.5,-3,-3,cusa,-2.5,-2.5,31
2483,204,2015,13,28.1875,-12.21875,-34.5,-9.625,-9.875,-9.625,-9.625,-8.125,10,pac-12,-34.5,-34.5,28.1875
264,265,2015,13,-1.75,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,35,pac-12,-7.5,-7.5,-1.75
23,68,2015,13,-18.75,8,8.5,8,7.5,8,8,8,-17,mwc,8,8,-18.75
328,252,2015,13,8.333333333333334,3,3,3,3,3,3,3,-23,mwc,3,3,8.333333333333334
30,26,2015,13,-17.25,-3,-3,-2.5,-2.5,-3,-3,-3,19,pac-12,-3,-3,-17.25
254,38,2015,13,3,-16.5,-16.5,-16.5,-16.5,-16.5,5,5,6,pac-12,-16.5,-16.5,3
166,2032,2015,13,NA,17.5,17.5,17.5,NA,17.5,NA,NA,-24,sun-belt,17.5,17.5,NA
2084,113,2015,13,18.4,-6.5,-7,-6,-6.6,-6.5,-6.5,-7,-5,mac,-6.5,-7,18.4
248,2426,2015,13,3.5,3,1.5,1.5,2,1.5,1.5,1,21,american,1.5,1.5,3.5
96,97,2015,13,5.75,7,7,6.5,6,7,6.5,7,-14,sec,6.75,7,5.75
70,326,2015,13,29.666666666666668,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,7,sun-belt,-4.5,-4.5,29.666666666666668
2633,238,2015,13,8.3,-18.5,-18,-18,-4.666666666666667,-18,-5,-4.83333333333333,25,sec,-18,-18,8.3
295,2226,2015,13,5,4,4,4,4,4,4,4,-2,cusa,4,4,5
151,2132,2015,13,11.6,1.5,2,1.5,2,2,2,2,-3,american,2,2,11.6
235,2567,2015,13,27.5,-20,-20,-19.5,-13,-20,-12,-12,63,american,-20,-20,27.5
152,153,2015,13,-3.25,3.5,3.5,3.5,4,3.5,3.5,3.5,-11,acc,3.5,3.5,-3.25
258,259,2015,13,-5.6,3.5,3.5,3.5,3,3.5,3.5,3,-3,acc,3.5,3.5,-5.6
158,2294,2015,13,-14,2.5,2.5,2,2.5,3,2.5,1.75,-8,big-ten,2.5,2.5,-14
127,213,2015,13,3.25,-7.5,-8,-7.5,-8.5,-7.5,-8,-7.5,39,big-ten,-7.5,-7.5,3.25
130,194,2015,13,-13.75,1,1.5,1,2.5,1.5,1.5,1,-29,big-ten,1.5,1,-13.75
183,103,2015,13,6.25,2.5,2.5,1,2,1,2.5,3,3,acc,2.5,2.5,6.25
2579,228,2015,13,-21.5,20.5,20.5,20,20.5,20.5,8.66666666666667,8.66666666666667,-5,sec,20.5,20.5,-21.5
