HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Rec
103,228,2016,6,NA,17.5,18,17.5,17.5,18,18,NA,-46,acc,18,18,NA
96,238,2016,6,NA,-3,-3,-3,-3,-3,-3,-3,7,sec,-3,-3,15
2247,326,2016,6,NA,-10,-10,-10,-10,-10,-10,-10,20,sun-belt,-10,-10,NA
8,333,2016,6,NA,14.5,14.5,14.5,14.5,15,14.5,14.5,-19,sec,14.5,14.5,NA
9,26,2016,6,NA,8,8,7.5,8,8,8,7.5,3,pac-12,8,8,NA
127,252,2016,6,NA,-3.5,-3.5,-3.5,-3.5,-4,-3.5,-3.5,-17,big-ten,-3.5,-3.5,NA
23,62,2016,6,NA,-3,-3,-3,-3,-3,-3,-3,-17,mwc,-3,-3,NA
21,2439,2016,6,NA,-16.5,-16.5,-16.5,-16.5,-15,-16.5,NA,19,mwc,-16.5,-16.5,NA
30,38,2016,6,NA,-5,-5,-5,-5,-5,-5,-5,4,pac-12,-5,-5,NA
24,265,2016,6,NA,-7.5,-8,-7,-7.5,-7.5,-8,-7,-26,pac-12,-7.5,-7.5,NA
204,25,2016,6,NA,13.5,13,13.5,13,14,13,13,3,pac-12,13.25,13,NA
152,87,2016,6,NA,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3,7,acc,-2.5,-2.5,-7
36,328,2016,6,NA,6,6,6,5,6,6,6,7,mwc,6,6,NA
2440,278,2016,6,NA,-8.5,-7.5,-7,-7.5,-8.5,-7.5,-8,5,mwc,-7.5,-7.5,NA
154,183,2016,6,NA,-4.5,-4.5,-4.5,-4,-4.5,-4.5,-4.5,19,acc,-4.5,-4.5,NA
235,218,2016,6,NA,-9.5,-9.5,-9.5,-10,-9.5,-9.5,-9.5,7,american,-9.5,-9.5,NA
41,2132,2016,6,NA,3,3,3,3,3,3,3,11,american,3,3,NA
295,113,2016,6,NA,-12,-12,-12,-12,-12,-12,-12.5,20,cusa,-12,-12,NA
2390,52,2016,6,NA,-1.5,-1.5,-1.5,-2.5,-2,-1.5,-1.5,-1,acc,-1.5,-1.5,NA
58,151,2016,6,NA,-14,-14,-14,-14,-8,-14,NA,16,american,-14,-14,NA
2711,2459,2016,6,NA,-17.5,-17.5,-17.5,-18,-17.5,-17.5,NA,15,mac,-17.5,-17.5,NA
344,2,2016,6,NA,4,4,3.5,3.5,4,4,4,-24,sec,4,4,NA
221,59,2016,6,NA,-6.5,-6.5,-6,-6,-6.5,-6.5,-6.5,3,acc,-6.5,-6.5,NA
245,2633,2016,6,NA,-7.5,-8,-8,-7.5,-7.5,-8,-8,7,sec,-7.75,-8,NA
2306,2641,2016,6,NA,-9.5,-10,-9.5,-9.5,-9.5,-10,-10,6,big-12,-9.5,-9.5,NA
194,84,2016,6,NA,NA,-28,NA,NA,NA,-28,NA,21,big-ten,-28,-28,NA
213,120,2016,6,NA,2,2,2,2,1.5,2,2,24,big-ten,2,2,NA
2117,2050,2016,6,NA,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,3,mac,-12.5,-12.5,NA
356,2509,2016,6,NA,-9,-9,-8.5,-9.5,-9,-9,-9,-3,big-ten,-9,-9,NA
153,259,2016,6,NA,3,3,3,2.5,3,3,3,-31,acc,3,3,NA
150,349,2016,6,NA,-5.5,-5,-4.5,-5,-5.5,-5,-5.5,7,acc,-5,-5,-21.333333333333332
2579,61,2016,6,NA,8.5,9.5,8,8,7.5,9.5,8.5,-14,sec,8.5,8,NA
2636,2572,2016,6,NA,17,17,17,17,17,17,NA,23,cusa,17,17,NA
2226,2429,2016,6,NA,-13,-13,-13,-13.5,-13.5,-13,-13,-5,cusa,-13,-13,NA
2638,2229,2016,6,NA,-4.5,-5,-5,-6,-5,-5,-5,-14,cusa,-5,-5,8
164,130,2016,6,NA,NA,30,NA,NA,NA,30,NA,-78,big-ten,30,30,NA
135,2294,2016,6,NA,-2.5,-2.5,-2.5,-2.5,-2,-2.5,-2.5,-7,big-ten,-2.5,-2.5,NA
202,2567,2016,6,NA,-16,-16,-15.5,-15,-15,-16,NA,3,american,-15.5,-16,NA
167,68,2016,6,NA,18.5,19,18.5,19.5,19,19,NA,-28,mwc,19,19,NA
2006,193,2016,6,NA,-11.5,-11.5,-11,-11,-11,-11.5,-11.5,22,mac,-11.5,-11.5,NA
2348,98,2016,6,NA,2.5,3,3,2.5,2.5,3,3,3,cusa,3,3,NA
2084,2309,2016,6,NA,3,3,3,3,3,3,3,-24,mac,3,3,NA
195,189,2016,6,NA,-11.5,-11.5,-12,-12.5,-12,-11.5,-12,6,mac,-12,-12,NA
197,66,2016,6,NA,-14,-14,-14.5,-14.5,-14,-14,-14,7,big-12,-14,-14,NA
201,251,2016,6,NA,11.5,11.5,11.5,11.5,12.5,11.5,11.5,5,big-12,11.5,11.5,NA
249,276,2016,6,NA,13.5,13.5,13.5,13,13.5,13.5,13.5,17,cusa,13.5,13.5,16
2426,248,2016,6,NA,16,15.5,15,16,15,15.5,NA,6,american,15.5,15,NA
2305,2628,2016,6,NA,NA,30,NA,NA,NA,30,NA,-1,big-12,30,30,NA
2199,2649,2016,6,NA,20.5,20.5,20.5,20,20.5,20.5,NA,-15,mac,20.5,20.5,NA
254,12,2016,6,NA,-9.5,-9.5,-9.5,-10,-10,-9.5,-9.5,13,pac-12,-9.5,-9.5,NA
2483,264,2016,6,NA,10.5,10.5,10.5,10.5,10.5,10.5,10.5,-49,pac-12,10.5,10.5,NA
2433,70,2016,6,NA,-3,-2,-2.5,-2.5,-2.5,-2,-3,-3,sun-belt,-2.5,-3,NA
2751,2005,2016,6,NA,13.5,13.5,13,12,13,13.5,13.5,9,mwc,13.25,13.5,NA
275,99,2016,1,NA,12.5,12.5,12.5,12.5,12.5,12.5,13,2,big-ten,12.5,12.5,NA
2,228,2016,1,NA,7.5,9.5,9,9,9,9.5,8.5,-6,sec,9,9,NA
2638,166,2016,1,NA,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,16,cusa,-9.5,-9.5,NA
195,326,2016,1,NA,-17,-17.5,-17.5,-18,NA,-17.5,NA,-2,mac,-17.5,-17.5,NA
8,2348,2016,1,NA,-21,-21,-21,NA,-21,-21,NA,1,sec,-21,-21,NA
245,26,2016,1,NA,-5,-5,-4.5,-4,-3,-5,-5,7,sec,-4.75,-5,NA
9,2464,2016,1,NA,NA,-27.5,NA,NA,NA,-27.5,NA,31,pac-12,-27.5,-27.5,NA
333,30,2016,1,NA,-13.5,-13.5,-13,-13,-13.5,-13.5,-13.5,46,sec,-13.5,-13.5,NA
12,252,2016,1,NA,1,1.5,1,1,1.5,1.5,1.5,-2,pac-12,1.25,1,NA
202,23,2016,1,NA,-3.5,-3.5,-4,-4.5,-4.5,-3.5,-3.5,35,american,-3.5,-3.5,NA
130,62,2016,1,NA,-3,-38,-3,-3,-3,-38,NA,60,big-ten,-38,-38,NA
21,160,2016,1,NA,NA,-30.5,NA,NA,NA,-30.5,NA,31,mwc,-30.5,-30.5,NA
135,204,2016,1,NA,-13.5,-13.5,-13.5,-13,-13,-13.5,-13,7,big-ten,-13.25,-13.5,NA
24,2306,2016,1,NA,-12.5,-13,-13.5,-13.5,-12,-13,-13,13,pac-12,-13,-13.5,NA
251,87,2016,1,NA,3.5,3,3.5,4,4,3,3.5,3,big-12,3.5,3.5,NA
158,278,2016,1,NA,NA,-29,NA,NA,NA,-29,NA,33,big-ten,-29,-29,NA
38,36,2016,1,NA,-7,-7,-7.5,-7.5,-8.5,-7,-7,37,pac-12,-7,-7,NA
41,311,2016,1,NA,NA,-27.5,NA,NA,NA,-27.5,NA,3,american,-27.5,-27.5,NA
154,2655,2016,1,NA,-14,-14.5,-14.5,-14,-14,-14.5,-14.5,4,acc,-14.25,-14.5,NA
57,113,2016,1,NA,NA,-35,NA,NA,NA,-35,NA,17,sec,-35,-35,NA
277,142,2016,1,NA,-10,-10,-9.5,-9.5,-9.5,-10,-10,15,big-12,-9.75,-10,NA
238,2579,2016,1,NA,-5,-5,-5,-5.5,-5,-5,-5,-3,sec,-5,-5,NA
58,119,2016,1,NA,NA,-27,NA,NA,NA,-27,NA,36,american,-27,-27,NA
2751,2459,2016,1,NA,7,7.5,7,7,7.5,7.5,7,6,mwc,7,7,NA
103,59,2016,1,NA,3,3,3.5,3,3,3,3,-3,acc,3,3,NA
