HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
2,8,2016,8,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,53,sec,-10.5,-10.5
142,8,2016,13,8.0,8.0,8.0,8.0,8.0,7.5,8.0,8.0,4,sec,8.0,8.0
2628,8,2016,2,-10.5,-10.5,-10.5,-10.0,-10.0,-10.5,-10.5,-10.5,-3,big-12,-10.5,-10.5
2,99,2016,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,sec,3.5,3.5
245,99,2016,13,7.0,6.5,7.0,6.5,6.5,6.5,7.0,6.5,-15,sec,6.5,6.5
275,99,2016,1,13.0,12.5,12.5,12.5,12.5,12.5,12.5,13.0,2,big-ten,12.5,12.5
2,228,2016,1,9.0,7.5,9.5,9.0,9.0,9.0,9.5,8.5,-6,sec,9.0,9.0
59,228,2016,4,11.0,10.5,11.0,10.0,10.0,10.5,11.0,10.5,-19,acc,10.5,10.5
103,228,2016,6,18.0,17.5,18.0,17.5,17.5,18.0,18.0,,-46,acc,18.0,18.0
2,238,2016,10,,-22.5,-23.0,-22.5,,,-23.0,,7,sec,-22.75,-23.0
59,238,2016,3,-6.5,-6.5,-7.0,-6.0,-6.5,,-7.0,-6.0,31,acc,-6.5,-6.5
61,238,2016,7,-14.0,-14.0,-13.5,-13.5,-14.0,-13.5,-13.5,-14.0,-1,sec,-13.75,-14.0
96,238,2016,6,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,7,sec,-3.0,-3.0
98,238,2016,4,-8.5,-9.5,-9.0,-8.5,-8.5,-9.0,-9.0,-9.0,-1,cusa,-9.0,-9.0
142,238,2016,11,-4.0,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,-3.5,9,sec,-3.5,-3.5
2,245,2016,3,-1.5,-1.0,-1.0,-1.5,-1.5,-1.0,-1.0,-1.5,-13,sec,-1.25,-1.5
333,245,2016,8,-17.5,-18.0,-18.0,-18.5,-17.5,-18.0,-18.0,,19,sec,-18.0,-18.0
