HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
61,142,2013,7,-7.0,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-7.0,-15,sec,-6.5,-6.5
96,333,2013,7,,26.5,26.5,,,27.5,,,-41,sec,26.5,26.5
2,2717,2013,7,,,-41.0,,,,,,59,sec,-41.0,-41.0
2636,242,2013,7,,1.0,1.0,1.0,,1.0,1.0,,-6,cusa,1.0,1.0
249,2393,2013,7,-6.5,-6.5,-6.5,-6.5,,-7.0,-6.0,-6.5,27,cusa,-6.5,-6.5
2050,2309,2013,7,,-13.0,-13.0,-14.0,,-14.5,,-13.0,3,mac,-13.0,-13.0
8,2579,2013,7,4.5,5.0,5.0,5.5,5.0,5.0,4.0,5.0,-45,sec,5.0,5.0
264,2483,2013,7,14.0,11.5,12.0,12.5,13.5,13.0,12.0,12.0,-21,pac-12,12.25,12.0
150,2426,2013,7,-4.0,-4.0,-4.0,-3.5,,-4.0,-4.0,-4.0,28,acc,-4.0,-4.0
30,12,2013,7,-6.0,-5.5,-5.5,-6.0,-6.0,-5.5,-5.5,-5.5,7,pac-12,-5.5,-5.5
275,77,2013,7,-11.0,-11.0,-11.0,-11.5,-10.5,-11.0,-11.0,-11.0,29,big-ten,-11.0,-11.0
228,103,2013,7,,-24.0,-24.0,,,-24.0,,,10,acc,-24.0,-24.0
36,23,2013,7,-3.5,-3.0,-3.0,-3.5,-4.0,-3.5,-3.5,-3.5,-7,mwc,-3.5,-3.5
41,58,2013,7,-4.5,-4.0,-4.0,-4.5,,-4.0,-4.0,-4.0,-3,american,-4.0,-4.0
97,164,2013,7,,-19.5,-19.0,-20.0,-19.0,-19.0,,,14,american,-19.0,-19.0
248,235,2013,7,-7.5,-7.5,-8.0,-7.5,-8.5,-8.5,-8.0,-8.0,10,american,-8.0,-8.0
2032,70,2013,7,,-27.0,-27.0,,,-27.0,,,24,sun-belt,-27.0,-27.0
152,183,2013,7,-6.5,-6.5,-7.0,-6.0,-6.5,-7.0,-6.5,-7.0,-14,acc,-6.5,-6.5
259,221,2013,7,-7.5,-7.0,-7.5,-7.0,-7.5,-7.5,,-7.0,10,acc,-7.5,-7.5
2132,218,2013,7,,-20.5,-20.5,-20.5,,-21.0,,,18,american,-20.5,-20.5
213,130,2013,7,2.0,2.0,1.5,1.5,2.5,2.5,2.0,2.0,3,big-ten,2.0,2.0
344,189,2013,7,,-11.5,-11.5,-12.0,-11.5,,-11.0,-11.5,1,sec,-11.5,-11.5
251,201,2013,7,13.5,13.5,13.5,13.5,14.0,13.5,13.5,13.5,16,big-12,13.5,13.5
99,57,2013,7,-8.0,-9.0,-9.0,-8.0,-8.0,-8.0,-9.0,-9.0,11,sec,-8.5,-9.0
113,193,2013,7,,-6.5,-6.5,-6.5,,-6.5,-6.5,,7,mac,-6.5,-6.5
2247,2653,2013,7,,15.0,15.0,15.0,,15.0,,,-7,sun-belt,15.0,15.0
2229,5,2013,7,,6.0,6.0,6.0,,5.5,6.0,6.0,-3,cusa,6.0,6.0
2459,2006,2013,7,,-24.5,-24.0,-24.5,,-24.5,,,7,mac,-24.5,-24.5
120,258,2013,7,-6.0,-6.0,-6.0,-6.5,-6.0,-6.5,-6.0,-6.0,1,acc,-6.0,-6.0
127,84,2013,7,-9.5,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,14,big-ten,-10.0,-10.0
2509,158,2013,7,14.0,13.0,13.5,13.0,,13.5,13.5,13.5,-37,big-ten,13.5,13.5
195,2117,2013,7,,-20.0,-20.0,-20.0,,-20.5,,,-3,mac,-20.0,-20.0
252,59,2013,7,-7.5,-7.0,-7.5,-8.0,-7.5,-7.5,-7.0,-7.0,18,independent,-7.5,-7.5
2655,151,2013,7,12.5,13.5,13.5,13.5,12.5,13.5,12.5,13.5,3,cusa,13.5,13.5
326,2433,2013,7,-6.0,-6.0,-6.0,-5.5,,-6.5,-6.0,-6.0,-7,sun-belt,-6.0,-6.0
349,2199,2013,7,,-10.0,-10.5,-10.0,,-10.0,-10.0,-10.5,25,independent,-10.0,-10.0
2005,21,2013,7,3.5,3.5,3.5,4.0,4.0,4.0,3.5,3.5,-7,mwc,3.5,3.5
2711,2084,2013,7,,9.5,10.0,10.0,,10.0,9.5,10.0,-33,mac,10.0,10.0
2628,2305,2013,7,,-24.0,-24.0,-24.5,,,,,10,big-12,-24.0,-24.0
2641,66,2013,7,-14.5,-14.0,-14.5,-15.5,,-14.5,-14.5,,7,big-12,-14.5,-14.5
2226,276,2013,7,9.5,10.0,9.5,10.0,,10.0,9.5,10.0,-1,cusa,10.0,10.0
2751,167,2013,7,-13.5,-12.5,-12.5,-13.0,,-13.5,-12.5,-12.5,7,mwc,-12.5,-12.5
254,24,2013,7,8.0,7.5,7.5,7.5,8.5,8.0,7.5,7.5,6,pac-12,7.5,7.5
2306,239,2013,7,17.0,17.0,17.0,17.0,,18.0,,,-10,big-12,17.0,17.0
