HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
2426,23,2014,9,-8.5,-8.5,-8.5,-8.0,-9.0,-8.5,-8.5,-8.5,10,independent,-8.5,-8.5
2572,2348,2014,9,7.5,8.0,7.5,7.5,9.5,7.5,7.5,7.5,-11,cusa,7.5,7.5
2,2579,2014,9,,-18.5,-18.0,-18.5,-18.0,-18.0,,,7,sec,-18.0,-18.0
242,249,2014,9,-16.5,-16.0,-17.0,-17.0,-13.5,-17.0,-17.0,-17.0,20,cusa,-17.0,-17.0
6,2653,2014,9,-16.0,-16.0,-16.0,-16.5,-16.0,-17.0,-16.0,-16.0,14,sun-belt,-16.0,-16.0
2247,290,2014,9,,17.0,17.0,17.0,,17.0,,,-38,sun-belt,17.0,17.0
96,344,2014,9,15.0,14.5,14.5,15.5,,14.5,,,-14,sec,14.5,14.5
8,5,2014,9,,-24.5,-24.5,,,-24.0,,,28,sec,-24.5,-24.5
99,145,2014,9,4.0,4.0,3.5,5.0,3.0,4.0,3.5,3.5,3,sec,3.75,3.5
2633,333,2014,9,,20.0,19.5,20.0,17.5,20.0,,,-14,sec,20.0,20.0
2199,2459,2014,9,,17.5,18.0,,,18.0,,,-11,mac,18.0,18.0
38,26,2014,9,14.0,14.0,14.0,14.0,13.5,14.0,14.0,14.0,-3,pac-12,14.0,14.0
328,2439,2014,9,-17.0,-17.0,-16.5,-17.0,-17.0,-17.0,,,14,mwc,-17.0,-17.0
24,204,2014,9,-12.5,-12.0,-12.5,-12.5,-13.5,-12.5,-12.5,-12.5,24,pac-12,-12.5,-12.5
68,252,2014,9,-6.5,-6.5,-7.0,-6.5,-6.5,-6.5,-6.5,-7.0,25,mwc,-6.5,-6.5
25,2483,2014,9,,17.5,17.5,17.5,18.0,17.5,,,-18,pac-12,17.5,17.5
36,2751,2014,9,,-19.5,-19.5,-19.5,-19.5,-19.5,,,14,mwc,-19.5,-19.5
2116,218,2014,9,-7.0,-6.5,-6.0,-6.5,-7.0,-6.0,-6.5,-6.5,20,american,-6.5,-6.5
154,103,2014,9,13.5,13.5,13.5,13.5,12.5,13.0,13.0,13.5,-6,acc,13.5,13.5
151,41,2014,9,,,-28.0,,,,,,10,american,-28.0,-28.0
275,120,2014,9,-9.5,-9.5,-9.5,-10.0,-11.5,-9.5,-9.5,-9.5,45,big-ten,-9.5,-9.5
259,2390,2014,9,2.0,2.5,2.5,2.0,2.0,2.0,2.0,2.5,-24,acc,2.0,2.0
221,59,2014,9,-3.5,-3.5,-3.5,-4.0,-3.5,,-4.0,-3.5,-28,acc,-3.5,-3.5
142,238,2014,9,,-21.5,-21.5,-22.5,,-21.5,,,10,sec,-21.5,-21.5
197,277,2014,9,2.5,2.5,2.5,3.0,-1.0,2.5,2.5,3.0,-24,big-12,2.5,2.5
2628,2641,2014,9,,-24.5,-24.5,-24.5,,-24.5,,,55,big-12,-24.5,-24.5
127,130,2014,9,-17.0,-17.0,-16.5,-16.5,-17.0,-16.5,,,24,big-ten,-16.75,-17.0
258,153,2014,9,-6.5,-7.0,-7.0,-6.5,-7.0,-7.0,-7.0,-7.0,-1,acc,-7.0,-7.0
2711,195,2014,9,-8.5,-7.5,-8.0,-9.0,,-8.0,-8.5,-8.5,21,mac,-8.5,-8.5
98,295,2014,9,-13.0,-12.0,-12.5,-13.0,-11.0,-12.5,-13.0,-13.0,15,cusa,-12.75,-13.0
2636,2638,2014,9,-14.0,-13.5,-14.0,-14.0,-11.0,-14.0,-14.0,-14.0,-34,cusa,-14.0,-14.0
228,183,2014,9,-17.0,-16.5,-16.5,-16.5,-14.5,-16.5,,,10,acc,-16.5,-16.5
158,164,2014,9,,-20.0,-19.5,-19.5,-17.5,-19.5,,,18,big-ten,-19.5,-19.5
356,135,2014,9,4.0,3.5,4.0,3.5,6.5,4.0,4.0,4.0,4,big-ten,4.0,4.0
2567,235,2014,9,,22.0,22.0,,,22.0,,,-38,american,22.0,22.0
276,2226,2014,9,,,-27.5,,,,,,19,cusa,-27.5,-27.5
2433,326,2014,9,-3.0,-3.0,-3.0,-2.5,-2.5,-3.0,-2.5,-3.0,-4,sun-belt,-3.0,-3.0
193,2309,2014,9,-5.0,-5.0,-5.0,-5.5,,-5.0,-5.0,-5.0,7,mac,-5.0,-5.0
2649,113,2014,9,,-17.5,-17.5,-18.0,,-17.0,,,7,mac,-17.5,-17.5
2050,2006,2014,9,3.0,3.5,3.5,3.0,,3.0,3.5,3.5,14,mac,3.5,3.5
2306,251,2014,9,-9.5,-9.5,-9.5,-9.5,-10.0,-9.5,-9.5,-9.5,23,big-12,-9.5,-9.5
2132,58,2014,9,-9.5,-10.0,-10.0,-9.5,-9.5,-10.0,-10.0,-10.0,17,american,-10.0,-10.0
265,12,2014,9,2.5,2.5,2.0,2.5,2.5,2.0,2.5,3.0,-22,pac-12,2.5,2.5
2084,2117,2014,9,4.0,3.5,3.5,4.0,,4.0,4.0,3.5,-6,mac,4.0,4.0
