Home,Visiter,OverunderMirage,SpreadMirage,HomeMLMirage,VisMLMirage,HomeSpreadOddsMirage,VisSpreadOddsMirage,OverOddsMirage,UnderOddsMirage,OverunderPinnacle,SpreadPinnacle,HomeMLPinnacle,VisMLPinnacle,HomeSpreadOddsPinnacle,VisSpreadOddsPinnacle,OverOddsPinnacle,UnderOddsPinnacle,OverunderSportsbet,SpreadSportsbet,HomeMLSportsbet,VisMLSportsbet,HomeSpreadOddsSportsbet,VisSpreadOddsSportsbet,OverOddsSportsbet,UnderOddsSportsbet,OverunderWestgate,SpreadWestgate,HomeMLWestgate,VisMLWestgate,HomeSpreadOddsWestgate,VisSpreadOddsWestgate,OverOddsWestgate,UnderOddsWestgate,OverunderStation,SpreadStation,HomeMLStation,VisMLStation,HomeSpreadOddsStation,VisSpreadOddsStation,OverOddsStation,UnderOddsStation,OverunderSIA,SpreadSIA,HomeMLSIA,VisMLSIA,HomeSpreadOddsSIA,VisSpreadOddsSIA,OverOddsSIA,UnderOddsSIA,OverunderSBG,SpreadSBG,HomeMLSBG,VisMLSBG,HomeSpreadOddsSBG,VisSpreadOddsSBG,OverOddsSBG,UnderOddsSBG,OverunderBetUS,SpreadBetUS,HomeMLBetUS,VisMLBetUS,HomeSpreadOddsBetUS,VisSpreadOddsBetUS,OverOddsBetUS,UnderOddsBetUS,Year,Month,Day
AUB,CLEM,54.0,2.5,115.0,-135.0,-110.0,-110.0,-110.0,-110.0,54.5,2.0,114.0,-126.0,-102.0,-108.0,-103.0,-107.0,54.5,2.0,113.0,-127.0,-107.0,-107.0,-107.0,-107.0,54.5,2.5,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,55.0,2.5,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,54.5,2.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,54.5,2.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,54.5,2.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,2012,9,1
AUB,ULM,,,,,,,,,53.5,-14.0,-650.0,534.0,-102.0,-108.0,102.0,-112.0,53.0,-14.0,-670.0,530.0,-107.0,-107.0,-107.0,-107.0,53.5,-15.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,53.0,-15.0,-750.0,550.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,,,,,,,,,2012,9,15
AUB,LSU,,,,,,,,,45.0,18.0,688.0,-875.0,-107.0,-103.0,-110.0,100.0,45.0,18.0,645.0,-855.0,-107.0,-107.0,-107.0,-107.0,45.0,18.5,800.0,-1100.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,45.0,19.0,900.0,-1300.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,,,,,,,,,2012,9,22
AUB,ARK,56.0,-7.0,-270.0,230.0,-110.0,-110.0,-110.0,-110.0,55.0,-7.0,-285.0,252.0,-113.0,102.0,-107.0,-103.0,55.0,-7.5,-283.0,252.0,-102.0,-112.0,-107.0,-107.0,55.5,-7.0,-280.0,240.0,-110.0,-110.0,-110.0,-110.0,55.5,-7.0,-300.0,220.0,-110.0,-110.0,-110.0,-110.0,55.5,-7.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,55.5,-7.0,-290.0,245.0,-110.0,-110.0,-110.0,-110.0,55.0,-7.0,-290.0,240.0,-110.0,-110.0,-110.0,-110.0,2012,10,6
AUB,TA&M,54.0,14.0,500.0,-700.0,-110.0,-110.0,-110.0,-110.0,53.0,14.0,439.0,-520.0,-102.0,-108.0,-108.0,-102.0,53.0,14.0,437.0,-518.0,-107.0,-107.0,-107.0,-107.0,53.5,14.0,425.0,-550.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,53.5,14.5,450.0,-600.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,53.0,14.0,425.0,-550.0,-110.0,-110.0,-110.0,-110.0,2012,10,27
AUB,NMSU,,,,,,,,,48.5,-24.0,-1800.0,1150.0,-105.0,-105.0,-107.0,-103.0,48.5,-24.0,-1749.0,1276.0,-107.0,-107.0,-107.0,-107.0,48.5,-24.0,-2200.0,1400.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,48.5,-24.0,-2750.0,1250.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,,,,,,,,,2012,11,3
AUB,UGA,52.0,15.0,525.0,-750.0,-110.0,-110.0,-110.0,-110.0,52.0,15.5,500.0,-600.0,-107.0,-103.0,-108.0,-102.0,52.0,15.5,507.0,-633.0,-107.0,-107.0,-107.0,-107.0,52.0,15.5,550.0,-750.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,52.0,16.5,550.0,-800.0,-105.0,-115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,2012,11,11
AUB,AAMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,11,17
AUB,WSU,61.5,-14.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,60.5,-14.0,-550.0,447.0,-106.0,-106.0,-108.0,-104.0,60.5,-14.0,-541.0,449.0,-107.0,-107.0,-107.0,-107.0,62.0,-14.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,60.0,-14.0,-600.0,450.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,60.5,-14.0,-600.0,450.0,-110.0,-110.0,-110.0,-110.0,2013,8,31
AUB,ARST,61.0,-10.5,-420.0,340.0,-110.0,-110.0,-110.0,-110.0,60.0,-10.5,-410.0,344.0,100.0,-112.0,-106.0,-106.0,60.5,-10.5,-398.0,342.0,-107.0,-107.0,-107.0,-107.0,61.5,-10.5,-440.0,370.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,61.0,-10.5,-455.0,345.0,-110.0,-110.0,-110.0,-110.0,61.0,-10.5,-420.0,345.0,-110.0,-110.0,-110.0,-110.0,60.5,-10.5,-425.0,335.0,-110.0,-110.0,-110.0,-110.0,2013,9,7
