user,item,rating
103|120,SpreadMirage,1
103|120,SpreadPinnacle,1
103|120,SpreadSBG,1
103|120,SpreadSportsbet,1
103|120,SpreadStation,1
103|120,SpreadWag,1
103|120,SpreadWestgate,1
103|183,SpreadMirage,-3.5
103|183,SpreadPinnacle,-3.5
103|183,SpreadSBG,-3.5
103|183,SpreadSIA,-3
103|183,SpreadSportsbet,-3.5
103|183,SpreadStation,-3.5
103|183,SpreadWag,-3.5
103|183,SpreadWestgate,-3.5
103|2084,SpreadMirage,-18
103|2084,SpreadPinnacle,-18
103|2084,SpreadSBG,-18
103|2084,SpreadSIA,-18
103|2084,SpreadSportsbet,-18
103|2084,SpreadStation,-18
103|2084,SpreadWag,-17.5
103|2084,SpreadWestgate,-18
103|228,SpreadMirage,18
103|228,SpreadPinnacle,17.5
103|228,SpreadSBG,18
103|228,SpreadSIA,18
103|228,SpreadSportsbet,18
103|228,SpreadStation,17.5
103|228,SpreadWag,17.5
103|228,SpreadWestgate,17.5
103|2681,SpreadMirage,-44.49999999999999
103|2681,SpreadPinnacle,-44.5
103|2681,SpreadSBG,-44.5
103|2681,SpreadSIA,-44.5
103|2681,SpreadSportsbet,-44.5
103|2681,SpreadStation,-44.5
103|2681,SpreadWag,-44.5
103|2681,SpreadWestgate,-44.5
103|41,SpreadMirage,-7.5
103|41,SpreadPinnacle,-9
103|41,SpreadSBG,-8
103|41,SpreadSIA,-8
103|41,SpreadSportsbet,-8
103|41,SpreadStation,-8
103|41,SpreadWag,-7.5
103|41,SpreadWestgate,-8
103|59,SpreadMirage,6
103|59,SpreadPinnacle,6
103|59,SpreadSBG,6
103|59,SpreadSIA,6
103|59,SpreadSportsbet,6
103|59,SpreadStation,6
103|59,SpreadWag,7
103|59,SpreadWestgate,7
103|97,SpreadMirage,25.11204394960143
103|97,SpreadPinnacle,25.5
103|97,SpreadSBG,25
103|97,SpreadSIA,25
103|97,SpreadSportsbet,25
103|97,SpreadStation,25.133291309107836
103|97,SpreadWag,25
103|97,SpreadWestgate,25
113|103,SpreadMirage,15.5
113|103,SpreadPinnacle,15.5
113|103,SpreadSBG,16
113|103,SpreadSIA,15.5
113|103,SpreadSportsbet,16
113|103,SpreadStation,16
113|103,SpreadWag,16.5
113|103,SpreadWestgate,15.5
113|2229,SpreadMirage,1
113|2229,SpreadPinnacle,1
113|2229,SpreadSBG,1.5
113|2229,SpreadSIA,1.5
113|2229,SpreadSportsbet,1.5
113|2229,SpreadStation,1
113|2229,SpreadWag,1
113|2229,SpreadWestgate,1.5
113|2348,SpreadMirage,18.5
113|2348,SpreadPinnacle,19
113|2348,SpreadSBG,19
113|2348,SpreadSIA,18
113|2348,SpreadSportsbet,19
113|2348,SpreadStation,19
113|2348,SpreadWag,18
113|2348,SpreadWestgate,19
113|2655,SpreadMirage,2.5
113|2655,SpreadPinnacle,2.5
113|2655,SpreadSBG,2.5
113|2655,SpreadSIA,3
113|2655,SpreadSportsbet,2.5
113|2655,SpreadStation,2.5
113|2655,SpreadWag,2.5
113|2655,SpreadWestgate,3
113|2681,SpreadMirage,-23
113|2681,SpreadPinnacle,-23.000000000000004
113|2681,SpreadSBG,-23
113|2681,SpreadSIA,-23
113|2681,SpreadSportsbet,-23
113|2681,SpreadStation,-23
113|2681,SpreadWag,-23
113|2681,SpreadWestgate,-23.000000000000004
113|344,SpreadMirage,22.499999999999996
113|344,SpreadPinnacle,22.5
113|344,SpreadSBG,22.5
113|344,SpreadSIA,22.5
113|344,SpreadSportsbet,22.5
113|344,SpreadStation,22.5
113|344,SpreadWag,22.5
113|344,SpreadWestgate,22
12|24,SpreadMirage,4
12|24,SpreadPinnacle,3.5
12|24,SpreadSBG,4
12|24,SpreadSIA,4
12|24,SpreadSportsbet,4
12|24,SpreadStation,4
12|24,SpreadWag,3.9227398738343124
12|24,SpreadWestgate,4
12|252,SpreadMirage,1
12|252,SpreadPinnacle,1
12|252,SpreadSBG,1.5
12|252,SpreadSIA,1.5
12|252,SpreadSportsbet,1.5
12|252,SpreadStation,1
12|252,SpreadWag,1.2736039730140594
12|252,SpreadWestgate,1
12|264,SpreadMirage,17
12|264,SpreadPinnacle,17
12|264,SpreadSBG,17
12|264,SpreadSIA,17
12|264,SpreadSportsbet,17
12|264,SpreadStation,17
12|264,SpreadWag,16.89592820610548
12|264,SpreadWestgate,16.5
12|2755,SpreadMirage,-44
12|2755,SpreadPinnacle,-44
12|2755,SpreadSBG,-44
12|2755,SpreadSIA,-44
12|2755,SpreadSportsbet,-44
12|2755,SpreadStation,-44
12|2755,SpreadWag,-44
12|2755,SpreadWestgate,-44
12|30,SpreadMirage,14
12|30,SpreadPinnacle,14
12|30,SpreadSBG,14
12|30,SpreadSIA,14
12|30,SpreadSportsbet,14
12|30,SpreadStation,14
12|30,SpreadWag,13
12|30,SpreadWestgate,14
12|38,SpreadMirage,18
12|38,SpreadPinnacle,17.5
12|38,SpreadSBG,17.5
12|38,SpreadSIA,17.5
12|38,SpreadSportsbet,17.5
12|38,SpreadStation,18
12|38,SpreadWag,17.545064106925736
12|38,SpreadWestgate,17.5
12|62,SpreadMirage,-23.86285932390936
12|62,SpreadPinnacle,-23.5
12|62,SpreadSBG,-24
12|62,SpreadSIA,-24
12|62,SpreadSportsbet,-24
12|62,SpreadStation,-23.85077071543601
12|62,SpreadWag,-23.686325350121212
12|62,SpreadWestgate,-23
12|9,SpreadMirage,1
12|9,SpreadPinnacle,1
12|9,SpreadSBG,1.5
12|9,SpreadSIA,1.5
12|9,SpreadSportsbet,1.5
12|9,SpreadStation,2
12|9,SpreadWag,1.2736039730140594
12|9,SpreadWestgate,1
120|127,SpreadMirage,3
120|127,SpreadPinnacle,2.5
120|127,SpreadSBG,2.5
120|127,SpreadSIA,3
120|127,SpreadSportsbet,2.5
120|127,SpreadStation,3
120|127,SpreadWag,2.5
120|127,SpreadWestgate,3
120|135,SpreadMirage,-3
120|135,SpreadPinnacle,-3
120|135,SpreadSBG,-3.5
120|135,SpreadSIA,-3
120|135,SpreadSportsbet,-3.5
120|135,SpreadStation,-3.5
120|135,SpreadWag,-5.5
120|135,SpreadWestgate,-3.5
