user,item,rating
101|2295,SpreadMirage,NA
101|2295,SpreadPinnacle,NA
101|2295,SpreadSBG,NA
101|2295,SpreadSIA,NA
101|2295,SpreadSportsbet,NA
101|2295,SpreadStation,NA
101|2295,SpreadWag,NA
101|2295,SpreadWestgate,NA
101|2399,SpreadMirage,NA
101|2399,SpreadPinnacle,NA
101|2399,SpreadSBG,NA
101|2399,SpreadSIA,NA
101|2399,SpreadSportsbet,NA
101|2399,SpreadStation,NA
101|2399,SpreadWag,NA
101|2399,SpreadWestgate,NA
101|273,SpreadMirage,NA
101|273,SpreadPinnacle,NA
101|273,SpreadSBG,NA
101|273,SpreadSIA,NA
101|273,SpreadSportsbet,NA
101|273,SpreadStation,NA
101|273,SpreadWag,NA
101|273,SpreadWestgate,NA
101|446,SpreadMirage,NA
101|446,SpreadPinnacle,NA
101|446,SpreadSBG,NA
101|446,SpreadSIA,NA
101|446,SpreadSportsbet,NA
101|446,SpreadStation,NA
101|446,SpreadWag,NA
101|446,SpreadWestgate,NA
101|583,SpreadMirage,NA
101|583,SpreadPinnacle,NA
101|583,SpreadSBG,NA
101|583,SpreadSIA,NA
101|583,SpreadSportsbet,NA
101|583,SpreadStation,NA
101|583,SpreadWag,NA
101|583,SpreadWestgate,NA
103|183,SpreadMirage,-11
103|183,SpreadPinnacle,-10.5
103|183,SpreadSBG,-11
103|183,SpreadSIA,-11
103|183,SpreadSportsbet,-11
103|183,SpreadStation,-11
103|183,SpreadWag,-11
103|183,SpreadWestgate,-10.5
103|221,SpreadMirage,6
103|221,SpreadPinnacle,5
103|221,SpreadSBG,5.5
103|221,SpreadSIA,5.5
103|221,SpreadSportsbet,5.5
103|221,SpreadStation,5
103|221,SpreadWag,5.5
103|221,SpreadWestgate,5.5
103|228,SpreadMirage,4.5
103|228,SpreadPinnacle,5.5
103|228,SpreadSBG,5
103|228,SpreadSIA,5.5
103|228,SpreadSportsbet,5.5
103|228,SpreadStation,4.5
103|228,SpreadWag,5
103|228,SpreadWestgate,4.5
103|30,SpreadMirage,NA
103|30,SpreadPinnacle,17
103|30,SpreadSBG,NA
103|30,SpreadSIA,17
103|30,SpreadSportsbet,17
103|30,SpreadStation,17
103|30,SpreadWag,NA
103|30,SpreadWestgate,17
103|311,SpreadMirage,NA
103|311,SpreadPinnacle,NA
103|311,SpreadSBG,NA
103|311,SpreadSIA,-23
103|311,SpreadSportsbet,-23.5
103|311,SpreadStation,NA
103|311,SpreadWag,NA
103|311,SpreadWestgate,NA
103|36,SpreadMirage,-8
103|36,SpreadPinnacle,-6
103|36,SpreadSBG,-7.5
103|36,SpreadSIA,-7.5
103|36,SpreadSportsbet,-7.5
103|36,SpreadStation,-6.5
103|36,SpreadWag,-6.5
103|36,SpreadWestgate,-7.5
103|97,SpreadMirage,3
103|97,SpreadPinnacle,3
103|97,SpreadSBG,3
103|97,SpreadSIA,3
103|97,SpreadSportsbet,3
103|97,SpreadStation,3
103|97,SpreadWag,NA
103|97,SpreadWestgate,3
107|2083,SpreadMirage,NA
107|2083,SpreadPinnacle,NA
107|2083,SpreadSBG,NA
107|2083,SpreadSIA,NA
107|2083,SpreadSportsbet,NA
107|2083,SpreadStation,NA
107|2083,SpreadWag,NA
107|2083,SpreadWestgate,NA
107|2115,SpreadMirage,NA
107|2115,SpreadPinnacle,NA
