user,item,rating
2013.0-10.0-10.0-97.0|164.0,SpreadMirage,-19.126200733609892
2013.0-10.0-10.0-97.0|164.0,SpreadPinnacle,-19.5
2013.0-10.0-10.0-97.0|164.0,SpreadSBG,-19.12532166323342
2013.0-10.0-10.0-97.0|164.0,SpreadSIA,-19
2013.0-10.0-10.0-97.0|164.0,SpreadSportsbet,-19
2013.0-10.0-10.0-97.0|164.0,SpreadStation,-19
2013.0-10.0-10.0-97.0|164.0,SpreadWag,-19
2013.0-10.0-10.0-97.0|164.0,SpreadWestgate,-20
2013.0-10.0-11.0-2005.0|21.0,SpreadMirage,3.5
2013.0-10.0-11.0-2005.0|21.0,SpreadPinnacle,3.5
2013.0-10.0-11.0-2005.0|21.0,SpreadSBG,3.5
2013.0-10.0-11.0-2005.0|21.0,SpreadSIA,4
2013.0-10.0-11.0-2005.0|21.0,SpreadSportsbet,3.5
2013.0-10.0-11.0-2005.0|21.0,SpreadStation,4
2013.0-10.0-11.0-2005.0|21.0,SpreadWag,3.7713780773944765
2013.0-10.0-11.0-2005.0|21.0,SpreadWestgate,4
2013.0-10.0-11.0-30.0|12.0,SpreadMirage,-6
2013.0-10.0-11.0-30.0|12.0,SpreadPinnacle,-5.5
2013.0-10.0-11.0-30.0|12.0,SpreadSBG,-5.5
2013.0-10.0-11.0-30.0|12.0,SpreadSIA,-5.5
2013.0-10.0-11.0-30.0|12.0,SpreadSportsbet,-5.5
2013.0-10.0-11.0-30.0|12.0,SpreadStation,-6
2013.0-10.0-11.0-30.0|12.0,SpreadWag,-5.825820682570645
2013.0-10.0-11.0-30.0|12.0,SpreadWestgate,-6
2013.0-10.0-12.0-113.0|193.0,SpreadMirage,-6.403613133227258
2013.0-10.0-12.0-113.0|193.0,SpreadPinnacle,-6.5
2013.0-10.0-12.0-113.0|193.0,SpreadSBG,-6.5
2013.0-10.0-12.0-113.0|193.0,SpreadSIA,-6.5
2013.0-10.0-12.0-113.0|193.0,SpreadSportsbet,-6.5
2013.0-10.0-12.0-113.0|193.0,SpreadStation,-6.5
2013.0-10.0-12.0-113.0|193.0,SpreadWag,-6
2013.0-10.0-12.0-113.0|193.0,SpreadWestgate,-6.5
2013.0-10.0-12.0-120.0|258.0,SpreadMirage,-6
2013.0-10.0-12.0-120.0|258.0,SpreadPinnacle,-6
2013.0-10.0-12.0-120.0|258.0,SpreadSBG,-6
2013.0-10.0-12.0-120.0|258.0,SpreadSIA,-6.5
2013.0-10.0-12.0-120.0|258.0,SpreadSportsbet,-6
2013.0-10.0-12.0-120.0|258.0,SpreadStation,-6
2013.0-10.0-12.0-120.0|258.0,SpreadWag,-5
2013.0-10.0-12.0-120.0|258.0,SpreadWestgate,-6.5
2013.0-10.0-12.0-127.0|84.0,SpreadMirage,-9.5
2013.0-10.0-12.0-127.0|84.0,SpreadPinnacle,-10
2013.0-10.0-12.0-127.0|84.0,SpreadSBG,-10
2013.0-10.0-12.0-127.0|84.0,SpreadSIA,-10
2013.0-10.0-12.0-127.0|84.0,SpreadSportsbet,-10
2013.0-10.0-12.0-127.0|84.0,SpreadStation,-10
2013.0-10.0-12.0-127.0|84.0,SpreadWag,-10
2013.0-10.0-12.0-127.0|84.0,SpreadWestgate,-10
2013.0-10.0-12.0-150.0|2426.0,SpreadMirage,-4
2013.0-10.0-12.0-150.0|2426.0,SpreadPinnacle,-4
2013.0-10.0-12.0-150.0|2426.0,SpreadSBG,-4
2013.0-10.0-12.0-150.0|2426.0,SpreadSIA,-4
2013.0-10.0-12.0-150.0|2426.0,SpreadSportsbet,-4
2013.0-10.0-12.0-150.0|2426.0,SpreadStation,-4
2013.0-10.0-12.0-150.0|2426.0,SpreadWag,-3.5
2013.0-10.0-12.0-150.0|2426.0,SpreadWestgate,-3.5
2013.0-10.0-12.0-152.0|183.0,SpreadMirage,-6.5
2013.0-10.0-12.0-152.0|183.0,SpreadPinnacle,-6.5
2013.0-10.0-12.0-152.0|183.0,SpreadSBG,-6.5
2013.0-10.0-12.0-152.0|183.0,SpreadSIA,-7
2013.0-10.0-12.0-152.0|183.0,SpreadSportsbet,-7
2013.0-10.0-12.0-152.0|183.0,SpreadStation,-6.5
2013.0-10.0-12.0-152.0|183.0,SpreadWag,-6.5
2013.0-10.0-12.0-152.0|183.0,SpreadWestgate,-6
2013.0-10.0-12.0-195.0|2117.0,SpreadMirage,-20.126594209300915
2013.0-10.0-12.0-195.0|2117.0,SpreadPinnacle,-20
2013.0-10.0-12.0-195.0|2117.0,SpreadSBG,-20.125091420507058
2013.0-10.0-12.0-195.0|2117.0,SpreadSIA,-20.5
2013.0-10.0-12.0-195.0|2117.0,SpreadSportsbet,-20
2013.0-10.0-12.0-195.0|2117.0,SpreadStation,-20.165984509858948
2013.0-10.0-12.0-195.0|2117.0,SpreadWag,-20
2013.0-10.0-12.0-195.0|2117.0,SpreadWestgate,-20
2013.0-10.0-12.0-2.0|2717.0,SpreadMirage,-41
2013.0-10.0-12.0-2.0|2717.0,SpreadPinnacle,-41
2013.0-10.0-12.0-2.0|2717.0,SpreadSBG,-41
2013.0-10.0-12.0-2.0|2717.0,SpreadSIA,-41
2013.0-10.0-12.0-2.0|2717.0,SpreadSportsbet,-41
2013.0-10.0-12.0-2.0|2717.0,SpreadStation,-41
2013.0-10.0-12.0-2.0|2717.0,SpreadWestgate,-41
2013.0-10.0-12.0-2032.0|70.0,SpreadMirage,-26.879186510530698
2013.0-10.0-12.0-2032.0|70.0,SpreadPinnacle,-27
2013.0-10.0-12.0-2032.0|70.0,SpreadSBG,-26.875826600659465
2013.0-10.0-12.0-2032.0|70.0,SpreadSIA,-27
2013.0-10.0-12.0-2032.0|70.0,SpreadSportsbet,-27
2013.0-10.0-12.0-2032.0|70.0,SpreadStation,-27
2013.0-10.0-12.0-2032.0|70.0,SpreadWag,-26.5
2013.0-10.0-12.0-2032.0|70.0,SpreadWestgate,-26.879807184389477
2013.0-10.0-12.0-2050.0|2309.0,SpreadMirage,-13.621409606841347
2013.0-10.0-12.0-2050.0|2309.0,SpreadPinnacle,-13
2013.0-10.0-12.0-2050.0|2309.0,SpreadSBG,-13.623621060202247
2013.0-10.0-12.0-2050.0|2309.0,SpreadSIA,-14.5
2013.0-10.0-12.0-2050.0|2309.0,SpreadSportsbet,-13
2013.0-10.0-12.0-2050.0|2309.0,SpreadStation,-13.49795352957685
2013.0-10.0-12.0-2050.0|2309.0,SpreadWag,-14
2013.0-10.0-12.0-2050.0|2309.0,SpreadWestgate,-14
2013.0-10.0-12.0-213.0|130.0,SpreadMirage,2
2013.0-10.0-12.0-213.0|130.0,SpreadPinnacle,2
2013.0-10.0-12.0-213.0|130.0,SpreadSBG,2
2013.0-10.0-12.0-213.0|130.0,SpreadSIA,2.5
2013.0-10.0-12.0-213.0|130.0,SpreadSportsbet,1.5
2013.0-10.0-12.0-213.0|130.0,SpreadStation,2.5
2013.0-10.0-12.0-213.0|130.0,SpreadWag,2.5
2013.0-10.0-12.0-213.0|130.0,SpreadWestgate,1.5
2013.0-10.0-12.0-2132.0|218.0,SpreadMirage,-20.666928682568027
2013.0-10.0-12.0-2132.0|218.0,SpreadPinnacle,-20.5
2013.0-10.0-12.0-2132.0|218.0,SpreadSBG,-20.666421722527836
2013.0-10.0-12.0-2132.0|218.0,SpreadSIA,-21
2013.0-10.0-12.0-2132.0|218.0,SpreadSportsbet,-20.5
2013.0-10.0-12.0-2132.0|218.0,SpreadStation,-20.665984509858948
2013.0-10.0-12.0-2132.0|218.0,SpreadWag,-20.670188832348362
2013.0-10.0-12.0-2132.0|218.0,SpreadWestgate,-20.5
2013.0-10.0-12.0-2226.0|276.0,SpreadMirage,9.5
2013.0-10.0-12.0-2226.0|276.0,SpreadPinnacle,10
2013.0-10.0-12.0-2226.0|276.0,SpreadSBG,9.5
2013.0-10.0-12.0-2226.0|276.0,SpreadSIA,10
2013.0-10.0-12.0-2226.0|276.0,SpreadSportsbet,9.5
2013.0-10.0-12.0-2226.0|276.0,SpreadStation,9.694169237021155
2013.0-10.0-12.0-2226.0|276.0,SpreadWag,10
2013.0-10.0-12.0-2226.0|276.0,SpreadWestgate,10
2013.0-10.0-12.0-2229.0|5.0,SpreadMirage,6.091774919260032
2013.0-10.0-12.0-2229.0|5.0,SpreadPinnacle,6
2013.0-10.0-12.0-2229.0|5.0,SpreadSBG,6
2013.0-10.0-12.0-2229.0|5.0,SpreadSIA,5.5
2013.0-10.0-12.0-2229.0|5.0,SpreadSportsbet,6
2013.0-10.0-12.0-2229.0|5.0,SpreadStation,5.877932126189496
2013.0-10.0-12.0-2229.0|5.0,SpreadWag,7
2013.0-10.0-12.0-2229.0|5.0,SpreadWestgate,6
2013.0-10.0-12.0-2247.0|2653.0,SpreadMirage,15.000000000000002
2013.0-10.0-12.0-2247.0|2653.0,SpreadPinnacle,15
2013.0-10.0-12.0-2247.0|2653.0,SpreadSBG,14.999999999999998
2013.0-10.0-12.0-2247.0|2653.0,SpreadSIA,15
2013.0-10.0-12.0-2247.0|2653.0,SpreadSportsbet,15
2013.0-10.0-12.0-2247.0|2653.0,SpreadStation,15
2013.0-10.0-12.0-2247.0|2653.0,SpreadWag,15
2013.0-10.0-12.0-2247.0|2653.0,SpreadWestgate,15
2013.0-10.0-12.0-228.0|103.0,SpreadMirage,-24
2013.0-10.0-12.0-228.0|103.0,SpreadPinnacle,-24
2013.0-10.0-12.0-228.0|103.0,SpreadSBG,-24.000000000000004
2013.0-10.0-12.0-228.0|103.0,SpreadSIA,-24
2013.0-10.0-12.0-228.0|103.0,SpreadSportsbet,-24
2013.0-10.0-12.0-228.0|103.0,SpreadStation,-24
2013.0-10.0-12.0-228.0|103.0,SpreadWag,-24
2013.0-10.0-12.0-228.0|103.0,SpreadWestgate,-24
2013.0-10.0-12.0-2306.0|239.0,SpreadMirage,17
2013.0-10.0-12.0-2306.0|239.0,SpreadPinnacle,17
2013.0-10.0-12.0-2306.0|239.0,SpreadSBG,17.299580383649204
2013.0-10.0-12.0-2306.0|239.0,SpreadSIA,18
2013.0-10.0-12.0-2306.0|239.0,SpreadSportsbet,17
2013.0-10.0-12.0-2306.0|239.0,SpreadStation,17.246037516320854
2013.0-10.0-12.0-2306.0|239.0,SpreadWag,17.5
2013.0-10.0-12.0-2306.0|239.0,SpreadWestgate,17
2013.0-10.0-12.0-2459.0|2006.0,SpreadMirage,-24.131981453441497
2013.0-10.0-12.0-2459.0|2006.0,SpreadPinnacle,-24.5
2013.0-10.0-12.0-2459.0|2006.0,SpreadSBG,-24.12623968439995
2013.0-10.0-12.0-2459.0|2006.0,SpreadSIA,-24.5
2013.0-10.0-12.0-2459.0|2006.0,SpreadSportsbet,-24
2013.0-10.0-12.0-2459.0|2006.0,SpreadStation,-24.331841839494444
2013.0-10.0-12.0-2459.0|2006.0,SpreadWag,-23.5
2013.0-10.0-12.0-2459.0|2006.0,SpreadWestgate,-24.5
2013.0-10.0-12.0-248.0|235.0,SpreadMirage,-7.5
2013.0-10.0-12.0-248.0|235.0,SpreadPinnacle,-7.5
2013.0-10.0-12.0-248.0|235.0,SpreadSBG,-8
2013.0-10.0-12.0-248.0|235.0,SpreadSIA,-8.5
2013.0-10.0-12.0-248.0|235.0,SpreadSportsbet,-8
2013.0-10.0-12.0-248.0|235.0,SpreadStation,-8.5
2013.0-10.0-12.0-248.0|235.0,SpreadWag,-9
2013.0-10.0-12.0-248.0|235.0,SpreadWestgate,-7.5
2013.0-10.0-12.0-249.0|2393.0,SpreadMirage,-6.5
2013.0-10.0-12.0-249.0|2393.0,SpreadPinnacle,-6.5
2013.0-10.0-12.0-249.0|2393.0,SpreadSBG,-6
2013.0-10.0-12.0-249.0|2393.0,SpreadSIA,-7
2013.0-10.0-12.0-249.0|2393.0,SpreadSportsbet,-6.5
2013.0-10.0-12.0-249.0|2393.0,SpreadStation,-6.491865799846132
2013.0-10.0-12.0-249.0|2393.0,SpreadWag,-6
2013.0-10.0-12.0-249.0|2393.0,SpreadWestgate,-6.5
2013.0-10.0-12.0-2509.0|158.0,SpreadMirage,14
2013.0-10.0-12.0-2509.0|158.0,SpreadPinnacle,13
2013.0-10.0-12.0-2509.0|158.0,SpreadSBG,13.5
2013.0-10.0-12.0-2509.0|158.0,SpreadSIA,13.5
2013.0-10.0-12.0-2509.0|158.0,SpreadSportsbet,13.5
2013.0-10.0-12.0-2509.0|158.0,SpreadStation,13.505133639902164
2013.0-10.0-12.0-2509.0|158.0,SpreadWag,14
2013.0-10.0-12.0-2509.0|158.0,SpreadWestgate,13
2013.0-10.0-12.0-251.0|201.0,SpreadMirage,13.5
2013.0-10.0-12.0-251.0|201.0,SpreadPinnacle,13.5
2013.0-10.0-12.0-251.0|201.0,SpreadSBG,13.5
2013.0-10.0-12.0-251.0|201.0,SpreadSIA,13.5
2013.0-10.0-12.0-251.0|201.0,SpreadSportsbet,13.5
2013.0-10.0-12.0-251.0|201.0,SpreadStation,14
2013.0-10.0-12.0-251.0|201.0,SpreadWag,14
2013.0-10.0-12.0-251.0|201.0,SpreadWestgate,13.5
2013.0-10.0-12.0-252.0|59.0,SpreadMirage,-7.5
2013.0-10.0-12.0-252.0|59.0,SpreadPinnacle,-7
2013.0-10.0-12.0-252.0|59.0,SpreadSBG,-7
2013.0-10.0-12.0-252.0|59.0,SpreadSIA,-7.5
2013.0-10.0-12.0-252.0|59.0,SpreadSportsbet,-7.5
2013.0-10.0-12.0-252.0|59.0,SpreadStation,-7.5
2013.0-10.0-12.0-252.0|59.0,SpreadWag,-7
2013.0-10.0-12.0-252.0|59.0,SpreadWestgate,-8
2013.0-10.0-12.0-254.0|24.0,SpreadMirage,8
2013.0-10.0-12.0-254.0|24.0,SpreadPinnacle,7.5
2013.0-10.0-12.0-254.0|24.0,SpreadSBG,7.5
2013.0-10.0-12.0-254.0|24.0,SpreadSIA,8
2013.0-10.0-12.0-254.0|24.0,SpreadSportsbet,7.5
2013.0-10.0-12.0-254.0|24.0,SpreadStation,8.5
2013.0-10.0-12.0-254.0|24.0,SpreadWag,7.5
2013.0-10.0-12.0-254.0|24.0,SpreadWestgate,7.5
2013.0-10.0-12.0-259.0|221.0,SpreadMirage,-7.5
2013.0-10.0-12.0-259.0|221.0,SpreadPinnacle,-7
2013.0-10.0-12.0-259.0|221.0,SpreadSBG,-7.4990810962915
2013.0-10.0-12.0-259.0|221.0,SpreadSIA,-7.5
2013.0-10.0-12.0-259.0|221.0,SpreadSportsbet,-7.5
2013.0-10.0-12.0-259.0|221.0,SpreadStation,-7.5
2013.0-10.0-12.0-259.0|221.0,SpreadWag,-8
2013.0-10.0-12.0-259.0|221.0,SpreadWestgate,-7
2013.0-10.0-12.0-2628.0|2305.0,SpreadMirage,-24.16177238339437
2013.0-10.0-12.0-2628.0|2305.0,SpreadPinnacle,-24
2013.0-10.0-12.0-2628.0|2305.0,SpreadSBG,-24.16560490494573
2013.0-10.0-12.0-2628.0|2305.0,SpreadSIA,-24.165939863621567
2013.0-10.0-12.0-2628.0|2305.0,SpreadSportsbet,-24
2013.0-10.0-12.0-2628.0|2305.0,SpreadStation,-24
2013.0-10.0-12.0-2628.0|2305.0,SpreadWag,-24.5
2013.0-10.0-12.0-2628.0|2305.0,SpreadWestgate,-24.5
2013.0-10.0-12.0-2636.0|242.0,SpreadMirage,1.0963868667727423
2013.0-10.0-12.0-2636.0|242.0,SpreadPinnacle,1
2013.0-10.0-12.0-2636.0|242.0,SpreadSBG,1
2013.0-10.0-12.0-2636.0|242.0,SpreadSIA,1
2013.0-10.0-12.0-2636.0|242.0,SpreadSportsbet,1
2013.0-10.0-12.0-2636.0|242.0,SpreadStation,1
2013.0-10.0-12.0-2636.0|242.0,SpreadWag,1.5
2013.0-10.0-12.0-2636.0|242.0,SpreadWestgate,1
2013.0-10.0-12.0-264.0|2483.0,SpreadMirage,14
2013.0-10.0-12.0-264.0|2483.0,SpreadPinnacle,11.5
2013.0-10.0-12.0-264.0|2483.0,SpreadSBG,12
2013.0-10.0-12.0-264.0|2483.0,SpreadSIA,13
2013.0-10.0-12.0-264.0|2483.0,SpreadSportsbet,12
2013.0-10.0-12.0-264.0|2483.0,SpreadStation,13.5
2013.0-10.0-12.0-264.0|2483.0,SpreadWag,13.5
2013.0-10.0-12.0-264.0|2483.0,SpreadWestgate,12.5
2013.0-10.0-12.0-2641.0|66.0,SpreadMirage,-14.5
2013.0-10.0-12.0-2641.0|66.0,SpreadPinnacle,-14
2013.0-10.0-12.0-2641.0|66.0,SpreadSBG,-14.5
2013.0-10.0-12.0-2641.0|66.0,SpreadSIA,-14.5
2013.0-10.0-12.0-2641.0|66.0,SpreadSportsbet,-14.5
2013.0-10.0-12.0-2641.0|66.0,SpreadStation,-14.402952589707334
2013.0-10.0-12.0-2641.0|66.0,SpreadWag,-14.5
2013.0-10.0-12.0-2641.0|66.0,SpreadWestgate,-15.5
2013.0-10.0-12.0-2655.0|151.0,SpreadMirage,12.5
2013.0-10.0-12.0-2655.0|151.0,SpreadPinnacle,13.5
2013.0-10.0-12.0-2655.0|151.0,SpreadSBG,12.5
2013.0-10.0-12.0-2655.0|151.0,SpreadSIA,13.5
2013.0-10.0-12.0-2655.0|151.0,SpreadSportsbet,13.5
2013.0-10.0-12.0-2655.0|151.0,SpreadStation,12.5
2013.0-10.0-12.0-2655.0|151.0,SpreadWag,12.5
2013.0-10.0-12.0-2655.0|151.0,SpreadWestgate,13.5
2013.0-10.0-12.0-2711.0|2084.0,SpreadMirage,9.798222824682556
2013.0-10.0-12.0-2711.0|2084.0,SpreadPinnacle,9.5
2013.0-10.0-12.0-2711.0|2084.0,SpreadSBG,9.5
2013.0-10.0-12.0-2711.0|2084.0,SpreadSIA,10
2013.0-10.0-12.0-2711.0|2084.0,SpreadSportsbet,10
2013.0-10.0-12.0-2711.0|2084.0,SpreadStation,9.74573428782855
2013.0-10.0-12.0-2711.0|2084.0,SpreadWag,10
2013.0-10.0-12.0-2711.0|2084.0,SpreadWestgate,10
2013.0-10.0-12.0-275.0|77.0,SpreadMirage,-11
2013.0-10.0-12.0-275.0|77.0,SpreadPinnacle,-11
2013.0-10.0-12.0-275.0|77.0,SpreadSBG,-11
2013.0-10.0-12.0-275.0|77.0,SpreadSIA,-11
2013.0-10.0-12.0-275.0|77.0,SpreadSportsbet,-11
2013.0-10.0-12.0-275.0|77.0,SpreadStation,-10.5
2013.0-10.0-12.0-275.0|77.0,SpreadWag,-10
2013.0-10.0-12.0-275.0|77.0,SpreadWestgate,-11.5
2013.0-10.0-12.0-2751.0|167.0,SpreadMirage,-13.5
2013.0-10.0-12.0-2751.0|167.0,SpreadPinnacle,-12.5
2013.0-10.0-12.0-2751.0|167.0,SpreadSBG,-12.5
2013.0-10.0-12.0-2751.0|167.0,SpreadSIA,-13.5
2013.0-10.0-12.0-2751.0|167.0,SpreadSportsbet,-12.5
2013.0-10.0-12.0-2751.0|167.0,SpreadStation,-12.89860575384664
2013.0-10.0-12.0-2751.0|167.0,SpreadWag,-14
2013.0-10.0-12.0-2751.0|167.0,SpreadWestgate,-13
2013.0-10.0-12.0-326.0|2433.0,SpreadMirage,-6
2013.0-10.0-12.0-326.0|2433.0,SpreadPinnacle,-6
2013.0-10.0-12.0-326.0|2433.0,SpreadSBG,-6
2013.0-10.0-12.0-326.0|2433.0,SpreadSIA,-6.5
2013.0-10.0-12.0-326.0|2433.0,SpreadSportsbet,-6
2013.0-10.0-12.0-326.0|2433.0,SpreadStation,-6.09712182672849
2013.0-10.0-12.0-326.0|2433.0,SpreadWag,-6.5
2013.0-10.0-12.0-326.0|2433.0,SpreadWestgate,-5.5
2013.0-10.0-12.0-344.0|189.0,SpreadMirage,-11.252533130407796
2013.0-10.0-12.0-344.0|189.0,SpreadPinnacle,-11.5
2013.0-10.0-12.0-344.0|189.0,SpreadSBG,-11
2013.0-10.0-12.0-344.0|189.0,SpreadSIA,-11.49956634982411
2013.0-10.0-12.0-344.0|189.0,SpreadSportsbet,-11.5
2013.0-10.0-12.0-344.0|189.0,SpreadStation,-11.5
