HomeID,VisID,SpreadMed
25,62,21.5
2449,2127,-21.0
2105,2278,
2913,2188,
2134,209,
2681,2830,
308,2385,
2839,2842,
15,2557,
154,2655,-14.25
568,2364,
125,2838,
2851,2772,
97,2429,-38.5
2623,616,
2339,2129,
2170,2316,
2117,2506,-37.5
132,389,
2197,2710,
2535,2369,
55,2453,
188,190,
2382,2643,
2822,2695,
2927,2568,
2523,2017,
118,2688,
2110,2277,
2594,2894,
236,2560,
2635,2747,
210,2487,
48,2169,
2249,2666,
2619,155,
2132,2630,-37.5
2687,196,
2816,2025,
2817,2844,
41,311,-27.5
2633,2026,-21.5
2362,2651,
152,2729,-20.0
2222,2477,
2754,2184,
2229,84,10.0
2587,134,
2033,200,
328,2692,-21.25
2231,2403,
2056,2398,
2586,2201,
90,2118,
98,242,-19.0
238,2579,-5.0
2271,199,
2823,2028,
254,253,-28.0
3101,2424,
137,2438,
2815,2122,
2214,138,
2888,2191,
135,204,-13.5
2146,2570,
70,147,-14.5
167,233,-17.0
2439,2296,-39.5
2049,2704,
2115,322,
481,379,
2846,2808,
2199,2400,-39.0
284,2071,
402,2776,
2247,2050,-5.0
471,286,
127,231,-38.0
2532,2015,
183,2142,-22.0
2084,399,-20.75
479,114,
218,349,-15.0
40,18,
2779,3110,
81,2702,
398,2422,
2909,2884,
109,2749,
239,2466,-50.5
38,36,-7.0
24,2306,-13.0
2032,2649,-4.0
2440,13,-20.0
205,2003,
103,59,3.0
103,59,3.0
2127,2310,
2102,143,
2148,2699,
2963,80,
587,2128,
2022,2559,
248,201,13.0
2967,452,
2085,359,
191,2782,
2974,455,
120,47,-50.0
277,142,-9.5
352,2553,
344,6,-28.0
194,189,-27.5
2062,2667,
309,68,18.5
2426,2230,-17.0
130,62,-38.0
367,2583,
77,2711,-3.5
2509,2198,-22.0
274,2951,
2970,3162,
365,2280,
2060,223,
259,2335,-32.0
2329,2405,
437,128,
46,2166,
175,237,
323,247,
2175,2516,
126,391,
293,2972,
2886,131,
2551,2336,
2354,216,
2075,611,
2601,2205,
2038,2315,
215,2441,
2969,390,
2745,2442,
366,2213,
3178,110242,
2725,2827,
2234,388,
291,3111,
2108,2700,
2707,2986,
374,354,
109418,409,
2392,2682,
2686,2748,
2781,174,
2800,2614,
2676,2089,
351,2304,
2812,2919,
221,222,-28.0
2248,2079,
146,246,
2074,2733,
2467,2528,
2845,332,
2151,2891,
433,2968,
262,266,
2600,375,
162,509,
396,2283,
32,6353,
613,2911,
271,2302,
49,2802,
2359,2101,
2524,273,
556,620,
263,72,
2257,74,
418,2045,
2832,2743,
2939,2152,
2123,2237,
2698,2107,
65,133,
446,421,
2347,2938,
2331,330,
2141,2723,
561,63,
2005,2000,-42.5
67,2740,
255,101,
2106,2044,
2744,2564,
2907,2741,
264,164,-25.0
2415,107,
2043,425,
2189,2896,
597,268,
2714,11,
2401,3179,
2803,2771,
2876,2324,
2001,2069,
282,2086,
2323,2637,
2210,2241,
2294,193,-27.5
275,99,12.5
213,2309,-24.0
258,257,-12.0
245,26,-4.5
197,2545,-49.0
356,93,-33.0
195,326,-17.5
415,272,
6845,6584,
2508,2318,
2721,2964,
8,2348,-21.0
2097,495,
2458,2826,
304,2829,
490,2940,
2483,302,-48.5
2843,173,
2502,2120,
153,61,-3.5
256,2413,
2368,2083,
150,2428,-34.5
2233,2646,
2419,2042,
290,2542,-57.0
2790,89,
2390,50,-53.0
2220,2804,
2226,79,-9.5
2736,2882,
2444,53,
2653,2046,-41.0
2047,297,
2448,395,
2757,2373,
151,2717,-18.0
2006,2678,-29.0
2287,2674,
86,2286,
2588,2810,
58,119,-27.0
341,2242,
2634,2029,
2916,2658,
2377,2627,
202,23,-3.75
2273,2292,
2181,2825,
2755,2355,
249,2567,7.5
2258,2256,
338,2193,
2018,2644,
417,2828,
2305,227,-28.0
2168,2119,
2805,2657,
2746,424,
2393,2010,-47.5
2264,319,
3066,559,
2636,2011,-24.0
56,2529,
2206,60,
2433,2582,-14.0
2639,2194,
2849,2274,
2371,2980,
2116,2569,-26.0
2224,129,
2534,2824,
235,2546,-30.5
75,2023,
2673,2013,
317,2171,
3,548,
2738,2900,
2121,2262,
96,2572,-3.0
57,113,-35.0
158,278,-29.0
2519,2930,
333,30,-13.5
2628,2571,-35.0
2758,2904,
2320,324,
2638,166,-9.5
2641,2617,-38.0
2295,2155,
2402,487,
66,2460,-9.5
2654,2395,
265,331,-27.5
583,124,
110243,2834,
599,3071,
386,29,
21,160,-30.5
16,2848,
2,228,9.0
301,2703,
149,2598,
12,252,1.0
2751,2459,7.0
9,2464,-27.5
3112,2871,
295,2261,-24.0
2396,2232,
2504,2640,
2450,2207,
251,87,3.5
52,145,-4.5
2438,2214,
2118,2231,
138,2687,
196,2815,
2122,90,
2749,402,
2808,2969,
2951,110,
2583,284,
2884,15,
2487,2038,
2221,2818,
2229,120,11.75
183,97,17.0
2015,471,
18,2871,
135,282,-24.5
151,152,6.0
2509,2132,3.25
130,2116,-36.0
61,2447,-53.0
452,174,
248,2320,-42.5
158,2751,-25.75
2782,2967,
2681,2985,
113,103,15.75
2842,587,
390,427,
349,242,-8.5
184,2108,
209,2205,
221,213,-3.0
164,47,-43.0
197,2117,-17.5
245,2504,-53.0
2528,365,
223,215,
286,426,
228,2653,-35.0
52,2127,
2168,2523,
2911,5829,
109,479,
2666,2707,
323,2700,
83,2419,
2846,341,
297,3112,
455,2249,
2045,2758,
2779,2467,
216,118,
218,2619,-23.75
2079,2646,
2601,2017,
2256,3111,
2972,481,
273,375,
319,2033,
2129,2858,
2399,2257,
2702,2909,
246,2175,
2849,2845,
227,399,
2529,2674,
2654,556,
2339,2876,
2089,2441,
2230,2207,
2559,367,
2392,2222,
354,72,
2986,2148,
2369,2560,
2667,2248,
395,2105,
352,391,
2422,2234,
65,3214,
2354,247,
2838,110254,
2262,2373,
190,2812,
351,2551,
30,328,-16.5
2850,2721,
421,2524,
2237,2069,
2553,2688,
75,565,
409,124,
2286,2564,
2042,2964,
272,2595,
277,2754,-17.5
2152,2738,
2424,2146,
2816,2699,
2316,2166,
81,374,
63,2600,
2686,146,
3071,2691,
101,446,
268,109418,
2745,2056,
417,2189,
2283,2832,
133,67,
266,255,
396,126,
2044,263,
114,293,
236,2506,
2295,433,
2968,2723,
60,2310,
330,2839,
2005,2247,-23.5
559,2043,
6845,306,
2825,561,
2772,3066,
2802,2106,
2101,262,
74,86,
2398,386,
2919,2685,
389,2594,
2740,2891,
2900,2744,
2557,2383,
2305,195,-2.5
2940,2206,
630,2834,
11,2123,
101161,418,
59,2382,
2323,2232,
203,411,
233,2692,
2213,2913,
17,2333,
2071,2134,
275,2006,-21.5
333,98,-27.0
2426,41,-3.5
2026,295,-21.0
2449,331,
194,202,-28.0
57,96,-14.0
87,2440,-27.5
189,155,-18.0
77,2287,-12.0
150,154,-6.75
239,2567,-34.5
238,2393,-2.75
2444,2676,
2710,2464,
145,2747,-44.0
147,2803,
84,2050,-16.5
2075,2304,
256,2115,
237,2843,
128,2025,
2830,2060,
2486,2094,
210,611,
2848,2120,
36,2636,-8.5
2714,2001,
23,2502,
2119,2805,
193,2197,-10.0
2396,2698,
2637,2347,
379,173,
2657,2013,
2460,149,
2169,2405,
264,70,-36.5
2400,2010,
2315,2385,
38,304,-45.0
2804,2097,
276,2415,-42.5
257,2450,
2771,2022,
110242,2402,
2643,231,
2309,2448,-11.5
388,398,
2107,2736,
2516,2047,
2184,2083,
2292,2366,
2429,2210,-22.0
3162,2781,
2651,2074,
2368,46,
2390,2226,-25.5
490,2336,
2717,2241,
2362,2800,
322,48,
119,2598,
222,2329,
2413,2678,
2023,2121,
2261,2729,
2188,2291,
2086,2233,
2828,366,
2331,2822,
2571,2181,
251,2638,-31.0
2348,2569,-34.5
2938,3,
93,2623,
2046,2635,
2029,2824,
2844,568,
79,2546,
2273,2682,
2644,2614,
2258,291,
199,2888,
2335,294,
125,437,
2748,2018,
2568,2823,
53,2401,
548,2757,
2639,2371,
2403,137,
425,2587,
200,2264,
2894,2817,
129,2886,
308,131,
2617,2695,
160,107,
338,3179,
56,2683,
2191,2271,
2649,311,-31.0
309,2377,-5.5
2170,2837,
2224,2477,
2110,2535,
2882,2220,
2634,2296,
249,2065,-10.5
2711,2428,-36.5
2572,2542,-56.25
324,50,
2016,2011,
201,2433,-46.0
2628,8,-10.5
2000,2458,
6,290,13.5
2028,2927,
2364,132,
344,2579,-7.5
2743,2790,
2242,2062,
58,2459,-14.5
134,2851,
13,301,
356,153,7.0
2,2032,-20.5
99,55,-31.0
254,252,-3.0
142,2199,-23.0
2294,66,-15.5
2570,2704,
166,167,11.0
253,2545,
509,583,
2633,259,-11.0
26,2439,-27.0
2655,2582,-32.0
3101,613,
2658,2829,
2277,2640,
162,2359,
2194,2904,
2155,2141,
2627,2586,
110243,108358,
2588,241,
205,49,
302,2584,
2278,2049,
2201,2703,
2930,108382,
278,16,
2923,2519,
9,2641,2.0
2475,2508,
68,265,-13.0
21,25,-5.5
2483,258,-24.0
12,2755,-44.0
62,2630,
2699,2986,
2016,2029,
2132,248,7.5
2827,2970,
2038,2583,
2951,2383,
2221,2725,
2060,2771,
114,2967,
108,227,
2871,2442,
242,239,34.0
