User,Item,value
25|62,SpreadMirage,
2449|2127,SpreadMirage,
2105|2278,SpreadMirage,
2913|2188,SpreadMirage,
2134|209,SpreadMirage,
2681|2830,SpreadMirage,
308|2385,SpreadMirage,
2839|2842,SpreadMirage,
15|2557,SpreadMirage,
154|2655,SpreadMirage,-14.0
568|2364,SpreadMirage,
125|2838,SpreadMirage,
2851|2772,SpreadMirage,
97|2429,SpreadMirage,
2623|616,SpreadMirage,
2339|2129,SpreadMirage,
2170|2316,SpreadMirage,
2117|2506,SpreadMirage,
132|389,SpreadMirage,
2197|2710,SpreadMirage,
2535|2369,SpreadMirage,
55|2453,SpreadMirage,
188|190,SpreadMirage,
2382|2643,SpreadMirage,
2822|2695,SpreadMirage,
2927|2568,SpreadMirage,
2523|2017,SpreadMirage,
118|2688,SpreadMirage,
2110|2277,SpreadMirage,
2594|2894,SpreadMirage,
236|2560,SpreadMirage,
2635|2747,SpreadMirage,
210|2487,SpreadMirage,
48|2169,SpreadMirage,
2249|2666,SpreadMirage,
2619|155,SpreadMirage,
2132|2630,SpreadMirage,
2687|196,SpreadMirage,
2816|2025,SpreadMirage,
2817|2844,SpreadMirage,
41|311,SpreadMirage,
2633|2026,SpreadMirage,
2362|2651,SpreadMirage,
152|2729,SpreadMirage,
2222|2477,SpreadMirage,
2754|2184,SpreadMirage,
2229|84,SpreadMirage,10.0
2587|134,SpreadMirage,
2033|200,SpreadMirage,
328|2692,SpreadMirage,
2231|2403,SpreadMirage,
2056|2398,SpreadMirage,
2586|2201,SpreadMirage,
90|2118,SpreadMirage,
98|242,SpreadMirage,-19.0
238|2579,SpreadMirage,-5.0
2271|199,SpreadMirage,
2823|2028,SpreadMirage,
254|253,SpreadMirage,
3101|2424,SpreadMirage,
137|2438,SpreadMirage,
2815|2122,SpreadMirage,
2214|138,SpreadMirage,
2888|2191,SpreadMirage,
135|204,SpreadMirage,-13.0
2146|2570,SpreadMirage,
70|147,SpreadMirage,
167|233,SpreadMirage,
2439|2296,SpreadMirage,
2049|2704,SpreadMirage,
2115|322,SpreadMirage,
481|379,SpreadMirage,
2846|2808,SpreadMirage,
2199|2400,SpreadMirage,
284|2071,SpreadMirage,
402|2776,SpreadMirage,
2247|2050,SpreadMirage,-5.5
471|286,SpreadMirage,
127|231,SpreadMirage,
2532|2015,SpreadMirage,
183|2142,SpreadMirage,
2084|399,SpreadMirage,
479|114,SpreadMirage,
218|349,SpreadMirage,-14.5
40|18,SpreadMirage,
2779|3110,SpreadMirage,
81|2702,SpreadMirage,
398|2422,SpreadMirage,
2909|2884,SpreadMirage,
109|2749,SpreadMirage,
239|2466,SpreadMirage,
38|36,SpreadMirage,-7.0
24|2306,SpreadMirage,-13.5
2032|2649,SpreadMirage,-4.0
2440|13,SpreadMirage,
205|2003,SpreadMirage,
103|59,SpreadMirage,3.0
103|59,SpreadMirage,3.0
2127|2310,SpreadMirage,
2102|143,SpreadMirage,
2148|2699,SpreadMirage,
2963|80,SpreadMirage,
587|2128,SpreadMirage,
2022|2559,SpreadMirage,
248|201,SpreadMirage,13.0
2967|452,SpreadMirage,
2085|359,SpreadMirage,
191|2782,SpreadMirage,
2974|455,SpreadMirage,
120|47,SpreadMirage,
277|142,SpreadMirage,-9.5
352|2553,SpreadMirage,
344|6,SpreadMirage,
194|189,SpreadMirage,
2062|2667,SpreadMirage,
309|68,SpreadMirage,
2426|2230,SpreadMirage,
130|62,SpreadMirage,
367|2583,SpreadMirage,
77|2711,SpreadMirage,-3.5
2509|2198,SpreadMirage,
274|2951,SpreadMirage,
2970|3162,SpreadMirage,
365|2280,SpreadMirage,
2060|223,SpreadMirage,
259|2335,SpreadMirage,
2329|2405,SpreadMirage,
437|128,SpreadMirage,
46|2166,SpreadMirage,
175|237,SpreadMirage,
323|247,SpreadMirage,
2175|2516,SpreadMirage,
126|391,SpreadMirage,
293|2972,SpreadMirage,
2886|131,SpreadMirage,
2551|2336,SpreadMirage,
2354|216,SpreadMirage,
