User,Item,value
2013.0-8.0-29.0-2309.0|2335.0,SpreadMirage,
2013.0-8.0-29.0-2579.0|153.0,SpreadMirage,-12.0
2013.0-8.0-29.0-154.0|2506.0,SpreadMirage,
2013.0-8.0-29.0-189.0|202.0,SpreadMirage,-3.0
2013.0-8.0-29.0-2116.0|2006.0,SpreadMirage,
2013.0-8.0-29.0-2623.0|2466.0,SpreadMirage,
2013.0-8.0-29.0-84.0|282.0,SpreadMirage,
2013.0-8.0-29.0-2710.0|2261.0,SpreadMirage,
2013.0-8.0-29.0-2198.0|2523.0,SpreadMirage,
2013.0-8.0-29.0-135.0|2439.0,SpreadMirage,-13.5
2013.0-8.0-29.0-2050.0|2287.0,SpreadMirage,
2013.0-8.0-29.0-2230.0|227.0,SpreadMirage,
2013.0-8.0-29.0-2413.0|95.0,SpreadMirage,
2013.0-8.0-29.0-6.0|253.0,SpreadMirage,
2013.0-8.0-29.0-236.0|2630.0,SpreadMirage,
2013.0-8.0-29.0-2393.0|2717.0,SpreadMirage,
2013.0-8.0-29.0-41.0|119.0,SpreadMirage,
2013.0-8.0-29.0-48.0|294.0,SpreadMirage,
2013.0-8.0-29.0-2754.0|2168.0,SpreadMirage,
2013.0-8.0-30.0-2635.0|2161.0,SpreadMirage,
2013.0-8.0-30.0-2655.0|2296.0,SpreadMirage,
2013.0-8.0-30.0-2110.0|2916.0,SpreadMirage,
2013.0-8.0-30.0-254.0|328.0,SpreadMirage,-1.0
2013.0-8.0-30.0-2545.0|2546.0,SpreadMirage,
2013.0-8.0-30.0-2181.0|2254.0,SpreadMirage,
2013.0-8.0-30.0-155.0|2674.0,SpreadMirage,
2013.0-8.0-30.0-147.0|2405.0,SpreadMirage,
2013.0-8.0-30.0-238.0|145.0,SpreadMirage,3.0
2013.0-8.0-30.0-23.0|16.0,SpreadMirage,
2013.0-8.0-30.0-2502.0|2202.0,SpreadMirage,
2013.0-8.0-30.0-278.0|164.0,SpreadMirage,-10.5
2013.0-8.0-30.0-62.0|30.0,SpreadMirage,
2013.0-8.0-30.0-349.0|2415.0,SpreadMirage,
2013.0-8.0-30.0-2247.0|2535.0,SpreadMirage,
2013.0-8.0-31.0-2390.0|2226.0,SpreadMirage,
2013.0-8.0-31.0-127.0|2711.0,SpreadMirage,
2013.0-8.0-31.0-2567.0|2641.0,SpreadMirage,4.5
2013.0-8.0-31.0-2306.0|2449.0,SpreadMirage,
2013.0-8.0-31.0-248.0|2582.0,SpreadMirage,
2013.0-8.0-31.0-12.0|2464.0,SpreadMirage,
2013.0-8.0-31.0-59.0|2210.0,SpreadMirage,
2013.0-8.0-31.0-103.0|222.0,SpreadMirage,
2013.0-8.0-31.0-356.0|79.0,SpreadMirage,
2013.0-8.0-31.0-277.0|2729.0,SpreadMirage,
2013.0-8.0-31.0-2132.0|2509.0,SpreadMirage,-10.5
2013.0-8.0-31.0-2429.0|2097.0,SpreadMirage,
2013.0-8.0-31.0-194.0|2084.0,SpreadMirage,
2013.0-8.0-31.0-275.0|113.0,SpreadMirage,
2013.0-8.0-31.0-2184.0|399.0,SpreadMirage,
2013.0-8.0-31.0-57.0|2649.0,SpreadMirage,
2013.0-8.0-31.0-120.0|2229.0,SpreadMirage,
2013.0-8.0-31.0-152.0|2348.0,SpreadMirage,-14.0
2013.0-8.0-31.0-245.0|242.0,SpreadMirage,
2013.0-8.0-31.0-2681.0|46.0,SpreadMirage,
2013.0-8.0-31.0-2803.0|107.0,SpreadMirage,
2013.0-8.0-31.0-233.0|302.0,SpreadMirage,
2013.0-8.0-31.0-2005.0|2142.0,SpreadMirage,
2013.0-8.0-31.0-87.0|218.0,SpreadMirage,
2013.0-8.0-31.0-130.0|2117.0,SpreadMirage,
2013.0-8.0-31.0-197.0|344.0,SpreadMirage,-13.5
2013.0-8.0-31.0-213.0|183.0,SpreadMirage,8.5
2013.0-8.0-31.0-258.0|252.0,SpreadMirage,2.5
2013.0-8.0-31.0-2294.0|2459.0,SpreadMirage,-3.0
2013.0-8.0-31.0-613.0|3210.0,SpreadMirage,
2013.0-8.0-31.0-2458.0|2324.0,SpreadMirage,
2013.0-8.0-31.0-2483.0|2447.0,SpreadMirage,
2013.0-8.0-31.0-8.0|309.0,SpreadMirage,-10.5
2013.0-8.0-31.0-150.0|2428.0,SpreadMirage,
2013.0-8.0-31.0-2016.0|2206.0,SpreadMirage,
2013.0-8.0-31.0-259.0|333.0,SpreadMirage,
2013.0-8.0-31.0-2011.0|55.0,SpreadMirage,
2013.0-8.0-31.0-204.0|331.0,SpreadMirage,
2013.0-8.0-31.0-2643.0|2127.0,SpreadMirage,
2013.0-8.0-31.0-290.0|2542.0,SpreadMirage,
2013.0-8.0-31.0-2382.0|2890.0,SpreadMirage,
2013.0-8.0-31.0-2633.0|2046.0,SpreadMirage,
2013.0-8.0-31.0-2450.0|311.0,SpreadMirage,
2013.0-8.0-31.0-256.0|2115.0,SpreadMirage,
2013.0-8.0-31.0-2199.0|47.0,SpreadMirage,
2013.0-8.0-31.0-257.0|2678.0,SpreadMirage,
2013.0-8.0-31.0-2569.0|324.0,SpreadMirage,
2013.0-8.0-31.0-2368.0|2529.0,SpreadMirage,
2013.0-8.0-31.0-2241.0|231.0,SpreadMirage,
2013.0-8.0-31.0-2534.0|2277.0,SpreadMirage,
2013.0-8.0-31.0-2653.0|5.0,SpreadMirage,-4.0
2013.0-8.0-31.0-249.0|70.0,SpreadMirage,-16.5
2013.0-8.0-31.0-276.0|193.0,SpreadMirage,
2013.0-8.0-31.0-2755.0|2010.0,SpreadMirage,
2013.0-8.0-31.0-201.0|2433.0,SpreadMirage,
2013.0-8.0-31.0-58.0|2377.0,SpreadMirage,
2013.0-8.0-31.0-56.0|2683.0,SpreadMirage,
2013.0-8.0-31.0-2032.0|2029.0,SpreadMirage,
2013.0-8.0-31.0-2572.0|326.0,SpreadMirage,-8.5
2013.0-8.0-31.0-2.0|265.0,SpreadMirage,-14.0
2013.0-8.0-31.0-151.0|295.0,SpreadMirage,
2013.0-8.0-31.0-142.0|93.0,SpreadMirage,
2013.0-8.0-31.0-2571.0|2086.0,SpreadMirage,
2013.0-8.0-31.0-13.0|301.0,SpreadMirage,
2013.0-8.0-31.0-98.0|96.0,SpreadMirage,4.5
2013.0-8.0-31.0-239.0|2747.0,SpreadMirage,
2013.0-9.0-1.0-2320.0|2824.0,SpreadMirage,
2013.0-9.0-1.0-228.0|61.0,SpreadMirage,2.5
2013.0-9.0-1.0-2640.0|2504.0,SpreadMirage,
2013.0-9.0-1.0-66.0|2460.0,SpreadMirage,
2013.0-9.0-1.0-2692.0|2617.0,SpreadMirage,
2013.0-9.0-1.0-2000.0|3099.0,SpreadMirage,
2013.0-9.0-1.0-251.0|166.0,SpreadMirage,
2013.0-9.0-1.0-167.0|2636.0,SpreadMirage,-3.5
2013.0-9.0-1.0-158.0|2751.0,SpreadMirage,
2013.0-9.0-1.0-21.0|2197.0,SpreadMirage,
2013.0-9.0-1.0-149.0|2026.0,SpreadMirage,
2013.0-9.0-1.0-2628.0|99.0,SpreadMirage,4.5
2013.0-9.0-1.0-26.0|2440.0,SpreadMirage,
2013.0-9.0-1.0-264.0|68.0,SpreadMirage,-4.0
2013.0-9.0-1.0-25.0|77.0,SpreadMirage,6.5
2013.0-9.0-1.0-50.0|2400.0,SpreadMirage,
2013.0-9.0-1.0-97.0|195.0,SpreadMirage,
2013.0-9.0-1.0-36.0|38.0,SpreadMirage,-2.5
2013.0-9.0-2.0-2634.0|2065.0,SpreadMirage,
2013.0-9.0-3.0-221.0|52.0,SpreadMirage,11.0
2013.0-9.0-5.0-2188.0|2022.0,SpreadMirage,
2013.0-9.0-5.0-2986.0|611.0,SpreadMirage,
2013.0-9.0-5.0-2316.0|2310.0,SpreadMirage,
2013.0-9.0-5.0-2839.0|3211.0,SpreadMirage,
2013.0-9.0-5.0-2105.0|131.0,SpreadMirage,
2013.0-9.0-5.0-2403.0|2122.0,SpreadMirage,
2013.0-9.0-5.0-2851.0|132.0,SpreadMirage,
2013.0-9.0-5.0-2224.0|2666.0,SpreadMirage,
2013.0-9.0-5.0-2245.0|2477.0,SpreadMirage,
2013.0-9.0-5.0-199.0|2568.0,SpreadMirage,
2013.0-9.0-5.0-2438.0|2687.0,SpreadMirage,
2013.0-9.0-5.0-2682.0|2205.0,SpreadMirage,
