Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeConf,VisConf
2013,2013-08-29 22:00:00,LIB,2335,KENT,2309,0,7,0.0,0.0,10.0,,17,0,3.0,7.0,0.0,,10,7,2013-08-29,1,MidAmerican,NotMajor
2013,2013-08-29 22:00:00,UNC,153,SC,2579,0,17,3.0,7.0,0.0,,27,0,7.0,3.0,0.0,,10,17,2013-08-29,1,SEC,ACC
2013,2013-08-29 22:30:00,PRE,2506,WAKE,154,0,3,14.0,7.0,7.0,,31,7,0.0,0.0,0.0,,7,24,2013-08-29,1,ACC,NotMajor
2013,2013-08-29 23:00:00,TLSA,202,BGSU,189,0,3,3.0,7.0,21.0,,34,0,0.0,0.0,7.0,,7,27,2013-08-29,1,MidAmerican,ConferenceUSA
2013,2013-08-29 23:00:00,AKR,2006,UCF,2116,0,14,10.0,14.0,0.0,,38,0,0.0,0.0,7.0,,7,31,2013-08-29,1,AAC,MidAmerican
2013,2013-08-29 23:00:00,NWST,2466,MOST,2623,0,0,7.0,10.0,0.0,,17,0,10.0,7.0,6.0,,23,-6,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:00:00,INST,282,IND,84,0,21,24.0,21.0,7.0,,73,7,14.0,7.0,7.0,,35,38,2013-08-29,1,Big10,NotMajor
2013,2013-08-29 23:00:00,HAMP,2261,WIU,2710,0,8,7.0,13.0,14.0,,42,0,6.0,0.0,3.0,,9,33,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:00:00,RMU,2523,EKY,2198,0,14,14.0,0.0,10.0,,38,0,6.0,0.0,0.0,,6,32,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:00:00,UNLV,2439,MINN,135,0,3,13.0,14.0,21.0,,51,6,7.0,3.0,7.0,,23,28,2013-08-29,1,Big10,MountainWest
2013,2013-08-29 23:00:00,ILST,2287,BALL,2050,0,9,7.0,21.0,14.0,,51,14,7.0,0.0,7.0,,28,23,2013-08-29,1,MidAmerican,NotMajor
2013,2013-08-29 23:00:00,URI,227,FOR,2230,0,14,10.0,14.0,13.0,,51,3,3.0,13.0,7.0,,26,25,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:00:00,PIK,95,MORE,2413,0,0,0.0,3.0,7.0,,10,0,0.0,7.0,6.0,,13,-3,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:30:00,SUU,253,USA,6,0,0,7.0,7.0,7.0,,21,10,0.0,3.0,9.0,,22,-1,2013-08-29,1,SunBelt,NotMajor
2013,2013-08-29 23:30:00,UTM,2630,CHAT,236,0,0,0.0,7.0,14.0,,21,0,7.0,7.0,17.0,,31,-10,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:30:00,WCU,2717,MTSU,2393,0,21,10.0,7.0,7.0,,45,0,18.0,0.0,6.0,,24,21,2013-08-29,1,ConferenceUSA,NotMajor
2013,2013-08-29 23:30:00,TOWS,119,CONN,41,0,7,3.0,0.0,8.0,,18,7,6.0,6.0,14.0,,33,-15,2013-08-29,1,AAC,NotMajor
2013,2013-08-29 23:30:00,JAC,294,DEL,48,0,0,21.0,10.0,20.0,,51,14,7.0,0.0,14.0,,35,16,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-29 23:30:00,DAY,2168,YSU,2754,0,7,7.0,7.0,7.0,,28,0,0.0,10.0,0.0,,10,18,2013-08-29,1,NotMajor,NotMajor
2013,2013-08-30 00:00:00,CUM,2161,TNTC,2635,0,14,21.0,21.0,7.0,,63,0,0.0,0.0,7.0,,7,56,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 00:00:00,JKST,2296,TULN,2655,0,13,7.0,7.0,7.0,,34,0,0.0,0.0,7.0,,7,27,2013-08-30,1,ConferenceUSA,NotMajor
2013,2013-08-30 00:00:00,IW,2916,UCA,2110,0,16,14.0,14.0,14.0,,58,0,0.0,0.0,7.0,,7,51,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 00:00:00,USU,328,UTAH,254,0,14,0.0,10.0,6.0,,30,3,14.0,6.0,3.0,,26,4,2013-08-30,1,PAC12,MountainWest
2013,2013-08-30 00:00:00,SEMO,2546,SELA,2545,0,14,10.0,7.0,14.0,,45,7,0.0,0.0,0.0,,7,38,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 00:00:00,GV,2254,DRKE,2181,0,3,0.0,13.0,0.0,,16,7,7.0,7.0,0.0,,21,-5,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 00:00:00,VALP,2674,UND,155,0,21,14.0,14.0,20.0,,69,0,0.0,10.0,0.0,,10,59,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 01:05:00,MONM,2405,MTST,147,0,22,17.0,3.0,0.0,,42,3,0.0,7.0,14.0,,24,18,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 01:15:00,MISS,145,VAN,238,0,0,21.0,7.0,7.0,,35,10,0.0,15.0,14.0,,39,-4,2013-08-30,1,SEC,SEC
2013,2013-08-30 02:00:00,SAC,16,SJSU,23,0,3,14.0,7.0,0.0,,24,0,0.0,0.0,0.0,,0,24,2013-08-30,1,MountainWest,NotMajor
2013,2013-08-30 02:00:00,EAS,2202,PRST,2502,0,14,22.0,0.0,21.0,,57,0,0.0,3.0,14.0,,17,40,2013-08-30,1,NotMajor,NotMajor
2013,2013-08-30 02:30:00,RUTG,164,FRES,278,0,7,14.0,7.0,17.0,7.0,52,10,10.0,11.0,14.0,6.0,51,1,2013-08-30,1,MountainWest,AAC
2013,2013-08-30 03:00:00,USC,30,HAW,62,0,0,5.0,0.0,8.0,,13,3,17.0,0.0,10.0,,30,-17,2013-08-30,1,MountainWest,PAC12
2013,2013-08-30 23:00:00,MORG,2415,ARMY,349,0,14,7.0,7.0,0.0,,28,0,6.0,6.0,0.0,,12,16,2013-08-30,1,Independent,NotMajor
2013,2013-08-30 23:00:00,SAM,2535,GAST,2247,0,7,7.0,0.0,7.0,,21,7,0.0,7.0,17.0,,31,-10,2013-08-30,1,SunBelt,NotMajor
2013,2013-08-31 00:00:00,FAU,2226,MIAMI,2390,0,3,17.0,14.0,0.0,,34,0,3.0,3.0,0.0,,6,28,2013-08-31,1,ACC,ConferenceUSA
2013,2013-08-31 00:00:00,WMU,2711,MSU,127,0,7,6.0,6.0,7.0,,26,0,7.0,0.0,6.0,,13,13,2013-08-31,1,Big10,MidAmerican
2013,2013-08-31 00:00:00,TTU,2641,SMU,2567,0,3,6.0,7.0,7.0,,23,3,10.0,7.0,21.0,,41,-18,2013-08-31,1,AAC,Big12
2013,2013-08-31 00:30:00,NDSU,2449,KSU,2306,0,0,7.0,14.0,0.0,,21,7,0.0,10.0,7.0,,24,-3,2013-08-31,1,Big12,NotMajor
2013,2013-08-31 00:30:00,SOU,2582,HOU,248,0,10,17.0,14.0,21.0,,62,0,6.0,7.0,0.0,,13,49,2013-08-31,1,AAC,NotMajor
2013,2013-08-31 02:00:00,NAU,2464,ARIZ,12,0,7,7.0,14.0,7.0,,35,0,0.0,0.0,0.0,,0,35,2013-08-31,1,PAC12,NotMajor
2013,2013-08-31 16:00:00,ELON,2210,GT,59,0,28,14.0,21.0,7.0,,70,0,0.0,0.0,0.0,,0,70,2013-08-31,1,ACC,NotMajor
2013,2013-08-31 16:00:00,NOVA,222,BC,103,0,7,0.0,14.0,3.0,,24,14,0.0,0.0,0.0,,14,10,2013-08-31,1,ACC,NotMajor
2013,2013-08-31 16:00:00,SIU,79,ILL,356,0,3,22.0,14.0,3.0,,42,7,0.0,17.0,10.0,,34,8,2013-08-31,1,Big10,NotMajor
2013,2013-08-31 16:00:00,W&M,2729,WVU,277,0,7,0.0,10.0,7.0,,24,7,10.0,0.0,0.0,,17,7,2013-08-31,1,Big12,NotMajor
2013,2013-08-31 16:00:00,PUR,2509,CIN,2132,0,0,14.0,14.0,14.0,,42,0,7.0,0.0,0.0,,7,35,2013-08-31,1,AAC,Big10
2013,2013-08-31 16:00:00,CAMP,2097,CHAR,2429,0,22,13.0,10.0,7.0,,52,0,7.0,0.0,0.0,,7,45,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 16:00:00,BUFF,2084,OSU,194,0,23,7.0,7.0,3.0,,40,0,13.0,7.0,0.0,,20,20,2013-08-31,1,Big10,MidAmerican
2013,2013-08-31 16:00:00,UMASS,113,WIS,275,0,10,7.0,21.0,7.0,,45,0,0.0,0.0,0.0,,0,45,2013-08-31,1,Big10,MidAmerican
2013,2013-08-31 16:10:00,ALBY,399,DUQ,2184,0,9,7.0,16.0,3.0,,35,3,7.0,7.0,7.0,,24,11,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 16:21:00,TOL,2649,FLA,57,0,7,10.0,7.0,0.0,,24,0,3.0,3.0,0.0,,6,18,2013-08-31,1,SEC,MidAmerican
2013,2013-08-31 16:30:00,FIU,2229,MD,120,0,13,27.0,0.0,3.0,,43,3,7.0,0.0,0.0,,10,33,2013-08-31,1,ACC,ConferenceUSA
2013,2013-08-31 16:30:00,LT,2348,NCST,152,0,14,10.0,3.0,13.0,,40,0,7.0,0.0,7.0,,14,26,2013-08-31,1,ACC,ConferenceUSA
2013,2013-08-31 17:00:00,RICE,242,TA&M,245,0,7,21.0,10.0,14.0,,52,14,7.0,0.0,10.0,,31,21,2013-08-31,1,SEC,ConferenceUSA
2013,2013-08-31 17:00:00,GTWN,46,WAG,2681,0,7,0.0,7.0,14.0,,28,7,14.0,0.0,0.0,,21,7,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 19:00:00,HC,107,BRY,2803,0,7,7.0,0.0,3.0,,17,6,0.0,10.0,0.0,,16,1,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 19:00:00,UCD,302,SDAK,233,0,0,7.0,0.0,3.0,,10,0,0.0,0.0,7.0,,7,3,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 19:00:00,COLG,2142,AFA,2005,0,0,21.0,10.0,7.0,,38,7,0.0,0.0,6.0,,13,25,2013-08-31,1,MountainWest,NotMajor
2013,2013-08-31 19:30:00,TEM,218,ND,87,0,14,7.0,7.0,0.0,,28,0,6.0,0.0,0.0,,6,22,2013-08-31,1,Independent,AAC
2013,2013-08-31 19:30:00,CMU,2117,MICH,130,0,14,21.0,21.0,3.0,,59,3,3.0,0.0,3.0,,9,50,2013-08-31,1,Big10,MidAmerican
2013,2013-08-31 19:30:00,MSST,344,OKST,197,1,0,7.0,7.0,7.0,,21,3,0.0,0.0,0.0,,3,18,2013-08-31,1,Big12,SEC
2013,2013-08-31 19:30:00,SYR,183,PSU,213,1,0,6.0,7.0,10.0,,23,0,3.0,7.0,7.0,,17,6,2013-08-31,1,Big10,ACC
2013,2013-08-31 19:30:00,BYU,252,UVA,258,0,0,3.0,9.0,7.0,,19,0,7.0,0.0,9.0,,16,3,2013-08-31,1,ACC,Independent
2013,2013-08-31 19:30:00,NIU,2459,IOWA,2294,0,7,17.0,0.0,3.0,,27,10,7.0,3.0,10.0,,30,-3,2013-08-31,1,Big10,MidAmerican
2013,2013-08-31 19:30:00,COLE,3210,SDA,613,0,28,27.0,7.0,3.0,,65,6,0.0,0.0,0.0,,6,59,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 19:35:00,LAN,2324,UNCO,2458,0,0,10.0,14.0,7.0,,31,3,0.0,0.0,7.0,,10,21,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 20:00:00,NICH,2447,ORE,2483,0,24,14.0,7.0,21.0,,66,0,3.0,0.0,0.0,,3,63,2013-08-31,1,PAC12,NotMajor
2013,2013-08-31 20:00:00,ULL,309,ARK,8,0,7,13.0,14.0,0.0,,34,0,7.0,7.0,0.0,,14,20,2013-08-31,1,SEC,SunBelt
2013,2013-08-31 20:00:00,NCCU,2428,DUKE,150,0,14,14.0,14.0,3.0,,45,0,0.0,0.0,0.0,,0,45,2013-08-31,1,ACC,NotMajor
2013,2013-08-31 21:00:00,EDW,2206,ALCN,2016,0,21,28.0,7.0,7.0,,63,6,0.0,3.0,3.0,,12,51,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 21:30:00,ALA,333,VT,259,1,7,3.0,0.0,0.0,,10,14,14.0,7.0,0.0,,35,-25,2013-08-31,1,ACC,SEC
2013,2013-08-31 22:00:00,JVST,55,ALST,2011,0,0,6.0,3.0,13.0,,22,0,0.0,24.0,0.0,,24,-2,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,EWU,331,ORST,204,0,7,10.0,15.0,14.0,,46,6,23.0,7.0,13.0,,49,-3,2013-08-31,1,PAC12,NotMajor
2013,2013-08-31 22:00:00,CHSO,2127,CIT,2643,0,9,7.0,6.0,7.0,,29,0,14.0,15.0,3.0,,32,-3,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,SAV,2542,GASO,290,0,7,21.0,21.0,28.0,,77,0,0.0,9.0,0.0,,9,68,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,REIN,2890,MER,2382,0,14,7.0,7.0,12.0,,40,13,3.0,13.0,8.0,,37,3,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,PEAY,2046,TENN,2633,0,21,21.0,3.0,0.0,,45,0,0.0,0.0,0.0,,0,45,2013-08-31,1,SEC,NotMajor
2013,2013-08-31 22:00:00,MAINE,311,NSU,2450,0,0,6.0,0.0,0.0,,6,3,10.0,7.0,3.0,,23,-17,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,CCSU,2115,JMU,256,0,13,8.0,17.0,0.0,,38,0,7.0,0.0,7.0,,14,24,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,HOW,47,EMU,2199,0,0,13.0,7.0,14.0,,34,0,10.0,14.0,0.0,,24,10,2013-08-31,1,MidAmerican,NotMajor
2013,2013-08-31 22:00:00,VMI,2678,RICH,257,0,7,14.0,6.0,7.0,,34,0,0.0,0.0,0.0,,0,34,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,CCU,324,SCST,2569,0,6,7.0,7.0,0.0,,20,6,6.0,8.0,7.0,,27,-7,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:00:00,SHU,2529,MRST,2368,0,0,7.0,0.0,14.0,,21,6,10.0,14.0,7.0,,37,-16,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 22:45:00,FUR,231,WEBB,2241,0,7,0.0,13.0,8.0,,28,7,7.0,7.0,0.0,,21,7,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 23:00:00,HBU,2277,SHSU,2534,0,21,28.0,17.0,8.0,,74,0,0.0,0.0,0.0,,0,74,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 23:00:00,UAB,5,TROY,2653,0,7,0.0,10.0,14.0,3.0,34,14,3.0,14.0,0.0,0.0,31,3,2013-08-31,1,SunBelt,ConferenceUSA
2013,2013-08-31 23:00:00,IDHO,70,UNT,249,0,14,12.0,7.0,7.0,,40,6,0.0,0.0,0.0,,6,34,2013-08-31,1,ConferenceUSA,Independent
2013,2013-08-31 23:00:00,M-OH,193,MRSH,276,0,0,14.0,21.0,17.0,,52,7,7.0,0.0,0.0,,14,38,2013-08-31,1,ConferenceUSA,MidAmerican
2013,2013-08-31 23:00:00,AAMU,2010,GRAM,2755,0,0,3.0,0.0,6.0,,9,0,16.0,7.0,0.0,,23,-14,2013-08-31,1,NotMajor,NotMajor
2013,2013-08-31 23:00:00,ULM,2433,OKLA,201,0,0,13.0,21.0,0.0,,34,0,0.0,0.0,0.0,,0,34,2013-08-31,1,Big12,SunBelt
2013,2013-08-31 23:00:00,MCNS,2377,USF,58,0,7,0.0,7.0,7.0,,21,2,31.0,10.0,10.0,,53,-32,2013-08-31,1,AAC,NotMajor
