Day,DiffPtsAPG,DiffPtsFPG,DiffPtsPAG,Home,Home1Q,Home2Q,Home3Q,Home4Q,HomeConf,HomeConf_AAC,HomeConf_ACC,HomeConf_Big10,HomeConf_Big12,HomeConf_ConferenceUSA,HomeConf_Independent,HomeConf_MidAmerican,HomeConf_MountainWest,HomeConf_NotD1,HomeConf_PAC12,HomeConf_SEC,HomeConf_SunBelt,HomeDiffOD,HomeFinal,HomeFmb,HomeFmbPG,HomeFrstD,HomeFrthDA,HomeFrthDC,HomeGames,HomeID,HomeInt,HomeIntPG,HomeMLBetUS,HomeMLMirage,HomeMLPinnacle,HomeMLSBG,HomeMLSIA,HomeMLSportsbet,HomeMLStation,HomeMLWestgate,HomeOT,HomePassA,HomePassAPG,HomePassC,HomePassY,HomePassYPA,HomePassYPC,HomePassYPG,HomePnl,HomePnlPG,HomePnlY,HomePnlYPG,HomePtsA,HomePtsAPG,HomePtsF,HomePtsFPG,HomeRushA,HomeRushAPG,HomeRushY,HomeRushYPA,HomeRushYPG,HomeSpreadOddsBetUS,HomeSpreadOddsMirage,HomeSpreadOddsPinnacle,HomeSpreadOddsSBG,HomeSpreadOddsSIA,HomeSpreadOddsSportsbet,HomeSpreadOddsStation,HomeSpreadOddsWestgate,HomeThrdDA,HomeThrdDC,HomeTm,HomeWinPct,HomeWins,Month,NeutralSite,OverOddsBetUS,OverOddsMirage,OverOddsPinnacle,OverOddsSBG,OverOddsSIA,OverOddsSportsbet,OverOddsStation,OverOddsWestgate,OverUnderWag,OverunderBetUS,OverunderMirage,OverunderPinnacle,OverunderSBG,OverunderSIA,OverunderSportsbet,OverunderStation,OverunderWestgate,Season,Spread,SpreadBetUS,SpreadMirage,SpreadPinnacle,SpreadSBG,SpreadSIA,SpreadSportsbet,SpreadStation,SpreadWag,SpreadWestgate,UnderOddsBetUS,UnderOddsMirage,UnderOddsPinnacle,UnderOddsSBG,UnderOddsSIA,UnderOddsSportsbet,UnderOddsStation,UnderOddsWestgate,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisConf,VisConf_AAC,VisConf_ACC,VisConf_Big10,VisConf_Big12,VisConf_ConferenceUSA,VisConf_Independent,VisConf_MidAmerican,VisConf_MountainWest,VisConf_NotD1,VisConf_PAC12,VisConf_SEC,VisConf_SunBelt,VisDiffOD,VisFinal,VisFmb,VisFmbPG,VisFrstD,VisFrthDA,VisFrthDC,VisGames,VisID,VisInt,VisIntPG,VisMLBetUS,VisMLMirage,VisMLPinnacle,VisMLSBG,VisMLSIA,VisMLSportsbet,VisMLStation,VisMLWestgate,VisOT,VisPassA,VisPassAPG,VisPassC,VisPassY,VisPassYPA,VisPassYPC,VisPassYPG,VisPnl,VisPnlPG,VisPnlY,VisPnlYPG,VisPtsA,VisPtsAPG,VisPtsF,VisPtsFPG,VisRushA,VisRushAPG,VisRushY,VisRushYPA,VisRushYPG,VisSpreadOddsBetUS,VisSpreadOddsMirage,VisSpreadOddsPinnacle,VisSpreadOddsSBG,VisSpreadOddsSIA,VisSpreadOddsSportsbet,VisSpreadOddsStation,VisSpreadOddsWestgate,VisThrdDA,VisThrdDC,VisTm,VisWinPct,VisWins,Visiter,Week,WeekDate,Year
29,,0.0,0.0,KENT,7,0.0,0.0,10.0,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0.0,17,,0.0,,,,0.0,2309,,0.0,,,,,,-1329.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,8,0,,,,,,-114.0,,,,,,,,,54.5,,,2013,7,,,,,,-20.5,,,,,,,,,-114.0,,,0,3.0,7.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,10,,0.0,,,,0.0,2335,,0.0,,,,,,996.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,LIB,1,2013-08-29,2013
29,,0.0,0.0,SC,17,3.0,7.0,0.0,SEC,0,0,0,0,0,0,0,0,0,0,1,0,0.0,27,0.0,0.0,9.0,2.0,1.0,0.0,2579,0.0,0.0,-500.0,-575.0,-465.0,-450.0,-585.0,-461.0,-600.0,-550.0,,21.0,0.0,12.0,178.0,0.0,0.0,0.0,7.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,228.0,0.0,0.0,-110.0,-110.0,106.0,-110.0,-110.0,-107.0,-110.0,-105.0,14.0,5.0,1773.0,0.0,0.0,8,0,-110.0,-110.0,-102.0,-110.0,-110.0,-107.0,-110.0,-110.0,0.0,55.5,57.0,56.0,56.0,56.0,56.0,56.0,56.0,2013,17,-10.5,-12.0,-11.0,-11.0,-11.5,-11.0,-12.0,-11.0,-11.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0,-110.0,0,7.0,3.0,0.0,ACC,0,1,0,0,0,0,0,0,0,0,0,0,0.0,10,1.0,0.0,5.0,4.0,3.0,0.0,153,0.0,0.0,400.0,425.0,385.0,350.0,435.0,394.0,400.0,425.0,,43.0,0.0,26.0,194.0,0.0,0.0,0.0,6.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,99.0,0.0,0.0,-110.0,-110.0,-119.0,-110.0,-110.0,-107.0,-110.0,-105.0,20.0,8.0,1827.0,0.0,0.0,UNC,1,2013-08-29,2013
29,,0.0,0.0,WAKE,3,14.0,7.0,7.0,ACC,0,1,0,0,0,0,0,0,0,0,0,0,0.0,31,,0.0,,,,0.0,154,,0.0,,,,,,-27000.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,8,0,,,,,,-114.0,,,,,,,,,51.0,,,2013,24,,,,,,-38.0,,,,,,,,,-114.0,,,7,0.0,0.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7,,0.0,,,,0.0,2506,,0.0,,,,,,13000.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,PRE,1,2013-08-29,2013
29,,0.0,0.0,BGSU,3,3.0,7.0,21.0,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0.0,34,0.0,0.0,13.0,1.0,1.0,0.0,189,1.0,0.0,-140.0,-150.0,-132.0,-145.0,-145.0,-137.0,-150.0,-150.0,,28.0,0.0,12.0,163.0,0.0,0.0,0.0,6.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,233.0,0.0,0.0,-110.0,105.0,109.0,100.0,-110.0,-107.0,-110.0,-110.0,13.0,3.0,2327.0,0.0,0.0,8,0,-110.0,-110.0,100.0,-110.0,-110.0,-107.0,-110.0,-110.0,0.0,50.0,51.5,50.5,51.0,51.0,50.0,51.5,51.0,2013,27,-2.5,-3.0,-3.0,-3.0,-2.5,-2.5,-3.0,-4.5,-3.0,-110.0,-110.0,-112.0,-110.0,-110.0,-107.0,-110.0,-110.0,0,0.0,0.0,7.0,ConferenceUSA,0,0,0,0,1,0,0,0,0,0,0,0,0.0,7,2.0,0.0,2.0,2.0,0.0,0.0,202,0.0,0.0,120.0,130.0,117.0,125.0,125.0,123.0,130.0,130.0,,41.0,0.0,20.0,222.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,51.0,0.0,0.0,-110.0,-125.0,-123.0,-120.0,-110.0,-107.0,-110.0,-110.0,17.0,6.0,1273.0,0.0,0.0,TLSA,1,2013-08-29,2013
29,,0.0,0.0,UCF,14,10.0,14.0,0.0,AAC,1,0,0,0,0,0,0,0,0,0,0,0,0.0,38,0.0,0.0,9.0,0.0,0.0,0.0,2116,0.0,0.0,,,-2000.0,,,-1977.0,,-2800.0,,27.0,0.0,19.0,319.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,157.0,0.0,0.0,,,101.0,,,-107.0,,-110.0,14.0,9.0,1959.0,0.0,0.0,8,0,,,-108.0,,,-107.0,,-110.0,0.0,,,55.5,,,55.5,,57.0,2013,31,,,-24.0,,,-23.5,,-21.5,-23.5,,,-104.0,,,-107.0,,-110.0,0,0.0,0.0,7.0,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,1.0,0.0,7.0,0.0,0.0,0.0,2006,1.0,0.0,,,1139.0,,,1403.0,,1450.0,,25.0,0.0,18.0,116.0,0.0,0.0,0.0,6.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,134.0,0.0,0.0,,,-114.0,,,-107.0,,-110.0,16.0,8.0,1641.0,0.0,0.0,AKR,1,2013-08-29,2013
29,,0.0,0.0,MOST,0,7.0,10.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,17,,0.0,,,,0.0,2623,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2013,-6,,,,,,,,,,,,,,,,,,0,10.0,7.0,6.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,23,,0.0,,,,0.0,2466,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,NWST,1,2013-08-29,2013
29,,0.0,0.0,IND,21,24.0,21.0,7.0,Big10,0,0,1,0,0,0,0,0,0,0,0,0,0.0,73,,0.0,,,,0.0,84,,0.0,,,,,,-2555.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,8,0,,,,,,-114.0,,,,,,,,,55.0,,,2013,38,,,,,,-24.5,,,,,,,,,-114.0,,,7,14.0,7.0,7.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,35,,0.0,,,,0.0,282,,0.0,,,,,,1645.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,INST,1,2013-08-29,2013
29,,0.0,0.0,WIU,8,7.0,13.0,14.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,42,,0.0,,,,0.0,2710,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2013,33,,,,,,,,,,,,,,,,,,0,6.0,0.0,3.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,9,,0.0,,,,0.0,2261,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,HAMP,1,2013-08-29,2013
29,,0.0,0.0,EKY,14,14.0,0.0,10.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,38,,0.0,,,,0.0,2198,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2013,32,,,,,,,,,,,,,,,,,,0,6.0,0.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6,,0.0,,,,0.0,2523,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,RMU,1,2013-08-29,2013
29,,0.0,0.0,MINN,3,13.0,14.0,21.0,Big10,0,0,1,0,0,0,0,0,0,0,0,0,0.0,51,0.0,0.0,9.0,1.0,1.0,0.0,135,1.0,0.0,-550.0,-575.0,-565.0,-550.0,-550.0,-550.0,-600.0,-600.0,,23.0,0.0,10.0,99.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,221.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0,-110.0,14.0,8.0,1684.0,0.0,0.0,8,0,-110.0,-110.0,-106.0,-110.0,-110.0,-107.0,-110.0,-110.0,0.0,52.0,52.5,52.0,52.0,52.5,52.5,52.0,52.5,2013,28,-13.5,-13.5,-13.5,-13.5,-13.5,-14.0,-13.5,-14.0,-14.0,-110.0,-110.0,-106.0,-110.0,-110.0,-107.0,-110.0,-110.0,6,7.0,3.0,7.0,MountainWest,0,0,0,0,0,0,0,1,0,0,0,0,0.0,23,0.0,0.0,8.0,4.0,4.0,0.0,2439,2.0,0.0,425.0,425.0,457.0,425.0,425.0,455.0,400.0,450.0,,51.0,0.0,36.0,226.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,193.0,0.0,0.0,-110.0,-110.0,-102.0,-110.0,-110.0,-107.0,-110.0,-110.0,18.0,6.0,1916.0,0.0,0.0,UNLV,1,2013-08-29,2013
