Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
Cal,Hawaii,20.5,66.0,2016,8,26,62,25
Indiana,FIU,10.5,64.0,2016,9,1,2229,84
Charlotte,Louisville,-38.5,58.5,2016,9,1,97,2429
Tulane,Wake Forest,-15.0,42.5,2016,9,1,154,2655
Rice,W Kentucky,-17.5,64.0,2016,9,1,98,242
South Carolina,Vanderbilt,-4.5,41.0,2016,9,1,238,2579
Oregon State,Minnesota,-12.5,56.0,2016,9,1,135,204
Appalachian St,Tennessee,-21.5,58.0,2016,9,1,2633,2026
Ball State,Georgia State,-5.0,55.0,2016,9,2,2247,2050
Army,Temple,-15.0,46.0,2016,9,2,218,349
Colorado State,Colorado,-7.5,57.5,2016,9,2,38,36
Kansas State,Stanford,-13.0,49.5,2016,9,2,24,2306
Toledo,Arkansas State,-4.5,65.0,2016,9,2,2032,2649
Toledo,Arkansas State,-4.0,64.0,2016,9,3,2032,2649
Georgia Tech,Boston College,3.5,43.0,2016,9,3,103,59
Hawaii,Michigan,-38.0,56.0,2016,9,3,130,62
Miami (OH),Iowa,-27.5,52.5,2016,9,3,2294,193
W Michigan,Northwestern,-3.5,53.5,2016,9,3,77,2711
Bowling Green,OSU,-27.5,63.5,2016,9,3,194,189
Kent State,Penn State,-23.5,44.5,2016,9,3,213,2309
Missouri,West Virginia,-9.5,51.5,2016,9,3,277,142
New Mexico St,UTEP,-9.5,58.5,2016,9,3,2638,166
SMU,North Texas,7.5,65.5,2016,9,3,249,2567
South Alabama,Miss St,-28.5,54.0,2016,9,3,344,6
Texas State,Ohio,-17.5,59.0,2016,9,3,195,326
Southern Miss,Kentucky,-4.0,62.5,2016,9,3,96,2572
LA Tech,Arkansas,-21.0,53.0,2016,9,3,8,2348
UMass,Florida,-35.0,51.5,2016,9,3,57,113
Clemson,Auburn,7.5,62.5,2016,9,3,2,228
UCLA,Texas A&M,-4.0,53.5,2016,9,3,245,26
San Jose State,Tulsa,-4.0,65.5,2016,9,3,202,23
Rutgers,Washington,-25.0,56.0,2016,9,3,264,164
LSU,Wisconsin,12.5,44.5,2016,9,3,275,99
UNC,Georgia,-3.5,59.5,2016,9,3,61,153
Oklahoma,Houston,13.0,66.0,2016,9,3,248,201
Fresno State,Nebraska,-28.5,62.5,2016,9,3,158,278
USC,Alabama,-12.0,51.5,2016,9,3,333,30
Boise State,LA-Lafayette,18.5,62.5,2016,9,3,309,68
BYU,Arizona,1.0,63.0,2016,9,3,12,252
N Illinois,Wyoming,7.0,54.5,2016,9,3,2751,2459
Notre Dame,Texas,3.5,55.0,2016,9,4,251,87
Ole Miss,FSU,-5.0,57.5,2016,9,5,52,145
Maryland,FIU,11.0,56.5,2016,9,9,2229,120
Louisville,Syracuse,16.5,68.0,2016,9,9,183,97
Boston College,UMass,16.5,38.0,2016,9,10,113,103
Arkansas,TCU,-10.0,57.0,2016,9,10,2628,8
Rice,Army,-8.0,51.0,2016,9,10,349,242
Ohio,Kansas,-3.0,60.5,2016,9,10,2305,195
UCF,Michigan,-36.0,54.5,2016,9,10,130,2116
E Michigan,Missouri,-23.0,57.5,2016,9,10,142,2199
Penn State,Pitt,-4.0,44.5,2016,9,10,221,213
Cincinnati,Purdue,3.0,58.5,2016,9,10,2509,2132
Ball State,Indiana,-16.5,61.5,2016,9,10,84,2050
UL Monroe,Oklahoma,-46.0,63.5,2016,9,10,201,2433
Cent Michigan,Oklahoma State,-17.5,60.5,2016,9,10,197,2117
