Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2001-08-23, Louisville, 101, 30, 272, 32, 18, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 45, New Mexico St, 407, 68, 137, 16, 8, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 24
2001-08-25, Nebraska, 159, 50, 151, 18, 10, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 21, TCU, 56, 28, 130, 22, 11, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 7
2001-08-25, BYU, 437, 49, 297, 33, 27, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 70, Tulane, 219, 43, 289, 49, 23, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 35
2001-08-25, UNC, 64, 35, 226, 41, 17, -999, -999, 4, 1, -999, -999, -999, -999, -999, -999, 27, Oklahoma, 108, 33, 178, 31, 21, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 41
2001-08-25, UVA, 128, 33, 178, 32, 13, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 17, Wisconsin, 228, 51, 191, 24, 10, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 26
2001-08-26, Georgia Tech, 125, 46, 224, 26, 15, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 13, Syracuse, 59, 26, 183, 32, 19, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 7
2001-08-26, Colorado, 66, 31, 346, 51, 31, -999, -999, 3, 2, -999, -999, -999, -999, -999, -999, 22, Fresno State, 89, 35, 198, 36, 21, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 24
2001-08-30, Akron, 290, 46, 217, 24, 19, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 31, Ohio, 339, 60, 104, 11, 9, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 29
2001-08-30, UAB, 267, 51, 161, 24, 10, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 41, Montana State, -1, 17, 156, 42, 19, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 13
2001-08-30, Tulsa, 191, 48, 379, 40, 33, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 51, Indiana State, 49, 30, 20, 15, 4, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 0
