Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Hawaii,248,38,234,34,17,6,52,2,1,26,14,8,1,1,1747,Cal,189,35,441,54,38,6,80,0,0,31,17,8,2,2,1853,2016,8,27,25,62.0
Appalachian St,184,43,108,23,15,5,36,0,1,17,13,3,2,1,2009,Tennessee,127,43,192,29,16,6,55,1,1,19,16,7,0,0,1591,2016,9,1,2633,2026.0
Indiana,246,52,240,28,18,9,74,1,0,26,15,6,2,1,2000,FIU,63,21,268,47,24,6,36,0,3,16,14,4,2,1,1600,2016,9,1,2229,84.0
Tulane,146,47,134,23,12,4,30,1,0,14,20,8,4,1,2096,Wake Forest,79,34,96,21,12,5,45,0,0,10,15,7,0,0,1504,2016,9,1,154,2655.0
Maine,40,19,269,33,19,4,46,0,0,16,11,4,0,0,1424,UConn,200,50,162,23,16,3,30,1,0,23,15,8,1,1,2176,2016,9,1,41,
UT Martin,177,49,146,26,12,8,67,1,2,20,16,9,1,0,2226,Cincinnati,140,34,260,34,21,5,60,2,1,22,13,5,2,2,1374,2016,9,1,2132,
Charlotte,48,31,160,32,18,13,118,1,0,12,13,0,2,1,1806,Louisville,272,35,391,35,26,10,49,2,1,37,7,4,0,0,1794,2016,9,1,97,2429.0
Presbyterian,44,33,82,22,10,6,60,1,2,6,14,1,0,0,1675,Cent Michigan,255,38,237,27,16,7,56,0,2,23,9,3,0,0,1925,2016,9,1,2117,
William & Mary,62,28,106,19,10,8,70,0,2,10,8,1,0,0,1487,North Carolina St,259,57,262,30,23,7,80,0,1,28,16,10,2,1,2113,2016,9,1,152,
Weber State,108,41,137,27,15,2,15,0,1,16,19,8,0,0,2090,Utah State,428,44,100,17,11,4,30,0,0,23,12,9,0,0,1510,2016,9,2,328,
Montana State,110,38,195,36,20,4,30,0,1,19,17,5,3,2,2174,Idaho,229,36,128,22,8,5,40,1,1,15,11,2,2,0,1426,2016,9,2,70,
Mississippi Valley State,23,32,146,38,19,11,66,2,0,17,13,4,1,0,1896,E Michigan,281,44,198,24,17,6,68,0,1,24,11,5,1,1,1704,2016,9,2,2199,
South Carolina,121,32,187,30,16,7,51,2,0,14,16,6,0,0,1605,Vanderbilt,169,42,73,23,8,5,33,0,0,14,15,4,1,0,1995,2016,9,2,238,2579.0
Ball State,325,52,130,29,15,5,39,0,2,22,18,7,3,2,2156,Georgia State,77,25,195,40,25,6,52,1,1,19,15,7,1,0,1444,2016,9,2,2247,2050.0
Albany (N.Y.),125,33,113,21,14,9,79,0,0,12,11,1,0,0,1628,Buffalo,226,48,177,34,17,9,83,1,3,23,17,5,2,1,1972,2016,9,2,2084,
Northwestern St,47,40,31,19,5,7,37,0,0,9,15,1,1,1,1905,Baylor,275,43,223,29,19,12,93,1,0,23,15,7,1,1,1695,2016,9,2,239,
Colgate,45,32,98,24,11,3,35,0,0,11,16,5,0,0,1774,Syracuse,117,35,437,46,40,6,55,1,0,25,18,8,3,3,1826,2016,9,2,183,
Jackson State,108,35,144,43,17,2,10,1,2,17,16,5,2,1,1909,UNLV,280,44,223,13,11,6,61,1,0,21,8,4,1,0,1691,2016,9,2,2439,
Rice,105,33,186,38,23,10,62,0,2,21,14,7,1,0,1665,W Kentucky,97,30,552,35,26,8,74,0,0,23,10,3,1,0,1935,2016,9,2,98,242.0
Furman,87,33,139,31,16,4,34,0,1,18,14,3,3,2,1771,Michigan State,171,40,190,18,13,10,120,1,1,19,10,4,0,0,1829,2016,9,2,127,
Southern Utah,116,32,42,18,6,3,20,1,1,7,12,2,0,0,1270,Utah,138,37,298,39,23,6,40,1,0,19,17,8,1,1,2330,2016,9,2,254,
South Dakota,183,43,140,21,14,2,15,2,1,16,14,7,2,1,1503,New Mexico,428,49,187,19,13,4,30,1,0,24,14,8,0,0,2097,2016,9,2,167,
Army,329,67,15,5,2,5,34,0,0,25,14,7,2,2,2148,Temple,83,28,168,26,12,5,35,0,3,16,9,3,2,1,1452,2016,9,2,218,349.0
Oregon State,89,34,228,40,25,4,55,2,0,18,19,10,2,0,1827,Minnesota,150,47,130,27,13,8,70,1,0,21,17,8,1,1,1773,2016,9,2,135,204.0
LA Tech,79,23,212,31,19,3,20,0,1,16,11,5,0,0,1399,Arkansas,106,40,191,29,20,4,35,0,2,21,12,3,3,3,2201,2016,9,3,8,2348.0
NC Central,38,29,74,25,7,9,80,1,1,4,16,1,0,0,1488,Duke,308,63,227,26,16,10,85,5,0,29,15,7,4,2,2112,2016,9,3,150,
