Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-08-29 22:00:00,0,LIB,KENT,10,17,11,0,0,22,0,22,33,20,3,1,28,0,49,167
2013,2013-08-29 22:00:00,0,UNC,SC,10,27,18,2,1,43,0,36,99,17,0,0,21,0,38,228
2013,2013-08-29 22:30:00,0,PRE,WAKE,7,31,2,4,3,19,3,24,102,25,2,2,26,0,54,189
2013,2013-08-29 23:00:00,0,TLSA,BGSU,7,34,12,2,2,41,0,24,51,23,0,0,28,1,53,233
2013,2013-08-29 23:00:00,0,AKR,UCF,7,38,15,2,1,25,1,35,134,23,2,0,27,0,39,157
2013,2013-08-29 23:00:00,0,ILST,BALL,28,51,19,1,1,29,1,36,74,22,0,0,40,0,32,80
2013,2013-08-29 23:00:00,0,INST,IND,35,73,15,2,1,32,1,39,131,29,1,1,30,2,54,313
2013,2013-08-29 23:00:00,0,UNLV,MINN,23,51,21,0,0,51,2,34,193,17,1,0,23,1,38,221
2013,2013-08-29 23:30:00,0,WCU,MTSU,24,45,17,0,0,36,2,35,114,25,4,2,27,0,49,284
2013,2013-08-29 23:30:00,0,SUU,USA,22,21,14,2,0,24,0,40,134,16,0,0,28,1,34,187
2013,2013-08-29 23:30:00,0,TOWS,CONN,33,18,17,1,0,20,1,50,201,15,2,1,28,1,27,81
2013,2013-08-30 00:00:00,0,JKST,TULN,7,34,18,6,2,29,4,48,112,16,2,0,16,0,43,158
2013,2013-08-30 00:00:00,0,USU,UTAH,26,30,27,2,1,40,0,39,173,24,2,1,28,0,44,148
2013,2013-08-30 01:15:00,0,MISS,VAN,39,35,28,0,0,47,0,37,206,19,2,0,36,2,33,126
2013,2013-08-30 02:00:00,0,SAC,SJSU,0,24,18,0,0,40,2,39,86,15,0,0,32,0,29,142
2013,2013-08-30 02:30:00,0,RUTG,FRES,51,52,22,3,1,41,1,32,195,33,3,2,73,1,23,81
2013,2013-08-30 03:00:00,0,USC,HAW,30,13,23,2,1,29,1,45,192,15,1,0,41,4,31,23
2013,2013-08-30 23:00:00,0,MORG,ARMY,12,28,17,1,1,10,0,52,185,19,0,0,8,0,42,295
2013,2013-08-30 23:00:00,0,SAM,GAST,31,21,15,1,0,31,1,36,105,19,1,0,51,2,25,72
2013,2013-08-31 00:00:00,0,TTU,SMU,41,23,31,3,0,60,0,27,48,31,2,0,62,0,31,102
2013,2013-08-31 00:00:00,0,FAU,MIAMI,6,34,18,1,1,32,0,43,133,20,0,0,31,1,38,303
2013,2013-08-31 00:00:00,0,WMU,MSU,13,26,14,1,1,48,3,27,11,18,1,1,37,0,42,181
2013,2013-08-31 00:30:00,0,NDSU,KSU,24,21,19,0,0,30,1,43,215,17,1,0,29,2,23,41
2013,2013-08-31 00:30:00,0,SOU,HOU,13,62,17,4,3,36,1,30,104,35,0,0,38,0,50,372
2013,2013-08-31 02:00:00,0,NAU,ARIZ,0,35,15,0,0,36,3,39,94,14,2,0,13,0,34,306
2013,2013-08-31 16:00:00,0,NOVA,BC,14,24,17,2,1,26,3,36,197,19,1,1,30,0,40,128
2013,2013-08-31 16:00:00,0,SIU,ILL,34,42,17,1,1,41,0,26,66,21,3,1,37,1,30,49
2013,2013-08-31 16:00:00,0,UMASS,WIS,0,45,13,1,1,30,1,29,100,22,2,0,18,1,44,393
2013,2013-08-31 16:00:00,0,BUFF,OSU,20,40,18,1,0,32,1,35,73,23,2,1,23,1,45,261
2013,2013-08-31 16:00:00,0,W&M,WVU,17,24,12,0,0,27,1,31,102,24,3,1,27,0,44,172
2013,2013-08-31 16:00:00,0,PUR,CIN,7,42,12,5,2,35,2,22,65,20,2,1,25,2,47,221
2013,2013-08-31 16:00:00,0,ELON,GT,0,70,16,1,1,35,3,34,89,23,0,0,11,0,50,368
2013,2013-08-31 16:21:00,0,TOL,FLA,6,24,12,1,0,38,1,16,50,22,2,1,22,0,48,262
2013,2013-08-31 16:30:00,0,LT,NCST,14,40,16,4,4,27,0,33,143,27,0,0,31,1,56,237
2013,2013-08-31 16:30:00,0,FIU,MD,10,43,9,2,1,22,1,40,91,26,3,2,29,0,42,251
2013,2013-08-31 17:00:00,0,RICE,TA&M,31,52,28,1,0,37,2,51,306,25,1,1,27,0,39,202
2013,2013-08-31 19:00:00,0,COLG,AFA,13,38,19,0,0,27,0,41,157,28,0,0,11,0,64,409
2013,2013-08-31 19:30:00,0,TEM,ND,6,28,25,2,1,47,0,29,134,21,0,0,27,0,35,188
2013,2013-08-31 19:30:00,0,MSST,OKST,3,21,17,0,0,33,2,37,111,22,1,0,33,0,40,286
2013,2013-08-31 19:30:00,0,SYR,PSU,17,23,11,1,1,37,2,37,71,14,2,2,32,2,38,57
2013,2013-08-31 19:30:00,0,BYU,UVA,16,19,21,3,0,40,1,53,187,14,3,1,32,1,42,109
2013,2013-08-31 19:30:00,0,NIU,IOWA,30,27,20,2,1,41,0,42,163,24,1,1,37,2,43,202
2013,2013-08-31 19:30:00,0,CMU,MICH,9,59,12,2,1,28,1,29,66,22,1,0,21,3,47,242
2013,2013-08-31 20:00:00,0,NICH,ORE,3,66,22,3,2,50,0,37,87,32,0,0,26,0,45,500
2013,2013-08-31 20:00:00,0,NCCU,DUKE,0,45,9,1,1,32,1,29,81,27,0,0,28,1,49,257
2013,2013-08-31 20:00:00,0,ULL,ARK,14,34,19,1,1,31,1,32,85,24,1,1,23,0,51,292
2013,2013-08-31 21:30:00,0,ALA,VT,35,10,11,0,0,24,1,38,96,7,0,0,26,1,33,153
2013,2013-08-31 22:00:00,0,HOW,EMU,24,34,18,0,0,32,2,35,202,22,0,0,26,1,42,170
2013,2013-08-31 22:00:00,0,PEAY,TENN,0,45,11,0,0,26,2,27,79,30,1,1,21,0,52,315
2013,2013-08-31 22:00:00,0,EWU,ORST,49,46,31,0,0,34,0,37,177,30,1,0,44,0,24,105
2013,2013-08-31 23:00:00,0,UAPB,ARST,11,62,8,2,0,27,0,31,12,25,2,2,13,0,57,509
2013,2013-08-31 23:00:00,0,M-OH,MRSH,14,52,9,1,0,23,1,34,74,34,0,0,37,1,57,304
2013,2013-08-31 23:00:00,0,MURR,MIZ,14,58,16,0,0,39,3,36,123,33,1,1,42,0,45,358
2013,2013-08-31 23:00:00,0,MCNS,USF,53,21,19,0,0,25,1,42,180,14,1,1,40,2,21,133
2013,2013-08-31 23:00:00,0,WSU,AUB,24,31,28,0,0,65,3,23,120,16,3,1,20,0,45,297
2013,2013-08-31 23:00:00,0,IDHO,UNT,6,40,14,4,3,28,0,36,139,27,2,1,34,1,45,187
2013,2013-08-31 23:00:00,0,ULM,OKLA,0,34,9,0,0,39,1,22,38,25,2,0,33,1,50,305
2013,2013-08-31 23:00:00,0,TXST,USM,22,15,13,2,1,22,0,40,81,16,5,4,53,2,24,23
2013,2013-08-31 23:00:00,0,UAB,TROY,31,34,19,1,0,35,0,31,114,25,4,2,33,0,39,178
2013,2013-08-31 23:00:00,0,ODU,ECU,38,52,26,1,1,52,0,23,90,26,1,0,54,0,22,34
2013,2013-08-31 23:10:00,0,UK,WKU,26,35,15,2,1,28,0,32,216,22,3,2,34,0,41,216
2013,2013-08-31 23:30:00,0,WOF,BAY,3,69,16,3,2,17,1,60,173,32,4,2,28,0,44,281
2013,2013-09-01 00:00:00,0,EIU,SDSU,40,19,21,2,2,46,0,36,172,24,4,1,64,4,35,122
2013,2013-09-01 00:00:00,0,UGA,CLEM,35,38,22,3,1,29,1,41,222,21,2,1,30,0,46,197
2013,2013-09-01 00:00:00,0,WYO,NEB,34,37,35,2,0,44,2,30,219,27,3,1,22,1,63,375
2013,2013-09-01 00:00:00,0,NMSU,TEX,7,56,18,4,2,46,1,38,104,26,2,1,30,2,42,359
2013,2013-09-01 00:00:00,0,UNI,ISU,28,20,23,3,2,29,0,33,228,21,2,0,32,0,44,168
2013,2013-09-01 00:00:00,0,UTSA,UNM,21,13,22,1,1,34,0,33,157,15,1,0,17,0,42,193
2013,2013-09-01 01:00:00,0,LSU,TCU,37,27,26,1,1,32,0,48,197,13,3,1,28,1,26,114
2013,2013-09-01 02:00:00,0,NEV,UCLA,20,58,24,1,0,35,0,51,171,32,2,1,35,0,47,345
2013,2013-09-01 02:00:00,0,BSU,WASH,6,38,23,0,0,46,1,42,171,33,0,0,31,1,54,268
2013,2013-09-01 02:30:00,0,NW,CAL,44,30,22,1,1,30,2,40,209,30,3,0,65,3,34,89
